"",BBFN1.M.DE.N.1.L.R12.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2007-06,7.811,
2007-07,7.811,
2007-08,8.235,
2007-09,7.952,
2007-10,7.898,
2007-11,8.443,
2007-12,7.437,
2008-01,4.735,
2008-02,4.926,
2008-03,5.055,
2008-04,5.260,
2008-05,5.334,
2008-06,5.379,
2008-07,5.478,
2008-08,5.674,
2008-09,5.862,
2008-10,6.300,
2008-11,5.965,
2008-12,6.235,
2009-01,6.094,
2009-02,5.799,
2009-03,6.320,
2009-04,6.529,
2009-05,6.470,
2009-06,6.485,
2009-07,6.358,
2009-08,6.339,
2009-09,6.423,
2009-10,6.458,
2009-11,6.514,
2009-12,6.119,
2010-01,5.286,
2010-02,5.267,
2010-03,5.624,
2010-04,5.111,
2010-05,5.051,
2010-06,5.206,
2010-07,5.131,
2010-08,5.185,
2010-09,5.220,
2010-10,5.340,
2010-11,5.620,
2010-12,5.770,
2011-01,5.708,
2011-02,5.860,
2011-03,6.286,
2011-04,6.440,
2011-05,6.258,
2011-06,6.356,
2011-07,6.774,
2011-08,6.808,
2011-09,6.946,
2011-10,7.681,
2011-11,8.126,
2011-12,7.877,
2012-01,7.712,
2012-02,7.947,
2012-03,7.571,
2012-04,7.777,
2012-05,7.772,
2012-06,8.134,
2012-07,8.285,
2012-08,8.591,
2012-09,9.142,
2012-10,8.957,
2012-11,9.107,
2012-12,8.690,
2013-01,8.813,
2013-02,8.752,
2013-03,8.914,
2013-04,8.818,
2013-05,8.561,
2013-06,8.535,
2013-07,8.421,
2013-08,9.127,
2013-09,8.768,
2013-10,8.476,
2013-11,8.519,
2013-12,10.198,
2014-01,10.243,
2014-02,9.575,
2014-03,9.398,
2014-04,8.161,
2014-05,8.213,
2014-06,8.106,
2014-07,8.072,
2014-08,8.316,
2014-09,8.224,
2014-10,8.371,
2014-11,8.062,
2014-12,8.717,
"","General: From January 2003, including Guernsey, Jersey and the Isle of Man. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
