"",BBFN1.M.DE.N.1.L.CA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2005-09,1.507,
2005-10,1.555,
2005-11,1.502,
2005-12,1.428,
2006-01,1.012,
2006-02,1.185,
2006-03,1.071,
2006-04,1.056,
2006-05,1.024,
2006-06,1.038,
2006-07,1.090,
2006-08,1.099,
2006-09,1.063,
2006-10,1.141,
2006-11,1.098,
2006-12,1.392,
2007-01,1.349,
2007-02,1.390,
2007-03,1.669,
2007-04,1.565,
2007-05,1.583,
2007-06,1.720,
2007-07,1.652,
2007-08,1.615,
2007-09,1.665,
2007-10,2.933,
2007-11,2.663,
2007-12,2.705,
2008-01,2.304,
2008-02,2.114,
2008-03,1.994,
2008-04,1.698,
2008-05,1.648,
2008-06,1.922,
2008-07,1.721,
2008-08,1.825,
2008-09,2.197,
2008-10,1.930,
2008-11,2.006,
2008-12,1.796,
2009-01,2.000,
2009-02,1.853,
2009-03,1.613,
2009-04,1.703,
2009-05,1.677,
2009-06,1.676,
2009-07,1.765,
2009-08,1.797,
2009-09,1.876,
2009-10,1.923,
2009-11,1.921,
2009-12,1.880,
2010-01,1.971,
2010-02,1.940,
2010-03,1.962,
2010-04,2.338,
2010-05,2.042,
2010-06,2.254,
2010-07,2.339,
2010-08,2.166,
2010-09,2.156,
2010-10,2.164,
2010-11,2.248,
2010-12,2.072,
2011-01,2.285,
2011-02,2.120,
2011-03,2.370,
2011-04,2.366,
2011-05,2.365,
2011-06,2.338,
2011-07,2.399,
2011-08,2.441,
2011-09,2.432,
2011-10,2.471,
2011-11,2.430,
2011-12,2.200,
2012-01,2.503,
2012-02,2.111,
2012-03,2.587,
2012-04,2.630,
2012-05,2.703,
2012-06,2.775,
2012-07,2.928,
2012-08,2.970,
2012-09,2.492,
2012-10,2.626,
2012-11,2.624,
2012-12,2.679,
2013-01,2.057,
2013-02,2.007,
2013-03,2.084,
2013-04,2.044,
2013-05,2.222,
2013-06,2.163,
2013-07,2.244,
2013-08,2.022,
2013-09,2.196,
2013-10,2.172,
2013-11,2.280,
2013-12,2.648,
2014-01,2.627,
2014-02,2.568,
2014-03,2.420,
2014-04,2.444,
2014-05,2.651,
2014-06,2.749,
2014-07,2.728,
2014-08,3.412,
2014-09,3.532,
2014-10,3.535,
2014-11,3.719,
2014-12,3.118,
