"",BBDL1.M.DE1.N.UNE.UBA000.A0000.A01.D00.0.ABA.A,BBDL1.M.DE1.N.UNE.UBA000.A0000.A01.D00.0.ABA.A_FLAGS
1976-04,1093693,
1976-05,953538,
1976-06,921037,
1976-07,944609,
1976-08,939528,
1976-09,898701,
1976-10,943685,
1976-11,984699,
1976-12,1089935,
1977-01,1248918,
1977-02,1213741,
1977-03,1084229,
1977-04,1039228,
1977-05,946498,
1977-06,930974,
1977-07,972624,
1977-08,963468,
1977-09,911239,
1977-10,954376,
1977-11,1004325,
1977-12,1090708,
1978-01,1213498,
1978-02,1224309,
1978-03,1098969,
1978-04,1000429,
1978-05,912997,
1978-06,877319,
1978-07,922230,
1978-08,923963,
1978-09,864274,
1978-10,901636,
1978-11,927043,
1978-12,1006724,
1979-01,1171353,
1979-02,1134060,
1979-03,957711,
1979-04,875452,
1979-05,775117,
1979-06,763173,
1979-07,803653,
1979-08,798867,
1979-09,736809,
1979-10,761724,
1979-11,798973,
1979-12,866783,
1980-01,1036519,
1980-02,992520,
1980-03,875909,
1980-04,825374,
1980-05,766768,
1980-06,781396,
1980-07,853077,
1980-08,864519,
1980-09,822565,
1980-10,888075,
1980-11,967533,
1980-12,1118302,
1981-01,1308565,
1981-02,1299919,
1981-03,1210140,
1981-04,1146481,
1981-05,1109667,
1981-06,1125701,
1981-07,1246164,
1981-08,1288923,
1981-09,1256374,
1981-10,1365899,
1981-11,1489976,
1981-12,1703862,
1982-01,1949754,
1982-02,1935316,
1982-03,1811370,
1982-04,1710059,
1982-05,1645800,
1982-06,1650289,
1982-07,1757437,
1982-08,1797100,
1982-09,1820030,
1982-10,1920002,
1982-11,2038164,
1982-12,2223352,
1983-01,2487075,
1983-02,2535836,
1983-03,2386499,
1983-04,2253768,
1983-05,2148701,
1983-06,2127105,
1983-07,2202223,
1983-08,2196220,
1983-09,2134140,
1983-10,2147756,
1983-11,2193331,
1983-12,2348986,
1984-01,2539308,
1984-02,2536593,
1984-03,2393251,
1984-04,2253466,
1984-05,2133221,
1984-06,2112596,
1984-07,2202179,
1984-08,2201829,
1984-09,2143486,
1984-10,2144508,
1984-11,2189191,
1984-12,2325183,
1985-01,2619409,
1985-02,2611270,
1985-03,2474451,
1985-04,2304638,
1985-05,2192627,
1985-06,2160443,
1985-07,2221395,
1985-08,2216643,
1985-09,2151577,
1985-10,2148819,
1985-11,2210745,
1985-12,2347129,
1986-01,2590342,
1986-02,2593049,
1986-03,2447619,
1986-04,2230059,
1986-05,2121977,
1986-06,2078185,
1986-07,2131828,
1986-08,2120234,
1986-09,2046120,
1986-10,2026290,
1986-11,2067690,
1986-12,2218181,
1987-01,2497176,
1987-02,2487818,
1987-03,2412379,
1987-04,2215916,
1987-05,2098690,
1987-06,2096918,
1987-07,2175827,
1987-08,2164618,
1987-09,2107122,
1987-10,2092725,
1987-11,2133061,
1987-12,2308230,
1988-01,2518675,
1988-02,2516508,
1988-03,2440098,
1988-04,2261672,
1988-05,2149131,
1988-06,2131408,
1988-07,2199266,
1988-08,2167109,
1988-09,2099863,
1988-10,2074346,
1988-11,2091231,
1988-12,2190496,
1989-01,2334613,
1989-02,2304819,
1989-03,2178164,
1989-04,2035104,
1989-05,1947464,
1989-06,1915189,
1989-07,1972504,
1989-08,1940151,
1989-09,1880776,
1989-10,1873672,
1989-11,1949680,
1989-12,2051972,
1990-01,2191439,
1990-02,2152522,
1990-03,2013057,
1990-04,1914585,
1990-05,1823332,
1990-06,1807969,
1990-07,1863670,
1990-08,1812812,
1990-09,1643729,
1990-10,1602000,
1990-11,1598509,
1990-12,1695024,
1991-01,1781479,
1991-02,1775397,
1991-03,1637991,
1991-04,1558849,
1991-05,1511474,
1991-06,1501748,
1991-07,1600915,
1991-08,1580392,
1991-09,1517370,
1991-10,1505048,
1991-11,1523171,
1991-12,1632284,
1992-01,1770154,
1992-02,1757861,
1992-03,1662063,
1992-04,1639239,
1992-05,1596515,
1992-06,1607002,
1992-07,1716695,
1992-08,1711143,
1992-09,1672762,
1992-10,1716989,
1992-11,1770270,
1992-12,1908882,
1993-01,2135043,
1993-02,2165024,
1993-03,2101291,
1993-04,2075250,
1993-05,2028807,
1993-06,2047844,
1993-07,2205167,
1993-08,2194590,
1993-09,2169106,
1993-10,2236836,
1993-11,2285259,
1993-12,2389845,
1994-01,2606434,
1994-02,2612038,
1994-03,2510638,
1994-04,2460161,
1994-05,2377270,
1994-06,2350779,
1994-07,2440273,
1994-08,2401490,
1994-09,2324839,
1994-10,2313961,
1994-11,2317299,
1994-12,2410412,
1995-01,2604909,
1995-02,2579968,
1995-03,2471593,
1995-04,2426097,
1995-05,2330059,
1995-06,2318382,
1995-07,2410623,
1995-08,2405739,
1995-09,2352653,
1995-10,2355038,
1995-11,2396891,
1995-12,2535684,
1996-01,2753929,
1996-02,2811816,
1996-03,2719358,
1996-04,2619997,
1996-05,2536028,
1996-06,2516678,
1996-07,2613713,
1996-08,2627381,
1996-09,2596946,
1996-10,2617815,
1996-11,2673116,
1996-12,2805377,
1997-01,3100924,
1997-02,3090883,
1997-03,2960635,
1997-04,2865140,
1997-05,2794630,
1997-06,2757067,
1997-07,2836017,
1997-08,2838824,
1997-09,2780814,
1997-10,2769455,
1997-11,2788841,
1997-12,2909068,
1998-01,3074223,
1998-02,3053150,
1998-03,2916300,
1998-04,2795114,
1998-05,2673750,
1998-06,2623603,
1998-07,2667892,
1998-08,2652796,
1998-09,2585016,
1998-10,2557574,
1998-11,2597769,
1998-12,2733395,
1999-01,2869668,
1999-02,2867887,
1999-03,2743865,
1999-04,2648093,
1999-05,2545781,
1999-06,2505569,
1999-07,2541758,
1999-08,2527308,
1999-09,2472147,
1999-10,2442652,
1999-11,2455856,
1999-12,2538707,
2000-01,2672006,
2000-02,2642574,
2000-03,2537985,
2000-04,2434891,
2000-05,2311344,
2000-06,2282066,
2000-07,2320470,
2000-08,2297842,
2000-09,2237172,
2000-10,2198577,
2000-11,2214990,
2000-12,2305156,
2001-01,2468251,
2001-02,2468009,
2001-03,2384419,
2001-04,2308605,
2001-05,2222249,
2001-06,2218599,
2001-07,2279415,
2001-08,2279806,
2001-09,2256376,
2001-10,2268227,
2001-11,2321814,
2001-12,2435301,
2002-01,2636029,
2002-02,2634605,
2002-03,2528228,
2002-04,2448784,
2002-05,2409538,
2002-06,2409264,
2002-07,2482546,
2002-08,2477899,
2002-09,2440456,
2002-10,2450708,
2002-11,2520900,
2002-12,2648200,
2003-01,2898666,
2003-02,2951314,
2003-03,2881168,
2003-04,2812084,
2003-05,2715426,
2003-06,2663946,
2003-07,2735329,
2003-08,2723774,
2003-09,2653567,
2003-10,2637793,
2003-11,2665543,
2003-12,2750920,
2004-01,2928083,
2004-02,2946661,
2004-03,2873013,
2004-04,2806229,
2004-05,2711004,
2004-06,2670142,
2004-07,2761019,
2004-08,2765813,
2004-09,2701737,
2004-10,2694196,
2004-11,2728703,
2004-12,2862104,
2005-01,3309739,
2005-02,3486369,
2005-03,3477397,
2005-04,3339260,
2005-05,3241724,
2005-06,3188333,
2005-07,3239987,
2005-08,3237872,
2005-09,3140502,
2005-10,3098607,
2005-11,3081363,
2005-12,3119909,
2006-01,3362309,
2006-02,3370396,
2006-03,3318130,
2006-04,3201579,
2006-05,3048590,
2006-06,2966420,
2006-07,2960465,
2006-08,2941351,
2006-09,2835352,
2006-10,2738345,
2006-11,2672549,
2006-12,2670414,
2007-01,2815685,
2007-02,2784410,
2007-03,2696028,
2007-04,2599610,
2007-05,2492801,
2007-06,2418169,
2007-07,2440914,
2007-08,2435052,
2007-09,2326351,
2007-10,2256910,
2007-11,2217030,
2007-12,2223380,
2008-01,2375607,
2008-02,2340140,
2008-03,2264821,
2008-04,2209536,
2008-05,2133943,
2008-06,2068067,
2008-07,2114711,
2008-08,2103582,
2008-09,2036589,
2008-10,1984671,
2008-11,1980123,
2008-12,2053550,
2009-01,2300641,
2009-02,2341448,
2009-03,2372359,
2009-04,2392796,
2009-05,2327619,
2009-06,2312797,
2009-07,2362529,
2009-08,2383497,
2009-09,2300928,
2009-10,2223279,
2009-11,2210145,
2009-12,2242539,
2010-01,2463708,
2010-02,2475681,
2010-03,2422090,
2010-04,2324487,
2010-05,2219959,
2010-06,2172077,
2010-07,2205026,
2010-08,2214901,
2010-09,2100297,
2010-10,2040144,
2010-11,2026386,
2010-12,2064921,
2011-01,2271197,
2011-02,2238260,
2011-03,2168053,
2011-04,2085848,
2011-05,2011946,
2011-06,1972154,
2011-07,2010589,
2011-08,2025166,
2011-09,1918956,
2011-10,1876991,
2011-11,1851648,
2011-12,1887733,
2012-01,2085371,
2012-02,2104486,
2012-03,2051525,
2012-04,2024046,
2012-05,1964143,
2012-06,1946160,
2012-07,2005823,
2012-08,2035922,
2012-09,1952769,
2012-10,1929309,
2012-11,1925595,
2012-12,1973863,
2013-01,2171625,
2013-02,2188493,
2013-03,2150573,
2013-04,2107788,
2013-05,2067669,
2013-06,2028687,
2013-07,2076392,
2013-08,2106940,
2013-09,2037342,
2013-10,1998296,
2013-11,1996023,
2013-12,2034278,
2014-01,2207374,
2014-02,2210161,
2014-03,2159544,
2014-04,2093679,
2014-05,2061023,
2014-06,2034034,
2014-07,2075576,
2014-08,2104801,
2014-09,2037178,
2014-10,1974399,
2014-11,1956799,
2014-12,1980073,
2015-01,2160458,
2015-02,2152973,
"",Source: Federal Employment Agency.,
"","Methodology: Western Germany (up to 1958 excluding Saarland and as of September 1990 excluding West Berlin). Up to and including December 2004 month-end figures, as of January 2005 mid-month figures. As of January 2004, unemployed persons excluding participants in aptitude testing and training measures. Early 2005 rise influenced by inclusion of recipients of social assistance who are able to work.",
