"",BBEX3.M.GNF.USD.CA.AC.A01,BBEX3.M.GNF.USD.CA.AC.A01_FLAGS
2004-11,2550.00000,
2004-12,2550.00000,
2005-01,2650.00000,
2005-02,2850.00000,
2005-03,3228.00000,
2005-04,3452.00000,
2005-05,3648.00000,
2005-06,3827.00000,
2005-07,3823.00000,
2005-08,3991.00000,
2005-09,4133.00000,
2005-10,4269.00000,
2005-11,4391.00000,
2005-12,4500.00000,
2006-01,4527.87500,
2006-02,4583.80000,
2006-03,4665.80000,
2006-04,4717.05000,
2006-05,4797.99500,
2006-06,5006.68500,
2006-07,5350.03000,
2006-08,5551.22500,
2006-09,5601.02000,
2006-10,5841.07500,
2006-11,6027.43995,
2006-12,5976.94500,
2007-01,6436.71000,
2007-02,6040.12500,
2007-03,5799.18000,
2007-04,3917.37495,
2007-05,3471.43750,
2007-06,3586.27500,
2007-07,3895.00000,
2007-08,4076.31000,
2007-09,4169.43450,
2007-10,4221.20425,
2007-11,4275.96705,
2007-12,4281.74075,
2008-01,4278.11625,
2008-02,4335.00000,
2008-03,4369.87500,
2008-04,4444.60225,
2008-05,4424.60225,
2008-06,4462.45710,
2008-07,4538.04995,
2008-08,4578.75000,
2008-09,4934.87500,
2008-10,4921.50000,
2008-11,4984.00000,
2008-12,4984.00000,
2009-01,4780.57140,
2009-02,4780.57140,
2009-03,4912.50000,
2009-04,4987.50000,
2009-05,4975.00000,
2009-06,4775.00055,
2009-07,4897.50000,
2009-08,5000.00000,
2009-09,4900.00000,
2009-10,4900.00000,
2009-11,5075.00000,
2009-12,5300.00000,comment
2010-01,5500.00000,
2010-02,5612.50000,
2010-03,6012.50000,
2010-04,6212.50000,
2010-05,6375.00000,
2010-06,6125.00000,
2010-07,6512.50000,comment
2010-08,6775.00000,
2010-09,6902.50000,
2010-10,6937.50000,
2010-11,7000.00000,
2010-12,7125.00000,
2011-01,7475.00000,
2011-02,7675.00000,
2011-03,6570.97005,
2011-04,6570.97005,
2011-05,6448.59555,
2011-06,6698.84295,
2011-07,6748.99360,
2011-08,6804.93745,
2011-09,6805.96905,
2011-10,6872.80225,
2011-11,6957.23845,
2011-12,7011.82275,
2012-01,6891.41105,
2012-02,6920.73000,
2012-03,6914.25675,
2012-04,6913.62855,
2012-05,6829.55205,
2012-06,6806.65245,
2012-07,6832.36735,
2012-08,6866.17325,
2012-09,6882.24405,
2012-10,6865.54035,
2012-11,6863.31765,
2012-12,6857.92115,
2013-01,6875.40555,
2013-02,6816.04365,
2013-03,6787.59275,
2013-04,6752.72715,
2013-05,6736.27345,
2013-06,6734.46075,
2013-07,6758.45695,
2013-08,6746.21195,
2013-09,6752.05005,
2013-10,6773.08025,
2013-11,6836.74495,
2013-12,6881.06495,
2014-01,6896.71405,comment
2014-02,6892.28815,
2014-03,6890.87525,
2014-04,6893.24595,
2014-05,6885.12095,
2014-06,6861.52975,
2014-07,6868.27685,comment
2014-08,6895.43975,
2014-09,6935.16555,
2014-10,6966.61025,
2014-11,6982.76945,
2014-12,7074.85785,
2015-01,7134.52015,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:  Since 2006: Banque Internationale pour le Commerce et L`Industrie de la Guinee, Conakry. 1990 - 2005: Banque Centrale de la Republique de Guinee, Conakry.",
"","Comment on 2004-07: On 2 July 2004, the Guinean franc was devalued. We recorded the following exchange rates (buying/selling rate).  1 July 2004: USD 1 = GNF 1,990.00 / 2,010.00  14 July 2004: USD 1 = GNF 2,487,50 / 2,512,50.  Calculated devaluation: 20.0%.",
"",Comment on 2009-12: Exchange rate as of 24 December 2009.,
"",Comment on 2010-07: Exchange rate as of 2 August 2010.,
"",Comment on 2014-01: Exchange rate as of 6 February 2014.,
"",Comment on 2014-07: Exchange rate as of 7 August 2014.,
