"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F4.L._T.N.N_FLAGS
1999-11,-5.262,
1999-12,112.868,
2000-01,114.846,
2000-02,17.793,
2000-03,-502.864,
2000-04,-369.130,
2000-05,452.338,
2000-06,702.830,
2000-07,179.946,
2000-08,190.907,
2000-09,0.791,
2000-10,196.008,
2000-11,358.196,
2000-12,-1312.109,
2001-01,101.297,
2001-02,103.995,
2001-03,35.963,
2001-04,58.244,
2001-05,316.509,
2001-06,550.196,
2001-07,66.988,
2001-08,19.590,
2001-09,-45.362,
2001-10,780.916,
2001-11,219.795,
2001-12,358.271,
2002-01,101.276,
2002-02,55.083,
2002-03,256.073,
2002-04,46.172,
2002-05,-52.139,
2002-06,-24.020,
2002-07,28.610,
2002-08,-62.829,
2002-09,35.281,
2002-10,109.838,
2002-11,38.987,
2002-12,1133.034,
2003-01,317.146,
2003-02,316.996,
2003-03,58.971,
2003-04,-178.435,
2003-05,280.334,
2003-06,193.989,
2003-07,175.101,
2003-08,120.794,
2003-09,376.032,
2003-10,718.010,
2003-11,90.293,
2003-12,-77.608,
2004-01,433.543,
2004-02,-88.934,
2004-03,-282.377,
2004-04,-116.749,
2004-05,109.183,
2004-06,386.824,
2004-07,468.820,
2004-08,-64.512,
2004-09,-138.047,
2004-10,268.503,
2004-11,96.772,
2004-12,-195.609,
2005-01,121.203,
2005-02,-243.425,
2005-03,-144.463,
2005-04,3367.561,
2005-05,49.797,
2005-06,392.707,
2005-07,816.234,
2005-08,119.627,
2005-09,-367.427,
2005-10,-91.540,
2005-11,191.324,
2005-12,93.063,
2006-01,-626.410,
2006-02,-331.905,
2006-03,-114.180,
2006-04,-55.840,
2006-05,681.828,
2006-06,-158.324,
2006-07,-8.645,
2006-08,303.316,
2006-09,703.793,
2006-10,882.331,
2006-11,288.592,
2006-12,-57.142,
2007-01,-7.154,
2007-02,372.925,
2007-03,222.104,
2007-04,442.052,
2007-05,-457.766,
2007-06,548.997,
2007-07,263.022,
2007-08,264.456,
2007-09,-332.366,
2007-10,54.213,
2007-11,138.497,
2007-12,-612.353,
2008-01,29.661,
2008-02,640.562,
2008-03,-344.742,
2008-04,-220.289,
2008-05,674.330,
2008-06,378.724,
2008-07,682.721,
2008-08,179.919,
2008-09,618.155,
2008-10,-37.507,
2008-11,189.963,
2008-12,861.638,
2009-01,863.006,
2009-02,453.933,
2009-03,789.996,
2009-04,1088.539,
2009-05,546.239,
2009-06,357.985,
2009-07,1196.651,
2009-08,841.218,
2009-09,1222.631,
2009-10,161.833,
2009-11,469.556,
2009-12,579.690,
2010-01,1046.172,
2010-02,-335.619,
2010-03,605.487,
2010-04,515.709,
2010-05,748.898,
2010-06,247.907,
2010-07,143.809,
2010-08,-599.933,
2010-09,171.615,
2010-10,-417.934,
2010-11,257.367,
2010-12,-361.469,
2011-01,-1145.735,
2011-02,271.308,
2011-03,413.245,
2011-04,-683.468,
2011-05,2709.551,
2011-06,-3471.160,
2011-07,-952.108,
2011-08,1968.420,
2011-09,-1534.822,
2011-10,4303.465,
2011-11,1404.695,
2011-12,-252.961,
2012-01,209.518,
2012-02,631.618,
2012-03,-933.635,
2012-04,298.558,
2012-05,-186.944,
2012-06,-453.820,
2012-07,-183.838,
2012-08,-42.580,
2012-09,158.123,
2012-10,-221.484,
2012-11,35.498,
2012-12,-653.687,
2013-01,-1280.124,
2013-02,-119.614,
2013-03,-155.574,
2013-04,424.309,
2013-05,-598.829,
2013-06,-1023.953,
2013-07,-456.932,
2013-08,-1065.225,
2013-09,-3381.924,
2013-10,-809.518,
2013-11,78.123,
2013-12,-1570.148,
2014-01,-192.583,
2014-02,-424.143,Provisional value
2014-03,-69.301,Provisional value
2014-04,-1182.646,Provisional value
2014-05,-3385.033,Provisional value
2014-06,-1488.464,Provisional value
2014-07,296.329,Provisional value
2014-08,-378.328,Provisional value
2014-09,-625.143,
2014-10,300.139,
2014-11,-90.897,
2014-12,1137.585,Provisional value
