"",BBEX3.D.VEF.EUR.CA.AC.B00,BBEX3.D.VEF.EUR.CA.AC.B00_FLAGS
2010-03-23,.,No value available
2010-03-24,.,No value available
2010-03-25,.,No value available
2010-03-26,5.761059045,
2010-03-27,.,No value available
2010-03-28,.,No value available
2010-03-29,.,No value available
2010-03-30,.,No value available
2010-03-31,5.803146080,
2010-04-01,.,No value available
2010-04-02,.,No value available
2010-04-03,.,No value available
2010-04-04,.,No value available
2010-04-05,.,No value available
2010-04-06,.,No value available
2010-04-07,.,No value available
2010-04-08,.,No value available
2010-04-09,5.794986780,
2010-04-10,.,No value available
2010-04-11,.,No value available
2010-04-12,.,No value available
2010-04-13,.,No value available
2010-04-14,.,No value available
2010-04-15,5.831491305,
2010-04-16,.,No value available
2010-04-17,.,No value available
2010-04-18,.,No value available
2010-04-19,.,No value available
2010-04-20,.,No value available
2010-04-21,.,No value available
2010-04-22,.,No value available
2010-04-23,5.743020980,
2010-04-24,.,No value available
2010-04-25,.,No value available
2010-04-26,.,No value available
2010-04-27,.,No value available
2010-04-28,.,No value available
2010-04-29,.,No value available
2010-04-30,5.718112010,
2010-05-01,.,No value available
2010-05-02,.,No value available
2010-05-03,.,No value available
2010-05-04,.,No value available
2010-05-05,.,No value available
2010-05-06,.,No value available
2010-05-07,5.468163380,
2010-05-08,.,No value available
2010-05-09,.,No value available
2010-05-10,.,No value available
2010-05-11,.,No value available
2010-05-12,.,No value available
2010-05-13,.,No value available
2010-05-14,5.317851165,
2010-05-15,.,No value available
2010-05-16,.,No value available
2010-05-17,.,No value available
2010-05-18,.,No value available
2010-05-19,.,No value available
2010-05-20,.,No value available
2010-05-21,5.399878980,
2010-05-22,.,No value available
2010-05-23,.,No value available
2010-05-24,.,No value available
2010-05-25,.,No value available
2010-05-26,.,No value available
2010-05-27,.,No value available
2010-05-28,5.272113945,
2010-05-29,.,No value available
2010-05-30,.,No value available
2010-05-31,.,No value available
2010-06-01,.,No value available
2010-06-02,.,No value available
2010-06-03,.,No value available
2010-06-04,5.136831400,
2010-06-05,.,No value available
2010-06-06,.,No value available
2010-06-07,.,No value available
2010-06-08,.,No value available
2010-06-09,.,No value available
2010-06-10,.,No value available
2010-06-11,5.195024710,
2010-06-12,.,No value available
2010-06-13,.,No value available
2010-06-14,.,No value available
2010-06-15,5.301960425,
2010-06-16,.,No value available
2010-06-17,.,No value available
2010-06-18,5.312483120,
2010-06-19,.,No value available
2010-06-20,.,No value available
2010-06-21,.,No value available
2010-06-22,.,No value available
2010-06-23,.,No value available
2010-06-24,.,No value available
2010-06-25,5.320427955,
2010-06-26,.,No value available
2010-06-27,.,No value available
2010-06-28,.,No value available
2010-06-29,.,No value available
2010-06-30,5.254075345,
2010-07-01,.,No value available
2010-07-02,5.390645215,
2010-07-03,.,No value available
2010-07-04,.,No value available
2010-07-05,.,No value available
2010-07-06,.,No value available
2010-07-07,.,No value available
2010-07-08,.,No value available
2010-07-09,5.428438135,
2010-07-10,.,No value available
2010-07-11,.,No value available
2010-07-12,.,No value available
2010-07-13,.,No value available
2010-07-14,.,No value available
2010-07-15,5.554915310,
2010-07-16,.,No value available
2010-07-17,.,No value available
2010-07-18,.,No value available
2010-07-19,.,No value available
2010-07-20,.,No value available
2010-07-21,.,No value available
2010-07-22,.,No value available
2010-07-23,5.545467080,
2010-07-24,.,No value available
2010-07-25,.,No value available
2010-07-26,.,No value available
2010-07-27,.,No value available
2010-07-28,.,No value available
2010-07-29,.,No value available
2010-07-30,5.597002880,
2010-07-31,.,No value available
2010-08-01,.,No value available
2010-08-02,.,No value available
2010-08-03,.,No value available
2010-08-04,.,No value available
2010-08-05,.,No value available
2010-08-06,5.709094315,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,.,No value available
2010-08-10,.,No value available
2010-08-11,.,No value available
2010-08-12,.,No value available
2010-08-13,5.478471610,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,.,No value available
2010-08-17,.,No value available
2010-08-18,.,No value available
2010-08-19,.,No value available
2010-08-20,5.457856220,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,.,No value available
2010-08-24,.,No value available
2010-08-25,.,No value available
2010-08-26,.,No value available
2010-08-27,5.468593380,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,.,No value available
2010-08-31,5.443255480,
2010-09-01,.,No value available
2010-09-02,.,No value available
2010-09-03,5.536663315,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,.,No value available
2010-09-07,.,No value available
2010-09-08,.,No value available
2010-09-09,.,No value available
2010-09-10,5.459144615,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,.,No value available
2010-09-14,.,No value available
2010-09-15,5.588199650,
2010-09-16,.,No value available
2010-09-17,.,No value available
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,.,No value available
2010-09-21,.,No value available
2010-09-22,.,No value available
2010-09-23,.,No value available
2010-09-24,5.794556780,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,.,No value available
2010-09-28,.,No value available
2010-09-29,.,No value available
2010-09-30,5.854253485,
2010-10-01,5.917598770,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,.,No value available
2010-10-05,.,No value available
2010-10-06,.,No value available
2010-10-07,.,No value available
2010-10-08,5.982018520,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,.,No value available
2010-10-12,.,No value available
2010-10-13,.,No value available
2010-10-14,.,No value available
2010-10-15,6.000914980,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,.,No value available
2010-10-19,.,No value available
2010-10-20,.,No value available
2010-10-21,.,No value available
2010-10-22,5.982234055,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,.,No value available
2010-10-26,.,No value available
2010-10-27,.,No value available
2010-10-28,.,No value available
2010-10-29,5.976651010,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,.,No value available
2010-11-02,.,No value available
2010-11-03,.,No value available
2010-11-04,.,No value available
2010-11-05,6.026254485,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,.,No value available
2010-11-09,.,No value available
2010-11-10,.,No value available
2010-11-11,.,No value available
2010-11-12,.,No value available
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,5.826981655,
2010-11-16,.,No value available
2010-11-17,.,No value available
2010-11-18,.,No value available
2010-11-19,5.878089060,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,.,No value available
2010-11-23,.,No value available
2010-11-24,.,No value available
2010-11-25,.,No value available
2010-11-26,5.687191600,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,.,No value available
2010-11-30,5.574670700,
2010-12-01,.,No value available
2010-12-02,.,No value available
2010-12-03,5.758911185,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,.,No value available
2010-12-07,.,No value available
2010-12-08,.,No value available
2010-12-09,.,No value available
2010-12-10,5.681393020,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,.,No value available
2010-12-14,.,No value available
2010-12-15,5.677742835,
2010-12-16,.,No value available
2010-12-17,.,No value available
2010-12-18,.,No value available
2010-12-19,.,No value available
2010-12-20,.,No value available
2010-12-21,.,No value available
2010-12-22,.,No value available
2010-12-23,.,No value available
2010-12-24,5.633293475,
2010-12-25,.,No value available
2010-12-26,.,No value available
2010-12-27,.,No value available
2010-12-28,.,No value available
2010-12-29,.,No value available
2010-12-30,.,No value available
2010-12-31,5.734003820,
2011-01-01,.,No value available
2011-01-02,.,No value available
2011-01-03,.,No value available
2011-01-04,.,No value available
2011-01-05,.,No value available
2011-01-06,.,No value available
2011-01-07,5.544393685,
2011-01-08,.,No value available
2011-01-09,.,No value available
2011-01-10,.,No value available
2011-01-11,.,No value available
2011-01-12,.,No value available
2011-01-13,.,No value available
2011-01-14,5.743879910,
2011-01-15,.,No value available
2011-01-16,.,No value available
2011-01-17,.,No value available
2011-01-18,.,No value available
2011-01-19,.,No value available
2011-01-20,.,No value available
2011-01-21,5.847810440,
2011-01-22,.,No value available
2011-01-23,.,No value available
2011-01-24,.,No value available
2011-01-25,.,No value available
2011-01-26,.,No value available
2011-01-27,.,No value available
2011-01-28,.,No value available
2011-01-29,.,No value available
2011-01-30,.,No value available
2011-01-31,5.880449780,
2011-02-01,.,No value available
2011-02-02,.,No value available
2011-02-03,.,No value available
2011-02-04,5.836429885,
2011-02-05,.,No value available
2011-02-06,.,No value available
2011-02-07,.,No value available
2011-02-08,.,No value available
2011-02-09,.,No value available
2011-02-10,.,No value available
2011-02-11,5.819036285,
2011-02-12,.,No value available
2011-02-13,.,No value available
2011-02-14,.,No value available
2011-02-15,5.790478200,
2011-02-16,.,No value available
2011-02-17,.,No value available
2011-02-18,5.878732455,
2011-02-19,.,No value available
2011-02-20,.,No value available
2011-02-21,.,No value available
2011-02-22,.,No value available
2011-02-23,.,No value available
2011-02-24,.,No value available
2011-02-25,.,No value available
2011-02-26,.,No value available
2011-02-27,.,No value available
2011-02-28,5.928549860,
2011-03-01,.,No value available
2011-03-02,.,No value available
2011-03-03,.,No value available
2011-03-04,6.006498025,
2011-03-05,.,No value available
2011-03-06,.,No value available
2011-03-07,.,No value available
2011-03-08,.,No value available
2011-03-09,.,No value available
2011-03-10,.,No value available
2011-03-11,5.969349570,
2011-03-12,.,No value available
2011-03-13,.,No value available
2011-03-14,.,No value available
2011-03-15,6.010578745,
2011-03-16,.,No value available
2011-03-17,.,No value available
2011-03-18,6.085090120,
2011-03-19,.,No value available
2011-03-20,.,No value available
2011-03-21,.,No value available
2011-03-22,.,No value available
2011-03-23,.,No value available
2011-03-24,.,No value available
2011-03-25,6.041928620,
2011-03-26,.,No value available
2011-03-27,.,No value available
2011-03-28,.,No value available
2011-03-29,.,No value available
2011-03-30,.,No value available
2011-03-31,6.090243700,
2011-04-01,.,No value available
2011-04-02,.,No value available
2011-04-03,.,No value available
2011-04-04,.,No value available
2011-04-05,.,No value available
2011-04-06,.,No value available
2011-04-07,.,No value available
2011-04-08,6.207702110,
2011-04-09,.,No value available
2011-04-10,.,No value available
2011-04-11,.,No value available
2011-04-12,.,No value available
2011-04-13,.,No value available
2011-04-14,.,No value available
2011-04-15,6.194603695,
2011-04-16,.,No value available
2011-04-17,.,No value available
2011-04-18,.,No value available
2011-04-19,.,No value available
2011-04-20,6.233471080,
2011-04-21,.,No value available
2011-04-22,.,No value available
2011-04-23,.,No value available
2011-04-24,.,No value available
2011-04-25,.,No value available
2011-04-26,.,No value available
2011-04-27,.,No value available
2011-04-28,.,No value available
2011-04-29,6.363384510,
2011-04-30,.,No value available
2011-05-01,.,No value available
2011-05-02,.,No value available
2011-05-03,.,No value available
2011-05-04,.,No value available
2011-05-05,.,No value available
2011-05-06,6.166904005,
2011-05-07,.,No value available
2011-05-08,.,No value available
2011-05-09,.,No value available
2011-05-10,.,No value available
2011-05-11,.,No value available
2011-05-12,.,No value available
2011-05-13,6.058248825,
2011-05-14,.,No value available
2011-05-15,.,No value available
2011-05-16,.,No value available
2011-05-17,.,No value available
2011-05-18,.,No value available
2011-05-19,.,No value available
2011-05-20,6.079077610,
2011-05-21,.,No value available
2011-05-22,.,No value available
2011-05-23,.,No value available
2011-05-24,.,No value available
2011-05-25,.,No value available
2011-05-26,.,No value available
2011-05-27,6.135551990,
2011-05-28,.,No value available
2011-05-29,.,No value available
2011-05-30,.,No value available
2011-05-31,6.181934210,
2011-06-01,.,No value available
2011-06-02,.,No value available
2011-06-03,6.283717950,
2011-06-04,.,No value available
2011-06-05,.,No value available
2011-06-06,.,No value available
2011-06-07,.,No value available
2011-06-08,.,No value available
2011-06-09,.,No value available
2011-06-10,6.154448450,
2011-06-11,.,No value available
2011-06-12,.,No value available
2011-06-13,.,No value available
2011-06-14,.,No value available
2011-06-15,6.086593515,
2011-06-16,.,No value available
2011-06-17,.,No value available
2011-06-18,.,No value available
2011-06-19,.,No value available
2011-06-20,.,No value available
2011-06-21,.,No value available
2011-06-22,.,No value available
2011-06-23,6.121379645,
2011-06-24,.,No value available
2011-06-25,.,No value available
2011-06-26,.,No value available
2011-06-27,.,No value available
2011-06-28,.,No value available
2011-06-29,.,No value available
2011-06-30,6.231752150,
2011-07-01,.,No value available
2011-07-02,.,No value available
2011-07-03,.,No value available
2011-07-04,.,No value available
2011-07-05,.,No value available
2011-07-06,.,No value available
2011-07-07,.,No value available
2011-07-08,6.124386435,
2011-07-09,.,No value available
2011-07-10,.,No value available
2011-07-11,.,No value available
2011-07-12,.,No value available
2011-07-13,.,No value available
2011-07-14,.,No value available
2011-07-15,6.078864215,
2011-07-16,.,No value available
2011-07-17,.,No value available
2011-07-18,.,No value available
2011-07-19,.,No value available
2011-07-20,.,No value available
2011-07-21,.,No value available
2011-07-22,6.167976865,
2011-07-23,.,No value available
2011-07-24,.,No value available
2011-07-25,.,No value available
2011-07-26,.,No value available
2011-07-27,.,No value available
2011-07-28,.,No value available
2011-07-29,6.175063305,
2011-07-30,.,No value available
2011-07-31,.,No value available
2011-08-01,.,No value available
2011-08-02,.,No value available
2011-08-03,.,No value available
2011-08-04,.,No value available
2011-08-05,6.133190200,
2011-08-06,.,No value available
2011-08-07,.,No value available
2011-08-08,.,No value available
2011-08-09,.,No value available
2011-08-10,.,No value available
2011-08-11,.,No value available
2011-08-12,6.120091250,
2011-08-13,.,No value available
2011-08-14,.,No value available
2011-08-15,.,No value available
2011-08-16,.,No value available
2011-08-17,.,No value available
2011-08-18,.,No value available
2011-08-19,6.182793675,
2011-08-20,.,No value available
2011-08-21,.,No value available
2011-08-22,.,No value available
2011-08-23,.,No value available
2011-08-24,.,No value available
2011-08-25,.,No value available
2011-08-26,6.222733920,
2011-08-27,.,No value available
2011-08-28,.,No value available
2011-08-29,.,No value available
2011-08-30,.,No value available
2011-08-31,6.172056515,
2011-09-01,.,No value available
2011-09-02,6.096256210,
2011-09-03,.,No value available
2011-09-04,.,No value available
2011-09-05,.,No value available
2011-09-06,.,No value available
2011-09-07,.,No value available
2011-09-08,.,No value available
2011-09-09,5.865419040,
2011-09-10,.,No value available
2011-09-11,.,No value available
2011-09-12,.,No value available
2011-09-13,.,No value available
2011-09-14,.,No value available
2011-09-15,5.961834200,
2011-09-16,.,No value available
2011-09-17,.,No value available
2011-09-18,.,No value available
2011-09-19,.,No value available
2011-09-20,.,No value available
2011-09-21,.,No value available
2011-09-22,.,No value available
2011-09-23,5.801857685,
2011-09-24,.,No value available
2011-09-25,.,No value available
2011-09-26,.,No value available
2011-09-27,.,No value available
2011-09-28,.,No value available
2011-09-29,.,No value available
2011-09-30,5.755904930,
2011-10-01,.,No value available
2011-10-02,.,No value available
2011-10-03,.,No value available
2011-10-04,.,No value available
2011-10-05,.,No value available
2011-10-06,.,No value available
2011-10-07,5.749893490,
2011-10-08,.,No value available
2011-10-09,.,No value available
2011-10-10,.,No value available
2011-10-11,.,No value available
2011-10-12,.,No value available
2011-10-13,.,No value available
2011-10-14,5.959471340,
2011-10-15,.,No value available
2011-10-16,.,No value available
2011-10-17,.,No value available
2011-10-18,.,No value available
2011-10-19,.,No value available
2011-10-20,.,No value available
2011-10-21,5.966342780,
2011-10-22,.,No value available
2011-10-23,.,No value available
2011-10-24,.,No value available
2011-10-25,.,No value available
2011-10-26,.,No value available
2011-10-27,.,No value available
2011-10-28,6.080580470,
2011-10-29,.,No value available
2011-10-30,.,No value available
2011-10-31,.,No value available
2011-11-01,.,No value available
2011-11-02,.,No value available
2011-11-03,.,No value available
2011-11-04,5.911801795,
2011-11-05,.,No value available
2011-11-06,.,No value available
2011-11-07,.,No value available
2011-11-08,.,No value available
2011-11-09,.,No value available
2011-11-10,5.841799000,
2011-11-11,.,No value available
2011-11-12,.,No value available
2011-11-13,.,No value available
2011-11-14,.,No value available
2011-11-15,5.811735380,
2011-11-16,.,No value available
2011-11-17,.,No value available
2011-11-18,5.806367335,
2011-11-19,.,No value available
2011-11-20,.,No value available
2011-11-21,.,No value available
2011-11-22,.,No value available
2011-11-23,.,No value available
2011-11-24,.,No value available
2011-11-25,5.682895880,
2011-11-26,.,No value available
2011-11-27,.,No value available
2011-11-28,.,No value available
2011-11-29,.,No value available
2011-11-30,5.771580670,
2011-12-01,.,No value available
2011-12-02,5.756763860,
2011-12-03,.,No value available
2011-12-04,.,No value available
2011-12-05,.,No value available
2011-12-06,.,No value available
2011-12-07,.,No value available
2011-12-08,.,No value available
2011-12-09,5.743022050,
2011-12-10,.,No value available
2011-12-11,.,No value available
2011-12-12,.,No value available
2011-12-13,.,No value available
2011-12-14,.,No value available
2011-12-15,5.589272510,
2011-12-16,.,No value available
2011-12-17,.,No value available
2011-12-18,.,No value available
2011-12-19,.,No value available
2011-12-20,.,No value available
2011-12-21,.,No value available
2011-12-22,.,No value available
2011-12-23,5.600010205,
2011-12-24,.,No value available
2011-12-25,.,No value available
2011-12-26,.,No value available
2011-12-27,.,No value available
2011-12-28,.,No value available
2011-12-29,.,No value available
2011-12-30,5.565651935,
2011-12-31,.,No value available
2012-01-01,.,No value available
2012-01-02,.,No value available
2012-01-03,.,No value available
2012-01-04,.,No value available
2012-01-05,.,No value available
2012-01-06,5.464299265,
2012-01-07,.,No value available
2012-01-08,.,No value available
2012-01-09,.,No value available
2012-01-10,.,No value available
2012-01-11,.,No value available
2012-01-12,.,No value available
2012-01-13,5.447334595,
2012-01-14,.,No value available
2012-01-15,.,No value available
2012-01-16,.,No value available
2012-01-17,.,No value available
2012-01-18,.,No value available
2012-01-19,.,No value available
2012-01-20,5.556204240,
2012-01-21,.,No value available
2012-01-22,.,No value available
2012-01-23,.,No value available
2012-01-24,.,No value available
2012-01-25,.,No value available
2012-01-26,.,No value available
2012-01-27,5.676239975,
2012-01-28,.,No value available
2012-01-29,.,No value available
2012-01-30,.,No value available
2012-01-31,5.619335595,
2012-02-01,.,No value available
2012-02-02,.,No value available
2012-02-03,5.645532425,
2012-02-04,.,No value available
2012-02-05,.,No value available
2012-02-06,.,No value available
2012-02-07,.,No value available
2012-02-08,.,No value available
2012-02-09,.,No value available
2012-02-10,5.656698515,
2012-02-11,.,No value available
2012-02-12,.,No value available
2012-02-13,.,No value available
2012-02-14,.,No value available
2012-02-15,5.611390225,
2012-02-16,.,No value available
2012-02-17,.,No value available
2012-02-18,.,No value available
2012-02-19,.,No value available
2012-02-20,.,No value available
2012-02-21,.,No value available
2012-02-22,.,No value available
2012-02-23,.,No value available
2012-02-24,5.781243900,
2012-02-25,.,No value available
2012-02-26,.,No value available
2012-02-27,.,No value available
2012-02-28,.,No value available
2012-02-29,5.723266660,
2012-03-01,.,No value available
2012-03-02,5.670226930,
2012-03-03,.,No value available
2012-03-04,.,No value available
2012-03-05,.,No value available
2012-03-06,.,No value available
2012-03-07,.,No value available
2012-03-08,.,No value available
2012-03-09,5.632219010,
2012-03-10,.,No value available
2012-03-11,.,No value available
2012-03-12,.,No value available
2012-03-13,.,No value available
2012-03-14,.,No value available
2012-03-15,5.619550060,
2012-03-16,.,No value available
2012-03-17,.,No value available
2012-03-18,.,No value available
2012-03-19,.,No value available
2012-03-20,.,No value available
2012-03-21,.,No value available
2012-03-22,.,No value available
2012-03-23,5.697497690,
2012-03-24,.,No value available
2012-03-25,.,No value available
2012-03-26,.,No value available
2012-03-27,.,No value available
2012-03-28,.,No value available
2012-03-29,.,No value available
2012-03-30,5.727560240,
2012-03-31,.,No value available
2012-04-01,.,No value available
2012-04-02,.,No value available
2012-04-03,.,No value available
2012-04-04,5.642741705,
2012-04-05,.,No value available
2012-04-06,.,No value available
2012-04-07,.,No value available
2012-04-08,.,No value available
2012-04-09,.,No value available
2012-04-10,.,No value available
2012-04-11,.,No value available
2012-04-12,.,No value available
2012-04-13,.,No value available
2012-04-14,.,No value available
2012-04-15,.,No value available
2012-04-16,5.642312240,
2012-04-17,.,No value available
2012-04-18,.,No value available
2012-04-19,.,No value available
2012-04-20,5.673877650,
2012-04-21,.,No value available
2012-04-22,.,No value available
2012-04-23,.,No value available
2012-04-24,.,No value available
2012-04-25,.,No value available
2012-04-26,.,No value available
2012-04-27,.,No value available
2012-04-28,.,No value available
2012-04-29,.,No value available
2012-04-30,5.685473740,
2012-05-01,.,No value available
2012-05-02,.,No value available
2012-05-03,.,No value available
2012-05-04,5.621912920,
2012-05-05,.,No value available
2012-05-06,.,No value available
2012-05-07,.,No value available
2012-05-08,.,No value available
2012-05-09,.,No value available
2012-05-10,.,No value available
2012-05-11,5.549761730,
2012-05-12,.,No value available
2012-05-13,.,No value available
2012-05-14,.,No value available
2012-05-15,5.467304985,
2012-05-16,.,No value available
2012-05-17,.,No value available
2012-05-18,.,No value available
2012-05-19,.,No value available
2012-05-20,.,No value available
2012-05-21,.,No value available
2012-05-22,.,No value available
2012-05-23,.,No value available
2012-05-24,.,No value available
2012-05-25,5.373681080,
2012-05-26,.,No value available
2012-05-27,.,No value available
2012-05-28,.,No value available
2012-05-29,.,No value available
2012-05-30,.,No value available
2012-05-31,5.309905795,
2012-06-01,5.332237975,
2012-06-02,.,No value available
2012-06-03,.,No value available
2012-06-04,.,No value available
2012-06-05,.,No value available
2012-06-06,.,No value available
2012-06-07,.,No value available
2012-06-08,5.369386430,
2012-06-09,.,No value available
2012-06-10,.,No value available
2012-06-11,.,No value available
2012-06-12,.,No value available
2012-06-13,.,No value available
2012-06-14,.,No value available
2012-06-15,5.435739040,
2012-06-16,.,No value available
2012-06-17,.,No value available
2012-06-18,.,No value available
2012-06-19,.,No value available
2012-06-20,.,No value available
2012-06-21,.,No value available
2012-06-22,5.396442725,
2012-06-23,.,No value available
2012-06-24,.,No value available
2012-06-25,.,No value available
2012-06-26,.,No value available
2012-06-27,.,No value available
2012-06-28,.,No value available
2012-06-29,5.434450645,
2012-06-30,.,No value available
2012-07-01,.,No value available
2012-07-02,.,No value available
2012-07-03,.,No value available
2012-07-04,.,No value available
2012-07-05,.,No value available
2012-07-06,5.274904665,
2012-07-07,.,No value available
2012-07-08,.,No value available
2012-07-09,.,No value available
2012-07-10,.,No value available
2012-07-11,.,No value available
2012-07-12,.,No value available
2012-07-13,.,No value available
2012-07-14,.,No value available
2012-07-15,.,No value available
2012-07-16,5.271898410,
2012-07-17,.,No value available
2012-07-18,.,No value available
2012-07-19,.,No value available
2012-07-20,5.222080470,
2012-07-21,.,No value available
2012-07-22,.,No value available
2012-07-23,.,No value available
2012-07-24,.,No value available
2012-07-25,.,No value available
2012-07-26,.,No value available
2012-07-27,5.284782360,
2012-07-28,.,No value available
2012-07-29,.,No value available
2012-07-30,.,No value available
2012-07-31,5.284996825,
2012-08-01,.,No value available
2012-08-02,.,No value available
2012-08-03,5.316777235,
2012-08-04,.,No value available
2012-08-05,.,No value available
2012-08-06,.,No value available
2012-08-07,.,No value available
2012-08-08,.,No value available
2012-08-09,.,No value available
2012-08-10,5.280916640,
2012-08-11,.,No value available
2012-08-12,.,No value available
2012-08-13,.,No value available
2012-08-14,.,No value available
2012-08-15,5.277266990,
2012-08-16,.,No value available
2012-08-17,.,No value available
2012-08-18,.,No value available
2012-08-19,.,No value available
2012-08-20,.,No value available
2012-08-21,.,No value available
2012-08-22,.,No value available
2012-08-23,.,No value available
2012-08-24,5.373681615,
2012-08-25,.,No value available
2012-08-26,.,No value available
2012-08-27,.,No value available
2012-08-28,.,No value available
2012-08-29,.,No value available
2012-08-30,.,No value available
2012-08-31,5.402240770,
2012-09-01,.,No value available
2012-09-02,.,No value available
2012-09-03,.,No value available
2012-09-04,.,No value available
2012-09-05,.,No value available
2012-09-06,.,No value available
2012-09-07,5.499729860,
2012-09-08,.,No value available
2012-09-09,.,No value available
2012-09-10,.,No value available
2012-09-11,.,No value available
2012-09-12,.,No value available
2012-09-13,.,No value available
2012-09-14,5.634367405,
2012-09-15,.,No value available
2012-09-16,.,No value available
2012-09-17,.,No value available
2012-09-18,.,No value available
2012-09-19,.,No value available
2012-09-20,.,No value available
2012-09-21,5.577247490,
2012-09-22,.,No value available
2012-09-23,.,No value available
2012-09-24,.,No value available
2012-09-25,.,No value available
2012-09-26,.,No value available
2012-09-27,.,No value available
2012-09-28,5.519484715,
2012-09-29,.,No value available
2012-09-30,.,No value available
2012-10-01,.,No value available
2012-10-02,.,No value available
2012-10-03,.,No value available
2012-10-04,.,No value available
2012-10-05,5.595500020,
2012-10-06,.,No value available
2012-10-07,.,No value available
2012-10-08,.,No value available
2012-10-09,.,No value available
2012-10-10,.,No value available
2012-10-11,.,No value available
2012-10-12,.,No value available
2012-10-13,.,No value available
2012-10-14,.,No value available
2012-10-15,5.563934610,
2012-10-16,.,No value available
2012-10-17,.,No value available
2012-10-18,.,No value available
2012-10-19,5.592923230,
2012-10-20,.,No value available
2012-10-21,.,No value available
2012-10-22,.,No value available
2012-10-23,.,No value available
2012-10-24,.,No value available
2012-10-25,.,No value available
2012-10-26,5.555344775,
2012-10-27,.,No value available
2012-10-28,.,No value available
2012-10-29,.,No value available
2012-10-30,.,No value available
2012-10-31,5.566082470,
2012-11-01,.,No value available
2012-11-02,5.510681485,
2012-11-03,.,No value available
2012-11-04,.,No value available
2012-11-05,.,No value available
2012-11-06,.,No value available
2012-11-07,.,No value available
2012-11-08,.,No value available
2012-11-09,5.459574080,
2012-11-10,.,No value available
2012-11-11,.,No value available
2012-11-12,.,No value available
2012-11-13,.,No value available
2012-11-14,.,No value available
2012-11-15,5.485556980,
2012-11-16,.,No value available
2012-11-17,.,No value available
2012-11-18,.,No value available
2012-11-19,.,No value available
2012-11-20,.,No value available
2012-11-21,.,No value available
