"",BBEX3.M.TZS.USD.CA.AB.A01,BBEX3.M.TZS.USD.CA.AB.A01_FLAGS
1993-02,356.1469,
1993-03,356.1469,
1993-04,371.4103,
1993-05,371.4103,
1993-06,401.9372,
1993-07,443.0971,
1993-08,462.1525,
1993-09,481.5259,
1993-10,460.1195,
1993-11,463.0001,
1993-12,485.8691,
1994-01,497.1708,
1994-02,507.0086,
1994-03,501.8385,
1994-04,506.4963,
1994-05,519.4276,
1994-06,524.7400,
1994-07,516.1600,
1994-08,520.5300,
1994-09,530.4500,
1994-10,531.4700,
1994-11,530.5600,
1994-12,528.7400,
1995-01,543.8100,
1995-02,550.1700,
1995-03,550.0400,
1995-04,556.2100,
1995-05,587.0200,
1995-06,609.0000,
1995-07,606.7400,
1995-08,622.1500,
1995-09,620.0000,
1995-10,616.5000,
1995-11,575.0200,
1995-12,555.9200,
1996-01,547.0500,
1996-02,547.0000,
1996-03,547.5000,
1996-04,555.9300,
1996-05,612.6000,
1996-06,626.4500,
1996-07,601.9000,
1996-08,596.7100,
1996-09,596.4500,
1996-10,603.1300,
1996-11,600.1700,
1996-12,601.6600,
1997-01,604.1100,
1997-02,606.0400,
1997-03,606.2000,
1997-04,609.7000,
1997-05,624.9300,
1997-06,631.0000,
1997-07,631.1200,
1997-08,625.1600,
1997-09,621.5000,
1997-10,621.5000,
1997-11,624.0600,
1997-12,630.8800,
1998-01,646.5000,
1998-02,671.6500,
1998-03,671.6601,
1998-04,671.0743,
1998-05,668.9836,
1998-06,672.1449,
1998-07,677.1646,
1998-08,675.1850,
1998-09,681.9015,
1998-10,681.8914,
1998-11,684.8709,
1998-12,687.8100,
1999-01,691.3450,
1999-02,697.1929,
1999-03,700.9400,
1999-04,714.7669,
1999-05,715.5648,
1999-06,744.3700,
1999-07,798.3848,
1999-08,804.3236,
1999-09,805.8790,
1999-10,805.2326,
1999-11,805.3033,
1999-12,805.3033,
2000-01,808.4141,
2000-02,808.7575,
2000-03,808.5050,
2000-04,807.4950,
2000-05,807.4950,
2000-06,807.5354,
2000-07,807.4445,
2000-08,807.3435,
2000-09,807.1112,
2000-10,811.2320,
2000-11,811.3431,
2000-12,811.2926,
2001-01,817.5950,
2001-02,830.2200,
2001-03,868.6606,
2001-04,898.3849,
2001-05,898.0920,
2001-06,896.9103,
2001-07,901.4957,
2001-08,901.3947,
2001-09,898.9000,
2001-10,913.0602,
2001-11,927.7254,
2001-12,925.4630,
2002-01,945.3600,
2002-02,980.2050,
2002-03,991.0928,
2002-04,976.0640,
2002-05,969.1960,
2002-06,956.3993,
2002-07,961.3382,
2002-08,974.9530,
2002-09,979.1445,
2002-10,990.2949,
2002-11,994.3854,
2002-12,986.0630,
2003-01,1030.5636,
2003-02,1037.7548,
2003-03,1040.4515,
2003-04,1050.6929,
2003-05,1057.6417,
2003-06,1057.8639,
2003-07,1055.5106,
2003-08,1057.6922,
2003-09,1055.0965,
2003-10,1060.3081,
2003-11,1058.1669,
2003-12,1074.2562,
2004-01,1120.0900,
2004-02,1121.0596,
2004-03,1119.4941,
2004-04,1130.6950,
2004-05,1127.6650,
2004-06,1118.3932,
2004-07,1108.3841,
2004-08,1094.0623,
2004-09,1071.0545,
2004-10,1071.1252,
2004-11,1071.5898,
2004-12,1053.3896,
2005-01,1113.0503,
2005-02,1128.7457,
2005-03,1115.3329,
2005-04,1116.0500,
2005-05,1135.0380,
2005-06,1137.5630,
2005-07,1147.0267,
2005-08,1144.9663,
2005-09,1147.6125,
2005-10,1152.9655,
2005-11,1207.0712,
2005-12,1177.1651,
2006-01,1196.5571,
2006-02,1197.8600,
2006-03,1236.0582,
2006-04,1237.9570,
2006-05,1269.5700,
2006-06,1265.6108,
2006-07,1300.7487,
2006-08,1333.2000,
2006-09,1285.4270,
2006-10,1300.0114,
2006-11,1303.2434,
2006-12,1273.8221,
2007-01,1314.4544,
2007-02,1276.0138,
2007-03,1254.3796,
2007-04,1291.0931,
2007-05,1271.0547,
2007-06,1282.1647,
2007-07,1293.8302,
2007-08,1288.6893,
2007-09,1242.1889,
2007-10,1178.6700,
2007-11,1182.4171,
2007-12,1143.4109,
2008-01,1183.6190,
2008-02,1184.9724,
2008-03,1249.1882,
2008-04,1213.1615,
2008-05,1209.1417,
2008-06,1192.7090,
2008-07,1175.7208,
2008-08,1176.3773,
2008-09,1180.6294,
2008-10,1290.7194,
2008-11,1271.2971,
2008-12,1293.1030,
2009-01,1300.0000,
2009-02,1315.6200,
2009-03,1327.0000,
2009-04,1333.7200,
2009-05,1323.2100,
2009-06,1312.5100,
2009-07,1326.6100,
2009-08,1314.9900,
2009-09,1315.8800,
2009-10,1320.7600,
2009-11,1328.0100,
2009-12,1326.5600,
2010-01,1336.9900,
2010-02,1339.4300,
2010-03,1343.6500,
2010-04,1357.0800,
2010-05,1389.8500,
2010-06,1393.3100,
2010-07,1396.2200,
2010-08,1485.4400,
2010-09,1498.8100,
2010-10,1497.0200,
2010-11,1485.3700,
2010-12,1468.2200,
2011-01,1498.2600,
2011-02,1513.1600,
2011-03,1505.8100,
2011-04,1512.1800,
2011-05,1533.6600,
2011-06,1595.6400,
2011-07,1585.5100,
2011-08,1621.0500,
2011-09,1647.6800,
2011-10,1662.9800,
2011-11,1672.6700,
2011-12,1582.4800,
2012-01,1591.6100,
2012-02,1589.5000,
2012-03,1590.9300,
2012-04,1584.2200,
2012-05,1586.6500,
2012-06,1576.7200,
2012-07,1582.6300,
2012-08,1575.0000,
2012-09,1577.0700,
2012-10,1579.8100,
2012-11,1579.2000,
2012-12,1579.4400,
2013-01,1592.0400,
2013-02,1595.4200,
2013-03,1598.4300,
2013-04,1598.9600,
2013-05,1607.3300,
2013-06,1610.6300,
2013-07,1621.4700,
2013-08,1619.4100,
2013-09,1612.7300,
2013-10,1609.4800,
2013-11,1615.6400,
2013-12,1581.8400,
2014-01,1622.4600,
2014-02,1627.5500,
2014-03,1638.8100,
2014-04,1641.3400,
2014-05,1652.6000,
2014-06,1657.8800,
2014-07,1663.0500,
2014-08,1668.8300,
2014-09,1673.3500,
2014-10,1691.7700,
2014-11,1736.4900,
2014-12,1734.3700,
2015-01,1769.5400,
2015-02,1790.3200,
"","Source: Bank of Tanzania, Dar es Salaam",
"","Comment on 1984-06: On 15 June 1984, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 14 June 1984: USD 1 = TZS 12.5831 / 12.6629 16 June 1984: USD 1 = TZS 17.0197 / 17.1269 Calculated devaluation: 26.1%.",
"","Comment on 1986-04: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1986-05: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1986-06: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1988-11: On 5 November 1988, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 4 November 1988: USD 1 = TZS 98.6715 / 99.6637 7 November 1988: USD 1 = TZS 119.3997 / 120.6003 Calculated devaluation: 17.4%.",
"","Comment on 1989-12: On 3 December 1989, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 2 December 1989: USD 1 = TZS 156.6547 / 158.2297 3 December 1989: USD 1 = TZS 189.0497 / 190.9503 Calculated devaluation: 17.1%.",
