"",BBFN1.M.DE.N.1.A.SY.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SY.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1998-07,0.097,
1998-08,0.096,
1998-09,0.092,
1998-10,0.094,
1998-11,0.094,
1998-12,0.088,
1999-01,0.089,
1999-02,0.095,
1999-03,0.090,
1999-04,0.092,
1999-05,0.091,
1999-06,0.090,
1999-07,0.087,
1999-08,0.082,
1999-09,0.084,
1999-10,0.083,
1999-11,0.090,
1999-12,0.083,
2000-01,0.084,
2000-02,0.079,
2000-03,0.082,
2000-04,0.090,
2000-05,0.095,
2000-06,0.087,
2000-07,0.076,
2000-08,0.090,
2000-09,0.105,
2000-10,0.122,
2000-11,0.126,
2000-12,0.109,
2001-01,0.101,
2001-02,0.054,
2001-03,0.075,
2001-04,0.064,
2001-05,0.076,
2001-06,0.106,
2001-07,0.093,
2001-08,0.087,
2001-09,0.081,
2001-10,0.083,
2001-11,0.081,
2001-12,0.074,
2002-01,0.074,
2002-02,0.074,
2002-03,0.074,
2002-04,0.076,
2002-05,0.071,
2002-06,0.068,
2002-07,0.066,
2002-08,0.076,
2002-09,0.073,
2002-10,0.073,
2002-11,0.071,
2002-12,0.071,
2003-01,0.071,
2003-02,0.072,
2003-03,0.071,
2003-04,0.072,
2003-05,0.072,
2003-06,0.067,
2003-07,0.078,
2003-08,0.077,
2003-09,0.076,
2003-10,0.075,
2003-11,0.079,
2003-12,0.081,
2004-01,0.084,
2004-02,0.082,
2004-03,0.088,
2004-04,0.087,
2004-05,0.087,
2004-06,0.084,
2004-07,0.086,
2004-08,0.083,
2004-09,0.079,
2004-10,0.078,
2004-11,0.073,
2004-12,0.068,
2005-01,0.070,
2005-02,0.042,
2005-03,0.066,
2005-04,0.068,
2005-05,0.070,
2005-06,0.072,
2005-07,0.071,
2005-08,0.071,
2005-09,0.071,
2005-10,0.074,
2005-11,0.073,
2005-12,0.075,
2006-01,0.075,
2006-02,0.075,
2006-03,0.075,
2006-04,0.075,
2006-05,0.075,
2006-06,0.075,
2006-07,0.075,
2006-08,0.075,
2006-09,0.075,
2006-10,0.075,
2006-11,0.075,
2006-12,0.073,
2007-01,0.068,
2007-02,0.068,
2007-03,0.067,
2007-04,0.064,
2007-05,0.063,
2007-06,0.063,
2007-07,0.069,
2007-08,0.073,
2007-09,0.068,
2007-10,0.068,
2007-11,0.078,
2007-12,0.072,
2008-01,0.072,
2008-02,0.070,
2008-03,0.073,
2008-04,0.073,
2008-05,0.073,
2008-06,0.068,
2008-07,0.068,
2008-08,0.074,
2008-09,0.074,
2008-10,0.073,
2008-11,0.076,
2008-12,0.076,
2009-01,0.076,
2009-02,0.076,
2009-03,0.076,
2009-04,0.076,
2009-05,0.076,
2009-06,0.107,
2009-07,0.107,
2009-08,0.107,
2009-09,0.107,
2009-10,0.107,
2009-11,0.107,
2009-12,0.107,
2010-01,0.107,
2010-02,0.107,
2010-03,0.107,
2010-04,0.107,
2010-05,0.107,
2010-06,0.129,
2010-07,0.134,
2010-08,0.133,
2010-09,0.134,
2010-10,0.134,
2010-11,0.136,
2010-12,0.135,
2011-01,0.135,
2011-02,0.141,
2011-03,0.142,
2011-04,0.145,
2011-05,0.145,
2011-06,0.145,
2011-07,0.145,
2011-08,0.174,
2011-09,0.181,
2011-10,0.181,
2011-11,0.181,
2011-12,0.181,
2012-01,0.178,
2012-02,0.175,
2012-03,0.177,
2012-04,0.177,
2012-05,0.177,
2012-06,0.177,
2012-07,0.177,
2012-08,0.177,
2012-09,0.177,
2012-10,0.179,
2012-11,0.179,
2012-12,0.179,
2013-01,0.180,
2013-02,0.180,
2013-03,0.180,
2013-04,0.180,
2013-05,0.110,
2013-06,0.110,
2013-07,0.180,
2013-08,0.180,
2013-09,0.180,
2013-10,0.180,
2013-11,0.180,
2013-12,0.180,
2014-01,0.180,
2014-02,0.180,
2014-03,0.180,
2014-04,0.179,
2014-05,0.179,
2014-06,0.179,
2014-07,0.180,
2014-08,0.180,
2014-09,0.180,
2014-10,0.180,
2014-11,0.180,
2014-12,0.180,
