"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.N000.EUR.BGA.X001.D_FLAGS
1979-12,4.592,
1980-01,4.703,
1980-02,4.742,
1980-03,4.780,
1980-04,4.813,
1980-05,4.874,
1980-06,4.857,
1980-07,4.839,
1980-08,4.669,
1980-09,4.766,
1980-10,4.829,
1980-11,4.947,
1980-12,5.013,
1981-01,5.201,
1981-02,5.272,
1981-03,5.264,
1981-04,5.243,
1981-05,5.302,
1981-06,5.957,
1981-07,6.057,
1981-08,6.091,
1981-09,6.169,
1981-10,6.168,
1981-11,5.345,
1981-12,5.370,
1982-01,5.524,
1982-02,5.650,
1982-03,5.691,
1982-04,5.775,
1982-05,5.794,
1982-06,5.975,
1982-07,6.070,
1982-08,6.092,
1982-09,6.119,
1982-10,6.096,
1982-11,6.112,
1982-12,6.120,
1983-01,6.096,
1983-02,6.080,
1983-03,6.115,
1983-04,6.089,
1983-05,6.208,
1983-06,6.147,
1983-07,6.221,
1983-08,6.179,
1983-09,6.137,
1983-10,6.148,
1983-11,6.137,
1983-12,6.221,
1984-01,6.505,
1984-02,6.530,
1984-03,6.481,
1984-04,6.498,
1984-05,6.476,
1984-06,6.461,
1984-07,6.398,
1984-08,6.411,
1984-09,6.539,
1984-10,6.119,
1984-11,6.193,
1984-12,6.251,
1985-01,6.396,
1985-02,6.779,
1985-03,6.834,
1985-04,6.957,
1985-05,6.977,
1985-06,7.167,
1985-07,7.118,
1985-08,7.220,
1985-09,7.253,
1985-10,7.372,
1985-11,7.495,
1985-12,7.499,
1986-01,7.542,
1986-02,7.752,
1986-03,7.928,
1986-04,8.281,
1986-05,8.438,
1986-06,8.573,
1986-07,8.975,
1986-08,9.103,
1986-09,9.188,
1986-10,9.278,
1986-11,9.319,
1986-12,9.351,
1987-01,9.613,
1987-02,9.876,
1987-03,10.195,
1987-04,10.279,
1987-05,10.359,
1987-06,10.876,
1987-07,11.018,
1987-08,11.147,
1987-09,11.281,
1987-10,11.503,
1987-11,11.671,
1987-12,11.718,
1988-01,11.794,
1988-02,11.975,
1988-03,12.071,
1988-04,12.934,
1988-05,13.263,
1988-06,13.469,
1988-07,13.600,
1988-08,13.589,
1988-09,13.823,
1988-10,13.774,
1988-11,14.058,
1988-12,15.147,
1989-01,15.579,
1989-02,15.585,
1989-03,15.558,
1989-04,16.453,
1989-05,16.609,
1989-06,16.950,
1989-07,17.151,
1989-08,17.169,
1989-09,17.069,
1989-10,17.213,
1989-11,17.058,
1989-12,17.240,
1990-01,17.913,
1990-02,17.853,
1990-03,18.003,
1990-04,18.644,
1990-05,18.983,
1990-06,18.829,
1990-07,19.033,
1990-08,18.966,
1990-09,19.242,
1990-10,19.315,
1990-11,19.469,
1990-12,19.382,
1991-01,19.418,
1991-02,20.042,
1991-03,20.264,
1991-04,20.472,
1991-05,20.875,
1991-06,21.306,
1991-07,21.437,
1991-08,21.546,
1991-09,21.806,
1991-10,22.136,
1991-11,22.118,
1991-12,22.389,
1992-01,23.078,
1992-02,23.033,
1992-03,23.411,
1992-04,23.648,
1992-05,24.014,
1992-06,24.550,
1992-07,24.727,
1992-08,24.638,
1992-09,25.025,
1992-10,25.438,
1992-11,25.572,
1992-12,26.314,
1993-01,26.618,
1993-02,27.646,
1993-03,27.562,
1993-04,27.609,
1993-05,27.900,
1993-06,28.080,
1993-07,28.287,
1993-08,28.414,
1993-09,28.060,
1993-10,27.673,
1993-11,27.671,
1993-12,27.838,
1994-01,27.980,
1994-02,28.274,
1994-03,29.044,
1994-04,29.257,
1994-05,29.486,
1994-06,29.724,
1994-07,30.389,
1994-08,30.661,
1994-09,30.997,
1994-10,30.769,
1994-11,30.782,
1994-12,31.420,
1995-01,29.851,
1995-02,29.667,
1995-03,29.528,
1995-04,29.796,
1995-05,30.112,
1995-06,30.904,
1995-07,31.474,
1995-08,31.874,
1995-09,32.311,
1995-10,32.596,
1995-11,32.485,
1995-12,31.881,
1996-01,31.802,
1996-02,32.106,
1996-03,32.022,
1996-04,31.999,
1996-05,31.971,
1996-06,31.820,
1996-07,32.327,
1996-08,32.355,
1996-09,33.146,
1996-10,33.193,
1996-11,33.288,
1996-12,31.865,
1997-01,32.218,
1997-02,32.571,
1997-03,32.411,
1997-04,32.122,
1997-05,32.263,
1997-06,32.425,
1997-07,33.588,
1997-08,33.867,
1997-09,34.951,
1997-10,34.838,
1997-11,34.880,
1997-12,35.138,
1998-01,36.271,
1998-02,38.452,
1998-03,39.277,
1998-04,39.437,
1998-05,39.834,
1998-06,41.186,
1998-07,42.867,
1998-08,43.587,
1998-09,43.560,
1998-10,44.760,
1998-11,45.081,
1998-12,47.358,
1999-01,48.962,
1999-02,49.633,
1999-03,50.336,
1999-04,50.921,
1999-05,55.698,
1999-06,57.536,
1999-07,60.718,
1999-08,62.299,
1999-09,65.003,
1999-10,69.425,
1999-11,70.851,
1999-12,72.127,
2000-01,77.452,
2000-02,78.772,
2000-03,79.305,
2000-04,79.386,
2000-05,81.210,
2000-06,83.289,
2000-07,86.397,
2000-08,85.132,
2000-09,85.074,
2000-10,85.642,
2000-11,88.337,
2000-12,132.701,
2001-01,137.121,
2001-02,137.788,
2001-03,137.788,
2001-04,138.217,
2001-05,139.461,
2001-06,143.462,
2001-07,152.792,
2001-08,160.184,
2001-09,164.476,
2001-10,166.455,
2001-11,169.273,
2001-12,170.454,
2002-01,182.147,
2002-02,183.920,
2002-03,176.955,
2002-04,186.905,
2002-05,204.649,
2002-06,201.123,
2002-07,202.052,
2002-08,204.173,
2002-09,206.003,
2002-10,206.883,
2002-11,212.369,
2002-12,219.739,
2003-01,219.449,
2003-02,222.296,
2003-03,224.899,
2003-04,229.433,
2003-05,230.108,
2003-06,232.864,
2003-07,232.150,
2003-08,232.723,
2003-09,233.588,
2003-10,232.184,
2003-11,232.930,
2003-12,216.319,
2004-01,213.733,
2004-02,189.602,
2004-03,187.780,
2004-04,191.096,
2004-05,194.084,
2004-06,196.264,
2004-07,195.257,
2004-08,194.556,
2004-09,192.362,
2004-10,188.934,
2004-11,183.717,
2004-12,180.240,
2005-01,183.831,
2005-02,186.285,
2005-03,185.499,
2005-04,185.541,
2005-05,186.752,
2005-06,185.164,
2005-07,180.333,
2005-08,179.935,
2005-09,179.778,
2005-10,183.143,
2005-11,185.439,
2005-12,181.377,
2006-01,184.931,
2006-02,187.024,
2006-03,189.774,
2006-04,190.087,
2006-05,190.009,
2006-06,192.195,
2006-07,191.761,
2006-08,190.243,
2006-09,187.682,
2006-10,188.127,
2006-11,189.774,
2006-12,187.730,
2007-01,189.631,
2007-02,187.287,
2007-03,186.490,
2007-04,187.135,
2007-05,185.014,
2007-06,184.313,
2007-07,183.458,
2007-08,184.297,
2007-09,183.097,
2007-10,184.372,
2007-11,181.949,
2007-12,176.140,
2008-01,179.292,
2008-02,178.426,
2008-03,178.488,
2008-04,181.220,
2008-05,185.567,
2008-06,183.243,
2008-07,184.789,
2008-08,185.271,
2008-09,191.745,
2008-10,195.315,
2008-11,198.831,
2008-12,197.844,
2009-01,205.488,
2009-02,215.282,
2009-03,217.995,
2009-04,218.783,
2009-05,223.219,
2009-06,223.404,
2009-07,226.623,
2009-08,228.076,
2009-09,224.717,
2009-10,226.300,
2009-11,226.742,
2009-12,229.352,
2010-01,235.989,
2010-02,236.932,
2010-03,240.529,
2010-04,242.471,
2010-05,244.721,
2010-06,243.362,
2010-07,246.792,
2010-08,248.865,
2010-09,249.694,
2010-10,250.450,
2010-11,252.594,
2010-12,260.787,
2011-01,262.618,
2011-02,262.746,
2011-03,268.430,
2011-04,270.158,
2011-05,273.675,
2011-06,273.218,
2011-07,275.626,
2011-08,275.958,
2011-09,275.442,
2011-10,276.144,
2011-11,271.944,
2011-12,271.621,
2012-01,273.393,
2012-02,274.946,
2012-03,277.849,
2012-04,281.044,
2012-05,283.743,
2012-06,287.883,
2012-07,287.020,
2012-08,290.475,
2012-09,292.557,
2012-10,288.969,
2012-11,292.870,
2012-12,285.140,
2013-01,289.273,
2013-02,287.933,
2013-03,292.037,
2013-04,305.312,
2013-05,306.486,
2013-06,306.301,
2013-07,311.006,
2013-08,312.775,
2013-09,318.791,
2013-10,326.476,
2013-11,323.473,
2013-12,328.259,
2014-01,317.134,
2014-02,319.197,
2014-03,324.431,
2014-04,324.300,
2014-05,326.786,
2014-06,331.117,
2014-07,330.911,
2014-08,330.161,
2014-09,327.587,
2014-10,327.568,
2014-11,329.535,
2014-12,324.826,
"","General: From January 1999, including national currencies of the euro-area member states.",
