"",BBFN1.M.DE.N.1.L.KY.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KY.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2011-11,2.267,
2011-12,2.264,
2012-01,0.601,
2012-02,1.778,
2012-03,1.758,
2012-04,1.650,
2012-05,1.655,
2012-06,1.694,
2012-07,1.782,
2012-08,1.597,
2012-09,1.590,
2012-10,1.643,
2012-11,1.452,
2012-12,1.458,
2013-01,1.461,
2013-02,1.357,
2013-03,1.408,
2013-04,1.332,
2013-05,1.631,
2013-06,1.852,
2013-07,1.937,
2013-08,1.923,
2013-09,2.045,
2013-10,1.883,
2013-11,2.041,
2013-12,1.966,
2014-01,1.825,
2014-02,1.876,
2014-03,2.087,
2014-04,1.873,
2014-05,1.868,
2014-06,2.024,
2014-07,1.673,
2014-08,1.835,
2014-09,1.730,
2014-10,1.457,
2014-11,1.502,
2014-12,1.659,
