"",BBDE1.M.DE.Y.AEA1.A2Q400000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2Q400000.F.C.I10.A_FLAGS
2006-05,103.5,
2006-06,102.4,
2006-07,103.2,
2006-08,105.2,
2006-09,105.4,
2006-10,106.3,
2006-11,106.6,
2006-12,106.4,
2007-01,109.0,
2007-02,111.5,
2007-03,112.0,
2007-04,108.8,
2007-05,113.0,
2007-06,114.1,
2007-07,112.9,
2007-08,112.7,
2007-09,112.5,
2007-10,116.6,
2007-11,117.5,
2007-12,118.8,
2008-01,114.8,
2008-02,114.9,
2008-03,114.0,
2008-04,114.6,
2008-05,110.1,
2008-06,109.0,
2008-07,105.7,
2008-08,109.1,
2008-09,102.8,
2008-10,95.7,
2008-11,87.9,
2008-12,81.6,
2009-01,75.2,
2009-02,73.7,
2009-03,76.4,
2009-04,76.1,
2009-05,78.5,
2009-06,82.4,
2009-07,81.6,
2009-08,86.7,
2009-09,89.1,
2009-10,88.0,
2009-11,90.5,
2009-12,88.8,
2010-01,89.6,
2010-02,92.7,
2010-03,95.3,
2010-04,99.6,
2010-05,99.3,
2010-06,100.3,
2010-07,101.1,
2010-08,102.0,
2010-09,101.7,
2010-10,102.7,
2010-11,106.2,
2010-12,104.9,
2011-01,108.8,
2011-02,109.0,
2011-03,107.2,
2011-04,106.6,
2011-05,105.8,
2011-06,108.2,
2011-07,108.7,
2011-08,106.9,
2011-09,104.7,
2011-10,104.9,
2011-11,102.6,
2011-12,103.6,
2012-01,103.6,
2012-02,104.0,
2012-03,103.7,
2012-04,104.1,
2012-05,105.2,
2012-06,103.2,
2012-07,103.9,
2012-08,103.0,
2012-09,101.6,
2012-10,102.5,
2012-11,101.5,
2012-12,103.2,
2013-01,101.3,
2013-02,101.9,
2013-03,105.1,
2013-04,103.2,
2013-05,104.2,
2013-06,105.8,
2013-07,103.2,
2013-08,106.6,
2013-09,106.1,
2013-10,106.0,
2013-11,107.3,
2013-12,108.1,
2014-01,108.6,
2014-02,108.3,
2014-03,107.3,
2014-04,107.7,
2014-05,105.3,
2014-06,107.4,
2014-07,108.0,
2014-08,107.0,
2014-09,108.2,
2014-10,110.7,
2014-11,108.5,
2014-12,112.0,Provisional value
