"",BBEX3.M.MRO.USD.CA.AC.A01,BBEX3.M.MRO.USD.CA.AC.A01_FLAGS
1993-07,124.780,
1993-08,123.200,
1993-09,120.150,
1993-10,123.270,
1993-11,125.150,
1993-12,124.160,
1994-01,125.030,
1994-02,124.500,
1994-03,122.530,
1994-04,122.440,
1994-05,120.790,
1994-06,122.630,
1994-07,123.180,
1994-08,125.590,
1994-09,123.200,
1994-10,121.090,
1994-11,125.910,
1994-12,127.410,
1995-01,125.910,
1995-02,125.120,
1995-03,124.350,
1995-04,125.880,
1995-05,128.030,
1995-06,129.190,
1995-07,129.620,
1995-08,135.170,
1995-09,133.050,
1995-10,133.790,
1995-11,136.280,
1995-12,136.090,
1996-01,135.090,
1996-02,134.860,
1996-03,135.200,
1996-04,135.900,
1996-05,136.330,
1996-06,138.660,
1996-07,137.530,
1996-08,137.065,
1996-09,137.135,
1996-10,138.820,
1996-11,140.705,
1996-12,141.385,
1997-01,142.015,
1997-02,142.355,
1997-03,143.510,
1997-04,145.860,
1997-05,146.250,
1997-06,148.160,
1997-07,152.640,
1997-08,155.085,comment
1997-09,159.025,
1997-10,165.515,
1997-11,166.845,comment
1997-12,166.445,
1998-01,171.335,
1998-02,172.165,
1998-03,175.725,
1998-04,176.010,
1998-05,177.745,
1998-06,178.375,
1998-07,201.965,
1998-08,202.515,
1998-09,203.990,
1998-10,203.795,
1998-11,204.835,
1998-12,203.745,
1999-01,204.765,
1999-02,205.445,
1999-03,205.165,
1999-04,206.765,
1999-05,207.005,
1999-06,207.775,
1999-07,208.805,
1999-08,211.515,
1999-09,211.955,
1999-10,214.005,
1999-11,216.285,
1999-12,223.325,
2000-01,224.165,
2000-02,230.275,
2000-03,231.195,
2000-04,236.225,
2000-05,241.990,
2000-06,241.090,comment
2000-07,241.090,
2000-08,241.390,
2000-09,248.140,comment
2000-10,250.420,
2000-11,250.920,
2000-12,250.420,
2001-01,249.630,
2001-02,251.610,
2001-03,252.740,
2001-04,253.230,
2001-05,255.120,
2001-06,255.420,
2001-07,255.720,
2001-08,255.920,
2001-09,256.120,
2001-10,258.210,
2001-11,263.510,comment
2001-12,264.510,
2002-01,267.000,
2002-02,273.970,
2002-03,275.720,
2002-04,275.470,
2002-05,274.970,
2002-06,271.980,
2002-07,273.470,
2002-08,270.490,
2002-09,270.290,
2002-10,269.190,
2002-11,268.090,
2002-12,267.700,
2003-01,264.010,
2003-02,263.510,
2003-03,264.010,
2003-04,263.510,
2003-05,260.020,
2003-06,262.020,
2003-07,262.020,
2003-08,263.210,
2003-09,262.020,
2003-10,263.010,
2003-11,263.310,
2003-12,264.610,
2004-01,265.600,
2004-02,265.110,
2004-03,265.110,
2004-04,267.700,
2004-05,265.700,
2004-06,267.500,
2004-07,267.995,
2004-08,267.995,
2004-09,266.000,
2004-10,264.510,
2004-11,262.430,
2004-12,256.230,
2005-01,259.460,
2005-02,260.600,
2005-03,264.310,
2005-04,264.510,
2005-05,265.500,
2005-06,265.500,
2005-07,265.500,
2005-08,265.500,
2005-09,265.500,
2005-10,268.600,
2005-11,268.600,
2005-12,268.600,
2006-01,268.600,
2006-02,268.600,
2006-03,268.600,
2006-04,268.600,
2006-05,268.600,
2006-06,268.600,
2006-07,268.600,
2006-08,268.600,
2006-09,268.600,
2006-10,268.600,
2006-11,268.600,
2006-12,268.600,
2007-01,268.250,
2007-02,268.500,
2007-03,268.500,
2007-04,263.100,
2007-05,257.900,
2007-06,257.900,
2007-07,254.120,
2007-08,256.500,
2007-09,257.040,
2007-10,253.735,
2007-11,249.120,
2007-12,251.625,
2008-01,250.630,
2008-02,251.625,
2008-03,243.005,
2008-04,239.365,
2008-05,239.375,
2008-06,233.575,
2008-07,227.565,
2008-08,230.165,
2008-09,235.585,
2008-10,247.115,
2008-11,255.635,
2008-12,262.155,
2009-01,258.145,
2009-02,259.645,
2009-03,265.815,
2009-04,267.165,
2009-05,265.415,
2009-06,264.700,
2009-07,262.825,
2009-08,260.260,
2009-09,260.140,
2009-10,261.455,
2009-11,261.475,
2009-12,262.645,
2010-01,261.260,
2010-02,261.705,
2010-03,265.465,
2010-04,269.485,
2010-05,274.625,
2010-06,284.210,
2010-07,286.015,
2010-08,287.585,
2010-09,286.745,
2010-10,284.280,
2010-11,281.200,
2010-12,282.710,
2011-01,278.675,
2011-02,289.070,
2011-03,278.705,
2011-04,272.520,
2011-05,273.685,
2011-06,274.525,
2011-07,277.675,
2011-08,279.675,
2011-09,285.405,
2011-10,286.720,
2011-11,287.445,
2011-12,289.120,
2012-01,291.265,
2012-02,293.765,
2012-03,291.875,
2012-04,291.975,
2012-05,293.615,
2012-06,295.635,
2012-07,300.750,
2012-08,301.955,
2012-09,302.760,
2012-10,297.745,
2012-11,298.865,
2012-12,303.035,
2013-01,298.895,
2013-02,297.905,
2013-03,299.625,
2013-04,300.700,
2013-05,304.310,
2013-06,303.565,
2013-07,303.395,
2013-08,303.355,
2013-09,304.150,
2013-10,297.725,
2013-11,296.015,
2013-12,299.745,
2014-01,302.025,
2014-02,300.550,
2014-03,299.245,
2014-04,299.595,
2014-05,300.530,
2014-06,300.770,
2014-07,301.755,
2014-08,302.155,
2014-09,303.635,
2014-10,304.660,
2014-11,306.885,
2014-12,313.420,
2015-01,310.885,
"","General: In addition to the official exchange rate, there were reportedly other exchange rates in 1995; we do not have any details of these exchange rates or explanations as to their use.",
"","Source: Calculated on the basis of the buying and selling rates of the Banque Centrale de Mauritanie, Nouakchott.",
"","Comment on 1985-02: Between 14 January and 14 February 1985, technical adjustments were gradually made to the valuation methods for the ouguiya (inter alia the composition of the currency basket was changed). We recorded the following exchange rates (buying/selling rate) for the beginning and end of the adjustment period.  14 January 1985: USD 1 = MRO 66.80 / 67.80  14 February 1985: USD 1 = MRO 79.40 / 80.60  On the basis of these exchange rates, the ouguiya depreciated by 15.9% against the US dollar.",
"","Comment on 1992-10: On 4 October 1992, the ouguiya was devalued. We recorded the following exchange rates (buying/selling rate).  1 October 1992: USD 1 = MRO 81.41 / 82.65  4 October 1992: USD 1 = MRO 104.15 / 105.73  Calculated devaluation: 21.8%.",
"",Comment on 1997-08: Exchange rate as of 1 September 1997.,
"",Comment on 1997-11: Exchange rate as of 1 December 1997.,
"",Comment on 2000-06: Exchange rate as of 27 June 2000.,
"",Comment on 2000-09: Exchange rate as of 27 September 2000.,
"",Comment on 2001-11: Exchange rate as of 27 November 2001.,
