"",BBDE1.M.DE.W.BAA1.A2P100000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P100000.G.C.I10.A_FLAGS
2002-07,89.1,
2002-08,83.3,
2002-09,94.1,
2002-10,93.9,
2002-11,96.4,
2002-12,85.6,
2003-01,84.3,
2003-02,86.3,
2003-03,95.9,
2003-04,89.0,
2003-05,86.9,
2003-06,90.2,
2003-07,90.5,
2003-08,81.2,
2003-09,92.1,
2003-10,95.1,
2003-11,97.1,
2003-12,87.8,
2004-01,86.0,
2004-02,88.3,
2004-03,97.0,
2004-04,91.7,
2004-05,91.0,
2004-06,94.3,
2004-07,93.7,
2004-08,85.3,
2004-09,96.9,
2004-10,98.5,
2004-11,98.3,
2004-12,88.5,
2005-01,88.7,
2005-02,89.8,
2005-03,100.3,
2005-04,94.1,
2005-05,91.8,
2005-06,97.4,
2005-07,97.1,
2005-08,86.9,
2005-09,101.2,
2005-10,103.5,
2005-11,104.0,
2005-12,93.4,
2006-01,92.8,
2006-02,94.9,
2006-03,104.1,
2006-04,98.8,
2006-05,98.8,
2006-06,102.3,
2006-07,102.2,
2006-08,94.5,
2006-09,107.1,
2006-10,107.4,
2006-11,110.7,
2006-12,99.5,
2007-01,98.1,
2007-02,101.2,
2007-03,112.5,
2007-04,103.9,
2007-05,104.9,
2007-06,108.8,
2007-07,108.0,
2007-08,99.6,
2007-09,114.2,
2007-10,115.0,
2007-11,116.1,
2007-12,104.3,
2008-01,103.7,
2008-02,106.1,
2008-03,117.2,
2008-04,109.7,
2008-05,106.4,
2008-06,111.3,
2008-07,108.0,
2008-08,101.1,
2008-09,112.5,
2008-10,110.7,
2008-11,107.4,
2008-12,92.2,
2009-01,84.8,
2009-02,84.0,
2009-03,92.9,
2009-04,83.8,
2009-05,86.7,
2009-06,91.0,
2009-07,89.0,
2009-08,83.4,
2009-09,97.7,
2009-10,96.5,
2009-11,98.6,
2009-12,87.8,
2010-01,88.8,
2010-02,90.1,
2010-03,102.1,
2010-04,96.0,
2010-05,97.9,
2010-06,100.5,
2010-07,99.5,
2010-08,93.3,
2010-09,106.2,
2010-10,108.9,
2010-11,110.2,
2010-12,100.3,
2011-01,98.3,
2011-02,102.2,
2011-03,113.9,
2011-04,105.0,
2011-05,105.1,
2011-06,107.3,
2011-07,109.4,
2011-08,100.5,
2011-09,111.0,
2011-10,112.7,
2011-11,114.0,
2011-12,100.4,
2012-01,99.6,
2012-02,103.3,
2012-03,115.6,
2012-04,104.5,
2012-05,105.4,
2012-06,108.1,
2012-07,108.0,
2012-08,100.0,
2012-09,110.8,
2012-10,109.8,
2012-11,110.9,
2012-12,99.5,
2013-01,97.2,
2013-02,101.2,
2013-03,114.3,
2013-04,105.0,
2013-05,103.1,
2013-06,108.9,
2013-07,106.2,
2013-08,100.3,
2013-09,111.8,
2013-10,111.3,
2013-11,115.5,
2013-12,102.9,
2014-01,101.1,
2014-02,104.6,
2014-03,116.3,
2014-04,106.7,
2014-05,104.9,
2014-06,109.0,
2014-07,109.9,
2014-08,98.5,
2014-09,112.2,
2014-10,112.7,Provisional value
2014-11,115.0,Provisional value
2014-12,102.9,Provisional value
