"",BBFN1.M.DE.N.1.A.SY.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SY.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1997-05,0.086,
1997-06,0.088,
1997-07,0.085,
1997-08,0.084,
1997-09,0.087,
1997-10,0.083,
1997-11,0.082,
1997-12,0.084,
1998-01,0.085,
1998-02,0.095,
1998-03,0.094,
1998-04,0.094,
1998-05,0.097,
1998-06,0.093,
1998-07,0.098,
1998-08,0.097,
1998-09,0.093,
1998-10,0.095,
1998-11,0.095,
1998-12,0.089,
1999-01,0.090,
1999-02,0.095,
1999-03,0.092,
1999-04,0.093,
1999-05,0.092,
1999-06,0.092,
1999-07,0.089,
1999-08,0.085,
1999-09,0.087,
1999-10,0.085,
1999-11,0.092,
1999-12,0.085,
2000-01,0.086,
2000-02,0.081,
2000-03,0.085,
2000-04,0.092,
2000-05,0.098,
2000-06,0.090,
2000-07,0.079,
2000-08,0.092,
2000-09,0.108,
2000-10,0.125,
2000-11,0.129,
2000-12,0.112,
2001-01,0.104,
2001-02,0.059,
2001-03,0.080,
2001-04,0.070,
2001-05,0.082,
2001-06,0.112,
2001-07,0.098,
2001-08,0.092,
2001-09,0.087,
2001-10,0.089,
2001-11,0.087,
2001-12,0.080,
2002-01,0.080,
2002-02,0.080,
2002-03,0.080,
2002-04,0.082,
2002-05,0.076,
2002-06,0.074,
2002-07,0.072,
2002-08,0.082,
2002-09,0.079,
2002-10,0.080,
2002-11,0.078,
2002-12,0.079,
2003-01,0.079,
2003-02,0.080,
2003-03,0.079,
2003-04,0.080,
2003-05,0.080,
2003-06,0.074,
2003-07,0.087,
2003-08,0.087,
2003-09,0.086,
2003-10,0.084,
2003-11,0.088,
2003-12,0.089,
2004-01,0.092,
2004-02,0.090,
2004-03,0.096,
2004-04,0.095,
2004-05,0.094,
2004-06,0.092,
2004-07,0.093,
2004-08,0.091,
2004-09,0.086,
2004-10,0.085,
2004-11,0.080,
2004-12,0.074,
2005-01,0.076,
2005-02,0.051,
2005-03,0.073,
2005-04,0.075,
2005-05,0.077,
2005-06,0.077,
2005-07,0.075,
2005-08,0.076,
2005-09,0.077,
2005-10,0.078,
2005-11,0.077,
2005-12,0.079,
2006-01,0.080,
2006-02,0.079,
2006-03,0.080,
2006-04,0.080,
2006-05,0.079,
2006-06,0.079,
2006-07,0.078,
2006-08,0.079,
2006-09,0.079,
2006-10,0.081,
2006-11,0.081,
2006-12,0.079,
2007-01,0.073,
2007-02,0.073,
2007-03,0.073,
2007-04,0.070,
2007-05,0.069,
2007-06,0.070,
2007-07,0.076,
2007-08,0.079,
2007-09,0.074,
2007-10,0.075,
2007-11,0.083,
2007-12,0.080,
2008-01,0.080,
2008-02,0.074,
2008-03,0.078,
2008-04,0.081,
2008-05,0.080,
2008-06,0.092,
2008-07,0.092,
2008-08,0.099,
2008-09,0.099,
2008-10,0.098,
2008-11,0.102,
2008-12,0.102,
2009-01,0.101,
2009-02,0.101,
2009-03,0.102,
2009-04,0.101,
2009-05,0.100,
2009-06,0.131,
2009-07,0.132,
2009-08,0.132,
2009-09,0.132,
2009-10,0.131,
2009-11,0.131,
2009-12,0.130,
2010-01,0.128,
2010-02,0.127,
2010-03,0.129,
2010-04,0.127,
2010-05,0.126,
2010-06,0.149,
2010-07,0.158,
2010-08,0.155,
2010-09,0.157,
2010-10,0.154,
2010-11,0.159,
2010-12,0.153,
2011-01,0.155,
2011-02,0.160,
2011-03,0.162,
2011-04,0.165,
2011-05,0.165,
2011-06,0.165,
2011-07,0.166,
2011-08,0.194,
2011-09,0.202,
2011-10,0.201,
2011-11,0.202,
2011-12,0.201,
2012-01,0.200,
2012-02,0.197,
2012-03,0.198,
2012-04,0.197,
2012-05,0.197,
2012-06,0.198,
2012-07,0.198,
2012-08,0.198,
2012-09,0.197,
2012-10,0.200,
2012-11,0.200,
2012-12,0.200,
2013-01,0.201,
2013-02,0.201,
2013-03,0.200,
2013-04,0.197,
2013-05,0.126,
2013-06,0.126,
2013-07,0.196,
2013-08,0.196,
2013-09,0.195,
2013-10,0.195,
2013-11,0.196,
2013-12,0.195,
2014-01,0.195,
2014-02,0.195,
2014-03,0.195,
2014-04,0.195,
2014-05,0.195,
2014-06,0.195,
2014-07,0.195,
2014-08,0.195,
2014-09,0.195,
2014-10,0.195,
2014-11,0.195,
2014-12,0.195,
