"",BBFB1.M.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
2000-02,-1.85,
2000-03,0.09,
2000-04,-1.41,
2000-05,-0.25,
2000-06,-1.50,
2000-07,-1.49,
2000-08,-2.53,
2000-09,-1.81,
2000-10,-1.06,
2000-11,-2.34,
2000-12,0.56,
2001-01,-1.75,
2001-02,-1.84,
2001-03,-1.54,
2001-04,-1.60,
2001-05,-1.24,
2001-06,-1.08,
2001-07,-1.71,
2001-08,-1.36,
2001-09,-1.29,
2001-10,-1.45,
2001-11,-1.45,
2001-12,-1.02,
2002-01,-2.59,
2002-02,-1.82,
2002-03,-2.19,
2002-04,-1.74,
2002-05,-2.02,
2002-06,-2.06,
2002-07,-2.34,
2002-08,-2.26,
2002-09,-1.95,
2002-10,-2.62,
2002-11,-1.96,
2002-12,-2.25,
2003-01,-2.27,
2003-02,-1.80,
2003-03,-1.44,
2003-04,-1.95,
2003-05,-1.29,
2003-06,-1.92,
2003-07,-1.53,
2003-08,-1.51,
2003-09,-1.59,
2003-10,-1.62,
2003-11,-1.48,
2003-12,-0.85,
2004-01,0.32,
2004-02,1.11,
2004-03,0.34,
2004-04,0.78,
2004-05,2.19,
2004-06,1.31,
2004-07,1.55,
2004-08,1.88,
2004-09,1.97,
2004-10,1.55,
2004-11,2.10,
2004-12,1.68,
2005-01,1.34,
2005-02,1.10,
2005-03,1.33,
2005-04,1.62,
2005-05,2.95,
2005-06,1.73,
2005-07,1.56,
2005-08,1.81,
2005-09,2.12,
2005-10,1.96,
2005-11,2.16,
2005-12,1.42,
2006-01,3.23,
2006-02,2.97,
2006-03,2.33,
2006-04,5.19,
2006-05,3.11,
2006-06,3.77,
2006-07,3.82,
2006-08,3.76,
2006-09,3.68,
2006-10,3.58,
2006-11,3.59,
2006-12,3.24,
2007-01,3.61,
2007-02,4.00,
2007-03,4.10,
2007-04,4.74,
2007-05,3.80,
2007-06,3.32,
2007-07,2.98,
2007-08,3.17,
2007-09,3.21,
2007-10,3.51,
2007-11,3.30,
2007-12,2.67,
2008-01,2.30,
2008-02,2.79,
2008-03,2.48,
2008-04,1.63,
2008-05,3.03,
2008-06,1.90,
2008-07,2.16,
2008-08,2.67,
2008-09,2.97,
2008-10,2.68,
2008-11,2.96,
2008-12,3.26,
2009-01,4.15,
2009-02,4.57,
2009-03,4.93,
2009-04,3.75,
2009-05,3.98,
2009-06,5.36,
2009-07,5.60,
2009-08,5.57,
2009-09,5.09,
2009-10,5.36,
2009-11,5.18,
2009-12,5.45,
2010-01,5.02,
2010-02,4.04,
2010-03,4.21,
2010-04,4.35,
2010-05,4.30,
2010-06,4.29,
2010-07,4.25,
2010-08,4.10,
2010-09,4.18,
2010-10,4.25,
2010-11,4.63,
2010-12,5.22,
2011-01,5.00,
2011-02,5.51,
2011-03,5.77,
2011-04,6.41,
2011-05,3.80,
2011-06,6.46,
2011-07,6.24,
2011-08,6.40,
2011-09,6.45,
2011-10,6.69,
2011-11,6.11,
2011-12,5.68,
2012-01,5.97,
2012-02,6.18,
2012-03,6.13,
2012-04,5.41,
2012-05,6.07,
2012-06,6.43,
2012-07,6.31,
2012-08,6.40,
2012-09,6.46,
2012-10,6.81,
2012-11,6.54,
2012-12,6.20,
2013-01,6.30,
2013-02,5.96,
2013-03,5.80,
2013-04,4.97,
2013-05,7.65,
2013-06,5.67,
2013-07,5.95,
2013-08,5.75,
2013-09,4.91,
2013-10,5.90,
2013-11,6.27,
2013-12,6.56,
2014-01,5.53,
2014-02,5.57,Provisional value
2014-03,5.96,Provisional value
2014-04,6.58,Provisional value
2014-05,4.71,Provisional value
2014-06,5.14,Provisional value
2014-07,5.51,Provisional value
2014-08,5.67,Provisional value
2014-09,6.77,
2014-10,6.34,
2014-11,6.21,
2014-12,5.54,Provisional value
