"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F6._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F6._Z._T._X.N_FLAGS
2002-11,-281.031,
2002-12,-280.917,
2003-01,138.678,
2003-02,199.401,
2003-03,199.402,
2003-04,490.862,
2003-05,490.787,
2003-06,490.678,
2003-07,612.390,
2003-08,612.291,
2003-09,612.184,
2003-10,564.203,
2003-11,564.080,
2003-12,563.922,
2004-01,649.843,
2004-02,627.316,
2004-03,626.956,
2004-04,487.685,
2004-05,487.245,
2004-06,486.775,
2004-07,426.155,
2004-08,425.739,
2004-09,425.367,
2004-10,443.544,
2004-11,443.244,
2004-12,442.952,
2005-01,309.637,
2005-02,269.159,
2005-03,268.830,
2005-04,258.493,
2005-05,258.162,
2005-06,257.825,
2005-07,140.306,
2005-08,140.059,
2005-09,139.864,
2005-10,-84.747,
2005-11,-84.885,
2005-12,-85.011,
2006-01,-173.656,
2006-02,-210.620,
2006-03,-210.784,
2006-04,-346.844,
2006-05,-347.015,
2006-06,-347.205,
2006-07,-287.464,
2006-08,-287.565,
2006-09,-287.624,
2006-10,-31.982,
2006-11,-31.953,
2006-12,-31.903,
2007-01,347.765,
2007-02,304.416,
2007-03,304.483,
2007-04,585.964,
2007-05,586.041,
2007-06,586.114,
2007-07,697.610,
2007-08,697.748,
2007-09,697.908,
2007-10,639.443,
2007-11,639.627,
2007-12,639.803,
2008-01,294.606,
2008-02,193.766,
2008-03,193.916,
2008-04,-23.480,
2008-05,-23.385,
2008-06,-23.316,
2008-07,-229.629,
2008-08,-229.558,
2008-09,-229.499,
2008-10,-424.705,
2008-11,-424.688,
2008-12,-424.717,
2009-01,-810.962,
2009-02,-802.947,
2009-03,-803.062,
2009-04,-892.446,
2009-05,-892.604,
2009-06,-892.763,
2009-07,-887.306,
2009-08,-887.496,
2009-09,-887.697,
2009-10,-787.393,
2009-11,-787.580,
2009-12,-787.780,
2010-01,-73.050,
2010-02,-186.998,
2010-03,-187.182,
2010-04,-24.451,
2010-05,-24.591,
2010-06,-24.710,
2010-07,105.592,
2010-08,105.489,
2010-09,105.403,
2010-10,203.251,
2010-11,203.166,
2010-12,203.048,
2011-01,482.028,
2011-02,380.698,
2011-03,380.526,
2011-04,423.414,
2011-05,423.240,
2011-06,423.074,
2011-07,443.606,
2011-08,443.432,
2011-09,443.236,
2011-10,441.345,
2011-11,441.121,
2011-12,440.860,
2012-01,-2.513,
2012-02,1.717,
2012-03,1.396,
2012-04,-23.662,
2012-05,-24.013,
2012-06,-24.372,
2012-07,-50.127,
2012-08,-50.540,
2012-09,-50.972,
2012-10,-77.399,
2012-11,-77.804,
2012-12,-78.221,
2013-01,28.713,
2013-02,28.332,
2013-03,27.988,
2013-04,7.652,
2013-05,7.357,
2013-06,7.097,
2013-07,-6.479,
2013-08,-6.692,
2013-09,-6.860,
2013-10,-13.650,
2013-11,-13.703,
2013-12,-13.715,
2014-01,-180.820,
2014-02,-181.958,Provisional value
2014-03,-182.308,Provisional value
2014-04,-184.772,Provisional value
2014-05,-137.905,Provisional value
2014-06,-87.498,Provisional value
2014-07,-50.369,Provisional value
2014-08,70.732,Provisional value
2014-09,34.021,
2014-10,61.700,
2014-11,93.807,
2014-12,92.192,Provisional value
