"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.Z06.BGA.X001.D_FLAGS
2002-01,17.144,
2002-02,24.267,
2002-03,24.306,
2002-04,23.981,
2002-05,24.822,
2002-06,24.220,
2002-07,23.988,
2002-08,24.674,
2002-09,23.798,
2002-10,24.575,
2002-11,25.146,
2002-12,18.864,
2003-01,22.779,
2003-02,22.699,
2003-03,22.607,
2003-04,21.329,
2003-05,20.594,
2003-06,20.826,
2003-07,22.681,
2003-08,22.921,
2003-09,20.663,
2003-10,21.952,
2003-11,21.795,
2003-12,20.726,
2004-01,20.876,
2004-02,19.917,
2004-03,20.212,
2004-04,20.491,
2004-05,20.780,
2004-06,21.393,
2004-07,21.463,
2004-08,21.278,
2004-09,21.366,
2004-10,20.866,
2004-11,20.510,
2004-12,19.736,
2005-01,19.807,
2005-02,19.142,
2005-03,21.106,
2005-04,21.394,
2005-05,21.629,
2005-06,23.076,
2005-07,23.052,
2005-08,22.337,
2005-09,21.124,
2005-10,19.702,
2005-11,21.052,
2005-12,19.895,
2006-01,20.422,
2006-02,20.320,
2006-03,20.612,
2006-04,20.652,
2006-05,20.611,
2006-06,19.874,
2006-07,17.869,
2006-08,17.491,
2006-09,17.273,
2006-10,17.272,
2006-11,15.953,
2006-12,17.050,
2007-01,17.086,
2007-02,17.229,
2007-03,17.155,
2007-04,17.181,
2007-05,17.292,
2007-06,16.807,
2007-07,16.754,
2007-08,17.209,
2007-09,18.870,
2007-10,17.613,
2007-11,17.397,
2007-12,14.102,
2008-01,14.497,
2008-02,14.453,
2008-03,14.723,
2008-04,15.038,
2008-05,15.440,
2008-06,12.929,
2008-07,12.619,
2008-08,12.735,
2008-09,13.317,
2008-10,13.749,
2008-11,15.285,
2008-12,14.176,
2009-01,15.336,
2009-02,15.946,
2009-03,13.479,
2009-04,14.453,
2009-05,14.850,
2009-06,14.759,
2009-07,14.700,
2009-08,14.261,
2009-09,14.332,
2009-10,14.466,
2009-11,15.529,
2009-12,15.398,
2010-01,15.681,
2010-02,16.572,
2010-03,17.290,
2010-04,18.100,
2010-05,18.919,
2010-06,19.825,
2010-07,20.186,
2010-08,20.605,
2010-09,20.915,
2010-10,21.190,
2010-11,21.692,
2010-12,21.096,
2011-01,20.888,
2011-02,20.516,
2011-03,21.308,
2011-04,20.682,
2011-05,20.725,
2011-06,20.581,
2011-07,21.851,
2011-08,21.872,
2011-09,22.039,
2011-10,22.096,
2011-11,22.360,
2011-12,22.304,
2012-01,22.436,
2012-02,22.183,
2012-03,22.024,
2012-04,22.630,
2012-05,23.602,
2012-06,22.551,
2012-07,23.532,
2012-08,23.316,
2012-09,26.097,
2012-10,26.343,
2012-11,26.894,
2012-12,29.960,
2013-01,31.884,
2013-02,31.936,
2013-03,32.144,
2013-04,35.402,
2013-05,36.201,
2013-06,36.404,
2013-07,36.815,
2013-08,38.202,
2013-09,35.464,
2013-10,33.100,
2013-11,33.668,
2013-12,33.271,
2014-01,35.850,
2014-02,35.781,
2014-03,34.588,
2014-04,35.374,
2014-05,36.244,
2014-06,35.034,
2014-07,35.511,
2014-08,35.812,
2014-09,36.472,
2014-10,37.074,
2014-11,37.086,
2014-12,36.800,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
