"",BBFN1.M.DE.N.1.L.CH.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
2002-08,0.492,
2002-09,0.470,
2002-10,0.535,
2002-11,0.483,
2002-12,0.467,
2003-01,0.505,
2003-02,0.464,
2003-03,0.470,
2003-04,0.483,
2003-05,0.457,
2003-06,0.441,
2003-07,0.467,
2003-08,0.554,
2003-09,0.389,
2003-10,0.390,
2003-11,0.403,
2003-12,0.433,
2004-01,0.480,
2004-02,0.383,
2004-03,0.389,
2004-04,0.380,
2004-05,0.376,
2004-06,0.369,
2004-07,0.378,
2004-08,0.368,
2004-09,0.367,
2004-10,0.385,
2004-11,0.397,
2004-12,0.446,
2005-01,0.412,
2005-02,0.475,
2005-03,0.430,
2005-04,0.461,
2005-05,0.442,
2005-06,0.478,
2005-07,0.439,
2005-08,0.578,
2005-09,0.480,
2005-10,0.478,
2005-11,0.536,
2005-12,0.514,
2006-01,0.704,
2006-02,0.542,
2006-03,0.765,
2006-04,0.811,
2006-05,0.904,
2006-06,0.801,
2006-07,0.771,
2006-08,0.888,
2006-09,1.410,
2006-10,0.875,
2006-11,0.756,
2006-12,4.171,
2007-01,6.096,
2007-02,9.099,
2007-03,3.811,
2007-04,3.892,
2007-05,8.143,
2007-06,0.886,
2007-07,0.731,
2007-08,0.732,
2007-09,0.717,
2007-10,0.723,
2007-11,0.764,
2007-12,0.786,
2008-01,0.795,
2008-02,0.742,
2008-03,1.231,
2008-04,0.995,
2008-05,1.049,
2008-06,0.935,
2008-07,1.216,
2008-08,1.029,
2008-09,1.114,
2008-10,2.042,
2008-11,2.985,
2008-12,1.757,
2009-01,1.512,
2009-02,2.616,
2009-03,3.519,
2009-04,4.502,
2009-05,2.034,
2009-06,2.195,
2009-07,2.048,
2009-08,1.681,
2009-09,1.857,
2009-10,2.304,
2009-11,2.783,
2009-12,9.765,
2010-01,1.169,
2010-02,1.005,
2010-03,4.390,
2010-04,2.478,
2010-05,2.199,
2010-06,2.987,
2010-07,2.943,
2010-08,1.759,
2010-09,1.757,
2010-10,1.868,
2010-11,1.667,
2010-12,2.658,
2011-01,2.046,
2011-02,1.170,
2011-03,2.335,
2011-04,1.954,
2011-05,1.558,
2011-06,1.900,
2011-07,1.136,
2011-08,3.322,
2011-09,5.095,
2011-10,4.450,
2011-11,5.261,
2011-12,6.098,
2012-01,2.872,
2012-02,2.704,
2012-03,2.915,
2012-04,3.300,
2012-05,3.303,
2012-06,3.911,
2012-07,3.399,
2012-08,2.857,
2012-09,2.838,
2012-10,2.697,
2012-11,2.939,
2012-12,4.539,
2013-01,1.800,
2013-02,1.628,
2013-03,1.973,
2013-04,2.107,
2013-05,1.673,
2013-06,2.727,
2013-07,2.595,
2013-08,2.246,
2013-09,1.674,
2013-10,3.795,
2013-11,4.791,
2013-12,6.127,
2014-01,3.122,
2014-02,2.963,
2014-03,4.042,
2014-04,3.615,
2014-05,3.213,
2014-06,1.901,
2014-07,3.395,
2014-08,3.844,
2014-09,5.018,
2014-10,2.359,
2014-11,1.997,
2014-12,6.167,
