"",BBEX3.M.BRL.USD.CA.AA.A01,BBEX3.M.BRL.USD.CA.AA.A01_FLAGS
2001-12,2.3196,
2002-01,2.4175,
2002-02,2.3474,
2002-03,2.3228,
2002-04,2.3617,
2002-05,2.5212,
2002-06,2.8436,
2002-07,3.4277,
2002-08,3.0215,
2002-09,3.8941,
2002-10,3.6442,
2002-11,3.6357,
2002-12,3.5325,
2003-01,3.5250,
2003-02,3.5624,
2003-03,3.3523,
2003-04,2.8890,
2003-05,2.9648,
2003-06,2.8712,
2003-07,2.9647,
2003-08,2.9657,
2003-09,2.9226,
2003-10,2.8554,
2003-11,2.9486,
2003-12,2.8884,
2004-01,2.9401,
2004-02,2.9130,
2004-03,2.9078,
2004-04,2.9439,
2004-05,3.1283,
2004-06,3.1067,
2004-07,3.0260,
2004-08,2.9330,
2004-09,2.8578,
2004-10,2.8557,
2004-11,2.7299,
2004-12,2.6536,
2005-01,2.6240,
2005-02,2.5942,
2005-03,2.6654,
2005-04,2.5305,
2005-05,2.4030,
2005-06,2.3496,
2005-07,2.3897,
2005-08,2.3629,
2005-09,2.2214,
2005-10,2.2535,
2005-11,2.2062,
2005-12,2.3399,
2006-01,2.2152,
2006-02,2.1347,
2006-03,2.1716,
2006-04,2.0884,
2006-05,2.2997,
2006-06,2.1635,
2006-07,2.1754,
2006-08,2.1380,
2006-09,2.1734,
2006-10,2.1422,
2006-11,2.1660,
2006-12,2.1372,
2007-01,2.1239,
2007-02,2.1174,
2007-03,2.0496,
2007-04,2.0331,
2007-05,1.9281,
2007-06,1.9254,
2007-07,1.8768,
2007-08,1.9612,
2007-09,1.8381,
2007-10,1.7432,
2007-11,1.7829,
2007-12,1.7705,
2008-01,1.7595,
2008-02,1.6825,
2008-03,1.7483,
2008-04,1.6864,
2008-05,1.6286,
2008-06,1.5911,
2008-07,1.5658,
2008-08,1.6336,
2008-09,1.9135,
2008-10,2.1145,
2008-11,2.3323,
2008-12,2.3362,
2009-01,2.3154,
2009-02,2.3776,
2009-03,2.3144,
2009-04,2.1775,
2009-05,1.9722,
2009-06,1.9508,
2009-07,1.8718,
2009-08,1.8856,
2009-09,1.7773,
2009-10,1.7432,
2009-11,1.7497,
2009-12,1.7404,
2010-01,1.8740,
2010-02,1.8102,
2010-03,1.7802,
2010-04,1.7298,
2010-05,1.8159,
2010-06,1.8007,
2010-07,1.7564,
2010-08,1.7552,
2010-09,1.6934,
2010-10,1.7006,
2010-11,1.7153,
2010-12,1.6654,
2011-01,1.6726,
2011-02,1.6604,
2011-03,1.6279,
2011-04,1.5725,
2011-05,1.5791,
2011-06,1.5603,
2011-07,1.5555,
2011-08,1.5864,
2011-09,1.8536,
2011-10,1.6878,
2011-11,1.8102,
2011-12,1.8751,
2012-01,1.7385,
2012-02,1.7086,
2012-03,1.8215,
2012-04,1.8912,
2012-05,2.0217,
2012-06,2.0207,
2012-07,2.0494,
2012-08,2.0366,
2012-09,2.0300,
2012-10,2.0308,
2012-11,2.1068,
2012-12,2.0429,
2013-01,1.9877,
2013-02,1.9749,
2013-03,2.0132,
2013-04,2.0011,
2013-05,2.1314,
2013-06,2.2150,
2013-07,2.2897,
2013-08,2.3719,
2013-09,2.2294,
2013-10,2.2020,
2013-11,2.3243,
2013-12,2.3420,
2014-01,2.4257,
2014-02,2.3327,
2014-03,2.2624,
2014-04,2.2354,
2014-05,2.2384,
2014-06,2.2019,
2014-07,2.2668,
2014-08,2.2390,
2014-09,2.4504,
2014-10,2.4436,
2014-11,2.5595,
2014-12,2.6556,
2015-01,2.6617,
"","General: Currency conversion on 1 July 1994 at the rate of 2,750 cruzeiro real (BRR) = 1 real (BRL).  * Commercial banks' rate until the end of January 1999; for free market rates, see BBEX2:M:BRL:USD:CA:AA:B01.  Exchange rate used until 31 January 1999:  Commercial banks' rate (taxa comercial): for all foreign exchange transactions not settled at the freemarket rate.  Free market rate (taxa flutuante): for all unrequited transfers (including pension and remittance payments), for certain services (including the provision of foreign exchange for travel purposes and currency exchange for foreign tourists, also via international credit cards), as well as for certain overdue loan redemptions; also for certain capital transfers by Brazilians based abroad.  The multiple exchange rate system was standardised on 1 February 1999.",
"","Source: Since April 2000: Banco Central do Brasil, Brasilia. July 1994 - March 2000: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"","Comment on 1999-01: Owing to increasing exchange rate pressures, the central bank expanded the range against the US dollar on 13 January 1999 and switched to an independent floating rate two days later.",
