"",BBFN1.M.DE.N.1.L.SG.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1991-05,0.010,
1991-06,0.010,
1991-07,0.003,
1991-08,0.003,
1991-09,0.003,
1991-10,0.003,
1991-11,0.003,
1991-12,0.003,
1992-01,0.003,
1992-02,0.003,
1992-03,0.003,
1992-04,0.003,
1992-05,0.003,
1992-06,0.003,
1992-07,0.002,
1992-08,0.002,
1992-09,0.003,
1992-10,.,No value available
1992-11,.,No value available
1992-12,0.003,
1993-01,0.003,
1993-02,0.003,
1993-03,0.003,
1993-04,0.003,
1993-05,0.003,
1993-06,0.003,
1993-07,0.007,
1993-08,0.007,
1993-09,0.007,
1993-10,0.007,
1993-11,0.007,
1993-12,0.007,
1994-01,0.003,
1994-02,0.003,
1994-03,0.003,
1994-04,0.003,
1994-05,0.003,
1994-06,0.003,
1994-07,0.004,
1994-08,0.005,
1994-09,0.005,
1994-10,0.005,
1994-11,0.005,
1994-12,0.005,
1995-01,0.004,
1995-02,0.004,
1995-03,0.002,
1995-04,0.002,
1995-05,0.002,
1995-06,0.002,
1995-07,0.002,
1995-08,0.002,
1995-09,0.002,
1995-10,0.002,
1995-11,0.002,
1995-12,0.007,
1996-01,0.007,
1996-02,0.007,
1996-03,0.007,
1996-04,0.007,
1996-05,0.007,
1996-06,0.007,
1996-07,0.007,
1996-08,0.007,
1996-09,0.008,
1996-10,0.008,
1996-11,0.008,
1996-12,0.008,
1997-01,0.008,
1997-02,0.008,
1997-03,0.108,
1997-04,0.138,
1997-05,0.138,
1997-06,0.139,
1997-07,0.139,
1997-08,0.087,
1997-09,0.072,
1997-10,0.071,
1997-11,0.030,
1997-12,0.030,
1998-01,0.030,
1998-02,0.031,
1998-03,0.031,
1998-04,0.031,
1998-05,0.036,
1998-06,0.036,
1998-07,0.033,
1998-08,0.029,
1998-09,0.029,
1998-10,0.022,
1998-11,0.022,
1998-12,0.010,
1999-01,0.009,
1999-02,0.009,
1999-03,0.009,
1999-04,0.009,
1999-05,0.009,
1999-06,0.010,
1999-07,0.010,
1999-08,0.010,
1999-09,0.010,
1999-10,0.010,
1999-11,0.010,
1999-12,0.013,
2000-01,0.083,
2000-02,0.097,
2000-03,0.097,
2000-04,0.097,
2000-05,0.097,
2000-06,0.097,
2000-07,0.097,
2000-08,0.098,
2000-09,0.098,
2000-10,0.098,
2000-11,0.099,
2000-12,0.098,
2001-01,0.098,
2001-02,0.098,
2001-03,0.099,
2001-04,0.121,
2001-05,0.195,
2001-06,0.495,
2001-07,0.554,
2001-08,0.553,
2001-09,0.555,
2001-10,0.563,
2001-11,0.616,
2001-12,0.628,
2002-01,0.720,
2002-02,0.737,
2002-03,0.685,
2002-04,0.682,
2002-05,0.671,
2002-06,0.667,
2002-07,0.666,
2002-08,0.653,
2002-09,0.732,
2002-10,0.731,
2002-11,0.726,
2002-12,0.719,
2003-01,0.697,
2003-02,0.660,
2003-03,0.678,
2003-04,0.662,
2003-05,0.649,
2003-06,0.797,
2003-07,0.802,
2003-08,0.792,
2003-09,0.792,
2003-10,0.804,
2003-11,0.811,
2003-12,0.566,
2004-01,0.534,
2004-02,0.525,
2004-03,0.436,
2004-04,0.438,
2004-05,0.434,
2004-06,0.430,
2004-07,0.403,
2004-08,0.390,
2004-09,0.371,
2004-10,0.383,
2004-11,0.381,
2004-12,0.333,
2005-01,0.325,
2005-02,0.318,
2005-03,0.313,
2005-04,0.310,
2005-05,0.316,
2005-06,0.314,
2005-07,0.313,
2005-08,0.270,
2005-09,0.265,
2005-10,0.256,
2005-11,0.193,
2005-12,0.169,
2006-01,0.346,
2006-02,0.344,
2006-03,0.338,
2006-04,0.332,
2006-05,0.729,
2006-06,0.722,
2006-07,0.721,
2006-08,0.703,
2006-09,0.533,
2006-10,0.533,
2006-11,0.557,
2006-12,0.560,
2007-01,0.526,
2007-02,0.524,
2007-03,0.506,
2007-04,0.134,
2007-05,0.134,
2007-06,0.133,
2007-07,0.133,
2007-08,0.133,
2007-09,0.134,
2007-10,0.128,
2007-11,0.128,
2007-12,0.040,
2008-01,0.040,
2008-02,0.035,
2008-03,0.034,
2008-04,0.034,
2008-05,0.034,
2008-06,0.034,
2008-07,0.034,
2008-08,0.041,
2008-09,0.041,
2008-10,0.162,
2008-11,0.159,
2008-12,0.158,
2009-01,0.159,
2009-02,0.147,
2009-03,0.143,
2009-04,0.022,
2009-05,0.017,
2009-06,0.007,
2009-07,0.007,
2009-08,0.007,
2009-09,0.007,
2009-10,0.007,
2009-11,0.007,
2009-12,0.007,
2010-01,0.008,
2010-02,0.008,
2010-03,0.009,
2010-04,0.009,
2010-05,0.009,
2010-06,0.009,
2010-07,0.133,
2010-08,0.133,
2010-09,0.132,
2010-10,0.132,
2010-11,0.416,
2010-12,0.414,
2011-01,0.404,
2011-02,0.388,
2011-03,0.381,
2011-04,0.367,
2011-05,0.541,
2011-06,0.591,
2011-07,0.595,
2011-08,0.588,
2011-09,0.608,
2011-10,0.334,
2011-11,0.474,
2011-12,0.482,
2012-01,0.481,
2012-02,0.478,
2012-03,0.478,
2012-04,0.611,
2012-05,0.535,
2012-06,0.539,
2012-07,0.614,
2012-08,0.601,
2012-09,0.581,
2012-10,0.579,
2012-11,0.645,
2012-12,0.642,
2013-01,0.632,
2013-02,0.630,
2013-03,0.635,
2013-04,0.717,
2013-05,0.652,
2013-06,0.697,
2013-07,0.690,
2013-08,0.686,
2013-09,0.691,
2013-10,0.702,
2013-11,0.686,
2013-12,0.661,
2014-01,0.665,
2014-02,0.678,
2014-03,0.714,
2014-04,0.711,
2014-05,0.637,
2014-06,0.632,
2014-07,0.556,
2014-08,0.567,
2014-09,0.575,
2014-10,0.573,
2014-11,0.579,
2014-12,0.594,
