"",BBEX3.M.DZD.USD.CA.AB.A01,BBEX3.M.DZD.USD.CA.AB.A01_FLAGS
1994-11,42.5081,
1994-12,43.0875,
1995-01,42.6075,
1995-02,43.7390,
1995-03,43.5775,
1995-04,44.7915,
1995-05,45.9295,
1995-06,49.2175,
1995-07,49.6935,
1995-08,51.0875,
1995-09,50.2720,
1995-10,51.0175,
1995-11,51.4725,
1995-12,52.1825,
1996-01,53.8325,
1996-02,53.3971,
1996-03,53.4977,
1996-04,54.1365,
1996-05,55.0918,
1996-06,55.2305,
1996-07,54.9604,
1996-08,55.2099,
1996-09,55.8451,
1996-10,55.4448,
1996-11,55.9127,
1996-12,55.9439,
1997-01,57.2127,
1997-02,57.2499,
1997-03,56.5576,
1997-04,57.6738,
1997-05,56.9113,
1997-06,57.6240,
1997-07,59.3086,
1997-08,58.5909,
1997-09,58.0476,
1997-10,57.0708,
1997-11,57.8533,
1997-12,58.5311,
1998-01,59.1740,
1998-02,58.8750,
1998-03,59.5378,
1998-04,58.5510,
1998-05,58.3666,
1998-06,58.7603,
1998-07,58.7812,
1998-08,59.2578,
1998-09,57.6362,
1998-10,58.0899,
1998-11,59.6698,
1998-12,60.3340,
1999-01,62.1387,
1999-02,64.4812,
1999-03,66.1969,
1999-04,67.1646,
1999-05,67.8162,
1999-06,68.3724,
1999-07,66.7601,
1999-08,67.5129,
1999-09,67.1140,
1999-10,67.4511,
1999-11,69.2825,
1999-12,69.3723,
2000-01,70.6972,
2000-02,72.0882,
2000-03,73.5162,
2000-04,76.0100,
2000-05,75.0899,
2000-06,73.8283,
2000-07,75.4834,
2000-08,77.1153,
2000-09,77.9428,
2000-10,80.3328,
2000-11,79.1291,
2000-12,75.4949,
2001-01,75.4139,
2001-02,75.8653,
2001-03,78.1627,
2001-04,77.6014,
2001-05,80.0435,
2001-06,80.1824,
2001-07,78.4405,
2001-08,76.1547,
2001-09,76.3514,
2001-10,76.7333,
2001-11,77.8329,
2001-12,77.6766,
2002-01,79.1407,
2002-02,79.6037,
2002-03,80.2278,
2002-04,80.1587,
2002-05,80.0161,
2002-06,79.9098,
2002-07,79.9396,
2002-08,79.9336,
2002-09,79.9217,
2002-10,79.9044,
2002-11,79.8924,
2002-12,79.7255,
2003-01,79.6182,
2003-02,79.6659,
2003-03,79.6653,
2003-04,79.5824,
2003-05,79.3851,
2003-06,78.3428,
2003-07,77.7478,
2003-08,77.8638,
2003-09,77.0033,
2003-10,75.7807,
2003-11,69.4546,
2003-12,72.5496,
2004-01,71.5920,
2004-02,71.4635,
2004-03,71.4681,
2004-04,71.5553,
2004-05,71.4530,
2004-06,71.4788,
2004-07,72.6290,
2004-08,72.6126,
2004-09,72.5911,
2004-10,73.0359,
2004-11,73.0369,
2004-12,72.6157,
2005-01,72.8182,
2005-02,72.3189,
2005-03,72.9257,
2005-04,72.8737,
2005-05,74.2676,
2005-06,73.9214,
2005-07,74.1869,
2005-08,73.8845,
2005-09,73.6207,
2005-10,73.2447,
2005-11,74.4172,
2005-12,73.4516,
2006-01,72.7896,
2006-02,74.0458,
2006-03,74.0342,
2006-04,72.4082,
2006-05,72.9202,
2006-06,73.3082,
2006-07,73.1869,
2006-08,72.4734,
2006-09,72.1257,
2006-10,72.0746,
2006-11,71.0976,
2006-12,71.1895,
2007-01,71.6593,
2007-02,71.1385,
2007-03,70.8900,
2007-04,70.3658,
2007-05,70.6007,
2007-06,69.9991,
2007-07,68.6910,
2007-08,68.5638,
2007-09,67.6620,
2007-10,67.1966,
2007-11,66.7177,
2007-12,66.9372,
2008-01,66.5813,
2008-02,66.1156,
2008-03,65.2606,
2008-04,63.9235,
2008-05,62.8478,
2008-06,61.9651,
2008-07,61.2616,
2008-08,60.9521,
2008-09,60.8787,
2008-10,66.9966,
2008-11,70.5857,
2008-12,71.2282,
2009-01,71.9543,
2009-02,72.5799,
2009-03,73.1154,
2009-04,72.9431,
2009-05,72.3219,
2009-06,73.2617,
2009-07,72.9754,
2009-08,72.9611,
2009-09,72.5868,
2009-10,72.3609,
2009-11,72.2800,
2009-12,72.7849,
2010-01,73.5188,
2010-02,73.4272,
2010-03,73.5747,
2010-04,73.5918,
2010-05,75.3720,
2010-06,75.3818,
2010-07,74.9573,
2010-08,75.8770,
2010-09,74.6808,
2010-10,74.1315,
2010-11,74.7168,
2010-12,73.9440,
2011-01,72.6258,
2011-02,72.4946,
2011-03,72.1242,
2011-04,71.3190,
2011-05,71.9866,
2011-06,71.7029,
2011-07,72.1886,
2011-08,71.9755,
2011-09,74.0444,
2011-10,73.0668,
2011-11,73.9837,
2011-12,76.0277,
2012-01,75.3699,
2012-02,74.4424,
2012-03,74.0886,
2012-04,74.2714,
2012-05,76.8939,
2012-06,78.7297,
2012-07,81.8378,
2012-08,79.9231,
2012-09,79.3553,
2012-10,79.1408,
2012-11,78.5789,
2012-12,78.0876,
2013-01,77.4534,
2013-02,78.3637,
2013-03,79.0465,
2013-04,78.3264,
2013-05,79.0369,
2013-06,80.0307,
2013-07,79.6076,
2013-08,81.1743,
2013-09,81.3303,
2013-10,81.1930,
2013-11,79.7287,
2013-12,78.1524,
2014-01,78.0388,
2014-02,77.5011,
2014-03,78.4739,
2014-04,78.4963,
2014-05,79.1588,
2014-06,79.2515,
2014-07,79.8473,
2014-08,80.2980,
2014-09,83.2496,
2014-10,83.8254,
2014-11,86.0389,
2014-12,87.9525,
2015-01,92.8463,
"","Source: Banque d'Algerie (formerly: Banque Centrale d'Algerie), Algiers.",
"","Comment on 1991-09: 27 September 1991: USD 1 = DZD 17,6285 / 17,6435 (buying/selling). Calculated devaluation: 17,7%.",
"","Comment on 1994-04: On 10 April 1994, the Algerian dinar was devalued. We recorded the following exchange rates (buying/selling rate). 8 April 1994: USD 1 = DZD 25.6762 / 25.691211 April 1994: USD 1 = DZD 35.9110 / 35.9260. Calculated devaluation: 28.5%.",
