"",BBDE1.M.DE.Y.GUA1.P2XF01000.BA.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF01000.BA.V.ABA.A_FLAGS
2006-10,6.86,
2006-11,7.17,
2006-12,8.06,
2007-01,7.06,
2007-02,7.22,
2007-03,6.78,
2007-04,6.59,
2007-05,6.59,
2007-06,6.62,
2007-07,6.69,
2007-08,6.75,
2007-09,6.80,
2007-10,6.69,
2007-11,6.68,
2007-12,6.56,
2008-01,7.58,
2008-02,8.51,
2008-03,7.42,
2008-04,7.01,
2008-05,7.06,
2008-06,6.99,
2008-07,7.03,
2008-08,7.17,
2008-09,6.99,
2008-10,7.02,
2008-11,6.93,
2008-12,6.79,
2009-01,6.50,
2009-02,6.82,
2009-03,6.92,
2009-04,7.04,
2009-05,6.94,
2009-06,6.94,
2009-07,6.82,
2009-08,6.89,
2009-09,6.80,
2009-10,6.86,
2009-11,6.71,
2009-12,6.71,
2010-01,5.42,
2010-02,5.09,
2010-03,6.33,
2010-04,7.04,
2010-05,7.07,
2010-06,7.15,
2010-07,7.08,
2010-08,6.99,
2010-09,7.14,
2010-10,7.28,
2010-11,7.06,
2010-12,6.44,
2011-01,6.87,
2011-02,7.71,
2011-03,7.90,
2011-04,7.68,
2011-05,7.91,
2011-06,7.50,
2011-07,7.56,
2011-08,7.57,
2011-09,7.57,
2011-10,7.73,
2011-11,7.81,
2011-12,8.06,
2012-01,7.99,
2012-02,6.85,
2012-03,7.87,
2012-04,7.73,
2012-05,7.88,
2012-06,7.81,
2012-07,7.87,
2012-08,7.80,
2012-09,7.86,
2012-10,7.70,
2012-11,7.70,
2012-12,7.29,
2013-01,7.06,
2013-02,7.20,
2013-03,7.07,
2013-04,7.68,
2013-05,7.81,
2013-06,8.07,
2013-07,8.30,
2013-08,8.21,
2013-09,8.23,
2013-10,8.13,
2013-11,8.29,
2013-12,8.32,
2014-01,8.75,
2014-02,9.06,
2014-03,8.96,
2014-04,8.51,
2014-05,8.20,
2014-06,8.12,
2014-07,8.10,
2014-08,8.13,
2014-09,8.11,
2014-10,8.22,
2014-11,8.20,
2014-12,8.22,
