"",BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
2003-11,-1123.447,
2003-12,-4746.481,
2004-01,10622.848,
2004-02,5115.503,
2004-03,3771.868,
2004-04,-4507.359,
2004-05,-4918.738,
2004-06,1437.432,
2004-07,5435.240,
2004-08,8.340,
2004-09,8602.200,
2004-10,2596.101,
2004-11,-1318.897,
2004-12,-918.317,
2005-01,4424.050,
2005-02,2325.854,
2005-03,12357.007,
2005-04,-92.742,
2005-05,3489.046,
2005-06,-2207.421,
2005-07,2509.565,
2005-08,-2731.384,
2005-09,8864.799,
2005-10,3764.026,
2005-11,520.804,
2005-12,-10541.560,
2006-01,5188.188,
2006-02,6827.254,
2006-03,3302.418,
2006-04,923.883,
2006-05,2546.427,
2006-06,-520.614,
2006-07,-6101.494,
2006-08,4882.760,
2006-09,4311.890,
2006-10,3454.350,
2006-11,7794.896,
2006-12,-8158.860,
2007-01,503.429,
2007-02,14387.039,
2007-03,4830.534,
2007-04,2204.241,
2007-05,-655.151,
2007-06,11468.672,
2007-07,2839.504,
2007-08,5217.500,
2007-09,2870.883,
2007-10,20180.965,
2007-11,9561.435,
2007-12,-16306.993,
2008-01,21596.058,
2008-02,3864.152,
2008-03,12575.833,
2008-04,-4300.947,
2008-05,-4631.438,
2008-06,-7802.342,
2008-07,8276.820,
2008-08,-179.832,
2008-09,9943.734,
2008-10,-968.353,
2008-11,-4805.091,
2008-12,-7380.351,
2009-01,-1257.576,
2009-02,61.582,
2009-03,15795.410,
2009-04,-2913.797,
2009-05,-4386.075,
2009-06,4131.710,
2009-07,-4634.010,
2009-08,-302.471,
2009-09,4129.713,
2009-10,6149.966,
2009-11,-72.804,
2009-12,-5778.813,
2010-01,-8545.418,
2010-02,10581.367,
2010-03,8438.637,
2010-04,14635.278,
2010-05,-1981.032,
2010-06,-3722.859,
2010-07,18751.014,
2010-08,10512.787,
2010-09,5712.289,
2010-10,13456.465,
2010-11,6073.140,
2010-12,-15482.332,
2011-01,21166.025,
2011-02,11488.065,
2011-03,1651.977,
2011-04,-1467.329,
2011-05,20293.483,
2011-06,-10863.680,
2011-07,9911.903,
2011-08,18362.144,
2011-09,3908.560,
2011-10,-1178.184,
2011-11,-3741.196,
2011-12,-44641.457,
2012-01,18935.931,
2012-02,-4949.055,
2012-03,2596.761,
2012-04,-11505.402,
2012-05,4711.705,
2012-06,8568.316,
2012-07,-4638.992,
2012-08,-18876.697,
2012-09,13321.326,
2012-10,-7739.821,
2012-11,5857.803,
2012-12,-20614.065,
2013-01,19856.332,
2013-02,4814.191,
2013-03,3072.810,
2013-04,-2377.184,
2013-05,-6392.713,
2013-06,7985.167,
2013-07,-16818.171,
2013-08,-1203.579,
2013-09,10085.856,
2013-10,8867.422,
2013-11,583.810,
2013-12,-17265.036,
2014-01,4109.394,
2014-02,852.574,Provisional value
2014-03,22311.299,Provisional value
2014-04,-11587.031,Provisional value
2014-05,16506.091,Provisional value
2014-06,-6889.262,Provisional value
2014-07,-11762.963,Provisional value
2014-08,6936.181,Provisional value
2014-09,2122.802,
2014-10,-5460.804,
2014-11,4468.355,
2014-12,-30670.449,Provisional value
