"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.D.F5___ES._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.D.F5___ES._Z._T._X.N_FLAGS
2000-04,730.734,
2000-05,303.923,
2000-06,3608.831,
2000-07,8625.830,
2000-08,44294.520,
2000-09,6341.480,
2000-10,1519.225,
2000-11,1461.665,
2000-12,46637.948,
2001-01,5044.988,
2001-02,3296.281,
2001-03,11821.461,
2001-04,1556.800,
2001-05,511.997,
2001-06,6754.977,
2001-07,1116.635,
2001-08,3210.337,
2001-09,522.829,
2001-10,1352.903,
2001-11,6517.984,
2001-12,12856.828,
2002-01,12434.326,
2002-02,1559.488,
2002-03,1807.681,
2002-04,3163.080,
2002-05,717.561,
2002-06,2875.410,
2002-07,1704.227,
2002-08,1595.262,
2002-09,2439.051,
2002-10,1856.911,
2002-11,694.639,
2002-12,25205.637,
2003-01,2959.198,
2003-02,1027.078,
2003-03,1654.652,
2003-04,4504.121,
2003-05,3902.574,
2003-06,1003.330,
2003-07,3514.278,
2003-08,799.442,
2003-09,10496.420,
2003-10,2639.208,
2003-11,4142.242,
2003-12,23092.241,
2004-01,14645.446,
2004-02,26509.118,
2004-03,2081.264,
2004-04,3619.677,
2004-05,880.491,
2004-06,2233.917,
2004-07,2809.105,
2004-08,5457.000,
2004-09,4363.180,
2004-10,3092.426,
2004-11,7321.489,
2004-12,17244.781,
2005-01,426.386,
2005-02,291.123,
2005-03,1265.255,
2005-04,1584.931,
2005-05,748.593,
2005-06,1347.884,
2005-07,2011.256,
2005-08,3313.514,
2005-09,9255.314,
2005-10,3657.755,
2005-11,7144.708,
2005-12,28279.867,
2006-01,3178.841,
2006-02,372.975,
2006-03,3090.047,
2006-04,5731.588,
2006-05,3490.591,
2006-06,4373.868,
2006-07,5189.893,
2006-08,8054.633,
2006-09,2118.973,
2006-10,427.543,
2006-11,1737.911,
2006-12,14514.743,
2007-01,16985.742,
2007-02,3694.227,
2007-03,1175.979,
2007-04,436.831,
2007-05,4716.876,
2007-06,16792.731,
2007-07,14612.869,
2007-08,1822.517,
2007-09,31572.312,
2007-10,8453.368,
2007-11,8048.994,
2007-12,36723.505,
2008-01,4319.924,
2008-02,817.944,
2008-03,6440.052,
2008-04,5482.814,
2008-05,1348.014,
2008-06,3556.308,
2008-07,3159.752,
2008-08,2374.165,
2008-09,2905.685,
2008-10,1643.602,
2008-11,3501.131,
2008-12,61617.335,
2009-01,3202.379,
2009-02,815.489,
2009-03,3942.896,
2009-04,1372.109,
2009-05,1680.902,
2009-06,7066.584,
2009-07,1181.620,
2009-08,2392.093,
2009-09,9233.948,
2009-10,4537.904,
2009-11,8946.618,
2009-12,18129.711,
2010-01,1878.667,
2010-02,2843.079,
2010-03,1587.685,
2010-04,2116.957,
2010-05,1898.778,
2010-06,1868.716,
2010-07,7944.737,
2010-08,1156.957,
2010-09,4335.269,
2010-10,3326.661,
2010-11,2199.248,
2010-12,13960.098,
2011-01,875.370,
2011-02,1243.051,
2011-03,4140.504,
2011-04,3135.655,
2011-05,582.957,
2011-06,2215.043,
2011-07,7589.776,
2011-08,358.820,
2011-09,6152.148,
2011-10,5586.799,
2011-11,1260.089,
2011-12,17781.676,
2012-01,1073.467,
2012-02,904.113,
2012-03,1268.285,
2012-04,1841.681,
2012-05,735.267,
2012-06,12555.998,
2012-07,1751.356,
2012-08,5517.324,
2012-09,2572.974,
2012-10,1938.769,
2012-11,2168.023,
2012-12,7318.368,
2013-01,1270.059,
2013-02,3724.876,
2013-03,6989.931,
2013-04,1561.142,
2013-05,10615.429,
2013-06,1825.689,
2013-07,1641.763,
2013-08,288.213,
2013-09,1656.009,
2013-10,615.099,
2013-11,9932.324,
2013-12,9172.474,
2014-01,604.464,
2014-02,1679.367,Provisional value
2014-03,988.198,Provisional value
2014-04,2547.966,Provisional value
2014-05,608.290,Provisional value
2014-06,2125.755,Provisional value
2014-07,1978.019,Provisional value
2014-08,682.959,Provisional value
2014-09,3285.209,
2014-10,4104.094,
2014-11,2250.971,
2014-12,5860.087,Provisional value
