"",BBDA1.M.DE.N.IM.S.A.PL.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.PL.A.V.ABA.A_FLAGS
1999-08,734600,
1999-09,801502,
1999-10,765480,
1999-11,854275,
1999-12,907804,
2000-01,830013,
2000-02,907609,
2000-03,1008171,
2000-04,885845,
2000-05,984278,
2000-06,955598,
2000-07,980650,
2000-08,1064909,
2000-09,1076312,
2000-10,1118438,
2000-11,1068634,
2000-12,1058750,
2001-01,1031818,
2001-02,1049160,
2001-03,1182327,
2001-04,1082650,
2001-05,1106374,
2001-06,1087479,
2001-07,1121145,
2001-08,1147774,
2001-09,1088980,
2001-10,1241982,
2001-11,1287476,
2001-12,1062680,
2002-01,991234,
2002-02,1153363,
2002-03,1175106,
2002-04,1287119,
2002-05,1158002,
2002-06,1200266,
2002-07,1176133,
2002-08,1169690,
2002-09,1156867,
2002-10,1341584,
2002-11,1251606,
2002-12,1132387,
2003-01,1215378,
2003-02,1224475,
2003-03,1291091,
2003-04,1303142,
2003-05,1324809,
2003-06,1216509,
2003-07,1345692,
2003-08,1196662,
2003-09,1390933,
2003-10,1525568,
2003-11,1425991,
2003-12,1427870,
2004-01,1265612,
2004-02,1407783,
2004-03,1515142,
2004-04,1655259,
2004-05,1259824,
2004-06,1075161,
2004-07,1185471,
2004-08,1172532,
2004-09,1228329,
2004-10,1463062,
2004-11,1409936,
2004-12,1335281,
2005-01,1266388,
2005-02,1374768,
2005-03,1339732,
2005-04,1415853,
2005-05,1397344,
2005-06,1289622,
2005-07,1371612,
2005-08,1255394,
2005-09,1471778,
2005-10,1529884,
2005-11,1575803,
2005-12,1481531,
2006-01,1584645,
2006-02,1640636,
2006-03,1739931,
2006-04,1712900,
2006-05,1702105,
2006-06,1584475,
2006-07,1790553,
2006-08,1773219,
2006-09,1826540,
2006-10,2092028,
2006-11,1945832,
2006-12,1833089,
2007-01,1769582,
2007-02,1825530,
2007-03,2113141,
2007-04,1958333,
2007-05,1978517,
2007-06,2024685,
2007-07,2045747,
2007-08,1963694,
2007-09,2046065,
2007-10,2359834,
2007-11,2018614,
2007-12,1951326,
2008-01,2108012,
2008-02,2106440,
2008-03,2158399,
2008-04,2261855,
2008-05,2131760,
2008-06,2277490,
2008-07,2233670,
2008-08,2116445,
2008-09,2325445,
2008-10,2471935,
2008-11,2012996,
2008-12,1670364,
2009-01,1726130,
2009-02,1705487,
2009-03,1956805,
2009-04,1831500,
2009-05,1718491,
2009-06,1755578,
2009-07,1695440,
2009-08,1859128,
2009-09,2017309,
2009-10,2093059,
2009-11,1907357,
2009-12,1894666,
2010-01,1900233,
2010-02,2018449,
2010-03,2416633,
2010-04,2042601,
2010-05,2363712,
2010-06,2413349,
2010-07,2147422,
2010-08,2252992,
2010-09,2562008,
2010-10,2629031,
2010-11,2441283,
2010-12,2449236,
2011-01,2366725,
2011-02,2618208,
2011-03,2838108,
2011-04,2642564,
2011-05,2710478,
2011-06,2745778,
2011-07,2587388,
2011-08,2659855,
2011-09,2938711,
2011-10,2831812,
2011-11,2758634,
2011-12,2607098,
2012-01,2518394,
2012-02,2729749,
2012-03,2922071,
2012-04,2535774,
2012-05,2816805,
2012-06,2817863,
2012-07,2706427,
2012-08,2703588,
2012-09,2743811,
2012-10,3290220,
2012-11,2778051,
2012-12,2464519,
2013-01,2779030,
2013-02,2791664,
2013-03,2951585,
2013-04,2990552,
2013-05,2926865,
2013-06,3017894,
2013-07,2932871,
2013-08,2940536,
2013-09,3234485,
2013-10,3484246,
2013-11,3150277,
2013-12,2813020,
2014-01,3049089,
2014-02,3236508,
2014-03,3294438,
2014-04,3351335,
2014-05,3151289,
2014-06,3188824,
2014-07,3333353,
2014-08,2919580,
2014-09,3495037,
2014-10,3820012,
2014-11,3528685,
2014-12,3393042,
