"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1997-04,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,182.8044,123.2251,123.2251,123.2251,123.2251,123.2251,123.2251,123.2251,123.2251,123.2251,123.2251,123.2251,123.2251,121.2829,121.2829
1997-07,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,197.8483,132.6004,132.6004,132.6004,132.6004,132.6004,132.6004,132.6004,132.6004,132.6004,132.6004,132.6004,132.6004,131.1648,131.1648
1997-10,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,189.6350,127.1326,127.1326,127.1326,127.1326,127.1326,127.1326,127.1326,127.1326,127.1326,127.1326,127.1326,127.1326,126.9960,126.9960
1998-01,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,167.9580,114.6126,114.6126,114.6126,114.6126,114.6126,114.6126,114.6126,114.6126,114.6126,114.6126,114.6126,114.6126,113.5689,113.5689
1998-04,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,174.8628,120.2557,120.2557,120.2557,120.2557,120.2557,120.2557,120.2557,120.2557,120.2557,120.2557,120.2557,120.2557,117.2006,117.2006
1998-07,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,200.2044,135.9569,135.9569,135.9569,135.9569,135.9569,135.9569,135.9569,135.9569,135.9569,135.9569,135.9569,135.9569,133.2995,133.2995
1998-10,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,190.8896,129.1462,129.1462,129.1462,129.1462,129.1462,129.1462,129.1462,129.1462,129.1462,129.1462,129.1462,129.1462,127.3166,127.3166
1999-01,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,173.4264,118.7518,118.7518,118.7518,118.7518,118.7518,118.7518,118.7518,118.7518,118.7518,118.7518,118.7518,118.7518,116.2200,116.2200
1999-04,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,177.7758,122.3344,122.3344,122.3344,122.3344,122.3344,122.3344,122.3344,122.3344,122.3344,122.3344,122.3344,122.3344,117.1749,117.1749
1999-07,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,196.1820,133.5358,133.5358,133.5358,133.5358,133.5358,133.5358,133.5358,133.5358,133.5358,133.5358,133.5358,133.5358,128.5144,128.5144
1999-10,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,188.2764,127.5736,127.5736,127.5736,127.5736,127.5736,127.5736,127.5736,127.5736,127.5736,127.5736,127.5736,127.5736,124.0103,124.0103
2000-01,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,170.2272,115.6128,115.6128,115.6128,115.6128,115.6128,115.6128,115.6128,115.6128,115.6128,115.6128,115.6128,115.6128,114.7438,114.7438
2000-04,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,176.5584,119.5769,119.5769,119.5769,119.5769,119.5769,119.5769,119.5769,119.5769,119.5769,119.5769,119.5769,119.5769,117.0829,117.0829
2000-07,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,191.0500,128.2527,128.2527,128.2527,128.2527,128.2527,128.2527,128.2527,128.2527,128.2527,128.2527,128.2527,128.2527,126.2298,126.2298
2000-10,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,181.4292,122.5356,122.5356,122.5356,122.5356,122.5356,122.5356,122.5356,122.5356,122.5356,122.5356,122.5356,122.5356,120.1876,120.1876
2001-01,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,162.0586,106.0757,106.0757,106.0757,106.0757,106.0757,106.0757,106.0757,106.0757,106.0757,106.0757,106.0757,106.0757,104.5924,104.5924
2001-04,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,167.9856,110.7530,110.7530,110.7530,110.7530,110.7530,110.7530,110.7530,110.7530,110.7530,110.7530,110.7530,110.7530,108.6759,108.6759
2001-07,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,184.4640,120.2309,120.2309,120.2309,120.2309,120.2309,120.2309,120.2309,120.2309,120.2309,120.2309,120.2309,120.2309,119.1802,119.1802
2001-10,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,176.1020,114.4236,114.4236,114.4236,114.4236,114.4236,114.4236,114.4236,114.4236,114.4236,114.4236,114.4236,114.4236,112.6334,112.6334
2002-01,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,155.9745,101.9341,101.9341,101.9341,101.9341,101.9341,101.9341,101.9341,101.9341,101.9341,101.9341,101.9341,101.9341,101.1342,101.1342
2002-04,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,165.7449,109.3436,109.3436,109.3436,109.3436,109.3436,109.3436,109.3436,109.3436,109.3436,109.3436,109.3436,109.3436,108.2555,108.2555
2002-07,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,180.7500,118.1161,118.1161,118.1161,118.1161,118.1161,118.1161,118.1161,118.1161,118.1161,118.1161,118.1161,118.1161,116.8817,116.8817
2002-10,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,170.9012,111.0002,111.0002,111.0002,111.0002,111.0002,111.0002,111.0002,111.0002,111.0002,111.0002,111.0002,111.0002,108.9036,108.9036
2003-01,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,151.1200,98.5836,98.5836,98.5836,98.5836,98.5836,98.5836,98.5836,98.5836,98.5836,98.5836,98.5836,98.5836,97.9066,97.9066
2003-04,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,159.9872,105.8510,105.8510,105.8510,105.8510,105.8510,105.8510,105.8510,105.8510,105.8510,105.8510,105.8510,105.8510,104.6208,104.6208
