"",2005-11-16,2005-12-16,2006-01-16,2006-02-16,2006-03-28,2006-06-16,2006-06-26,2006-07-03,2006-07-17,2006-08-16,2006-09-14,2006-10-16,2006-11-17,2006-12-15,2007-01-16,2007-02-16,2007-03-21,2007-04-16,2007-05-10,2007-06-15,2007-07-13,2007-08-16,2007-09-14,2007-10-15,2007-11-16,2007-12-14,2008-01-16,2008-02-15,2008-03-17,2008-04-14,2008-05-16,2008-06-19,2008-07-14,2008-08-15,2008-09-16,2008-10-16,2008-11-17,2008-12-16,2009-01-16,2009-02-16,2009-03-16,2010-03-04,2010-03-15,2010-04-16,2010-05-17,2010-06-15,2010-07-14,2010-08-16,2010-09-15,2010-10-15,2010-11-15,2010-12-14,2011-01-17,2011-02-14,2011-03-17,2011-04-15,2011-05-16,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-17,2011-11-14,2011-12-15,2012-01-16,2012-02-14,2012-03-15,2012-04-16,2012-05-14,2012-06-15,2012-07-16,2012-08-15,2012-09-17,2012-10-15,2012-11-14,2012-12-17,2013-01-16,2013-02-15,2013-04-15,2013-05-15,2013-06-17,2013-07-15,2013-08-12,2013-09-16,2013-10-15,2013-11-15,2013-12-16,2014-01-16,2014-02-17,2014-03-17,2014-04-15,2014-05-15,2014-06-16,2014-07-15,2014-08-15,2014-09-15,2014-10-15,2014-11-17,2014-12-15,2015-01-16,2015-02-17
1991-07,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.31,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,102.30,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.62,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12
1991-08,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.76,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,98.75,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,97.13,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82,91.82
1991-09,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.91,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,95.33,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11,90.11
1991-10,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.29,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,101.31,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,99.65,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20,94.20
1991-11,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.70,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,129.82,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,127.69,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70,120.70
1991-12,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,104.31,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99,96.99
1992-01,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.36,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66,89.66
1992-02,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,91.20,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21,86.21
1992-03,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.36,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,97.45,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,95.85,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61,90.61
1992-04,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.43,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,97.50,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,95.90,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66
1992-05,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.74,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,101.82,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,100.16,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68,94.68
1992-06,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.60,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,109.71,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,107.91,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01,102.01
1992-07,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.61,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,106.71,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22,99.22
1992-08,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.81,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,99.90,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,98.26,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89,92.89
1992-09,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,100.03,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,98.39,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01,93.01
1992-10,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.80,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,100.18,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70,94.70
1992-11,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.71,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,131.91,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,129.75,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66,122.66
1992-12,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.00,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,106.06,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,104.32,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61,98.61
1993-01,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,93.56,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,92.03,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.00
1993-02,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.31,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,89.40,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12,83.12
1993-03,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,94.55,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,93.00,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91,87.91
