"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13
1996-01,,,,871.5,871.7,872.7,873.3,873.3,872.7,872.9,872.9,872.4,868.4,868.4,868.5,462.04,461.99,461.99,461.99,461.99,461.94,461.94,461.94,461.94,462.08,462.08,462.08,462.11,461.80,461.80,461.80,461.80,461.98,461.96,461.96,461.96,461.94,462.02,462.02,461.94,462.20,462.20,462.20,462.20,461.90,461.90,461.90,461.90,461.84,461.84,461.84,461.84,473.750,473.750,473.750
1996-04,,,,,884.3,883.5,883.5,883.5,884.5,884.2,884.1,884.0,879.3,879.2,879.1,468.86,468.86,468.86,468.86,468.86,469.01,469.01,469.01,469.01,468.65,468.65,468.65,468.59,468.39,468.39,468.39,468.39,468.55,468.63,468.63,468.63,468.60,468.57,468.57,468.60,468.30,468.30,468.30,468.30,468.46,468.46,468.46,468.46,468.35,468.35,468.35,468.35,480.423,480.423,480.423
1996-07,,,,,,891.2,890.8,890.8,890.9,890.8,890.4,890.5,885.3,885.3,884.5,471.63,471.69,471.69,471.69,471.69,471.74,471.74,471.74,471.74,471.66,471.66,471.66,471.70,471.70,471.70,471.70,471.70,471.71,471.70,471.70,471.70,471.76,471.73,471.73,471.76,471.52,471.52,471.52,471.52,471.57,471.57,471.57,471.57,471.57,471.57,471.57,471.57,484.121,484.121,484.121
1996-10,,,,,,,892.9,892.9,893.3,893.4,893.9,894.3,890.3,890.3,891.2,474.38,474.38,474.38,474.38,474.38,474.23,474.23,474.23,474.23,474.64,474.64,474.64,474.63,475.09,475.09,475.09,475.09,475.01,474.95,474.95,474.95,475.10,475.07,475.07,475.10,474.27,474.27,474.27,474.27,474.42,474.42,474.42,474.42,474.47,474.47,474.47,474.47,487.603,487.603,487.603
1997-01,,,,,,,,903.2,902.2,901.9,901.8,901.2,897.2,897.2,897.4,474.19,474.15,474.15,474.15,474.15,473.39,473.39,473.39,473.39,473.29,473.29,473.29,473.30,473.16,473.16,473.16,473.16,473.11,473.09,473.09,473.09,472.96,472.95,472.95,472.95,472.18,472.18,472.18,472.18,471.89,471.89,471.89,471.89,472.01,472.01,472.01,472.01,484.775,484.775,484.775
1997-04,,,,,,,,,909.2,909.3,909.1,909.1,904.6,904.6,904.3,478.15,478.26,478.26,478.26,478.26,478.57,478.57,478.57,478.57,478.36,478.36,478.36,478.33,478.35,478.35,478.35,478.35,478.55,478.58,478.58,478.58,478.49,478.48,478.48,478.48,477.93,477.93,477.93,477.93,477.94,477.94,477.94,477.94,477.91,477.91,477.91,477.91,490.825,490.825,490.825
1997-07,,,,,,,,,,916.2,916.1,916.3,910.9,911.0,910.0,480.74,480.76,480.76,480.76,480.76,480.78,480.78,480.78,480.78,480.75,480.75,480.75,480.76,480.98,480.98,480.98,480.98,480.99,480.98,480.98,480.98,481.14,481.12,481.12,481.12,480.53,480.53,480.53,480.53,480.54,480.54,480.54,480.54,480.42,480.42,480.42,480.42,493.469,493.469,493.469
1997-10,,,,,,,,,,,919.0,919.5,915.5,915.5,916.6,485.01,484.92,484.92,484.92,484.92,484.64,484.64,484.64,484.64,484.91,484.91,484.91,484.92,484.99,484.99,484.99,484.99,484.94,484.93,484.93,484.93,485.09,485.12,485.12,485.12,484.29,484.29,484.29,484.29,484.61,484.61,484.61,484.61,484.64,484.64,484.64,484.64,497.925,497.925,497.925
1998-01,,,,,,,,,,,,932.4,933.4,933.5,932.9,489.82,489.83,489.83,489.83,489.83,489.75,489.75,489.75,489.75,489.50,489.50,489.50,489.50,489.54,489.54,489.54,489.54,489.45,489.45,489.45,489.45,489.35,489.35,489.35,489.35,487.56,487.56,487.56,487.56,487.30,487.30,487.30,487.30,487.45,487.45,487.45,487.45,501.329,501.329,501.329
1998-04,,,,,,,,,,,,,936.5,936.5,935.7,489.66,489.79,489.79,489.79,489.79,490.09,490.09,490.09,490.09,490.09,490.09,490.09,490.04,489.88,489.88,489.88,489.88,490.04,490.04,490.04,490.04,490.04,490.04,490.04,490.04,488.53,488.53,488.53,488.53,488.63,488.63,488.63,488.63,488.58,488.58,488.58,488.58,502.269,502.269,502.269
1998-07,,,,,,,,,,,,,,945.1,944.0,491.48,491.46,491.46,491.46,491.46,491.53,491.53,491.53,491.53,491.38,491.38,491.38,491.38,491.77,491.77,491.77,491.77,491.79,491.79,491.79,491.79,491.89,491.89,491.89,491.89,490.76,490.76,490.76,490.76,490.70,490.70,490.70,490.70,490.50,490.50,490.50,490.50,504.497,504.497,504.497
1998-10,,,,,,,,,,,,,,,942.0,492.22,492.09,492.09,492.09,492.09,492.06,492.06,492.06,492.06,492.20,492.20,492.20,492.25,491.93,491.93,491.93,491.93,491.95,491.95,491.95,491.95,492.10,492.10,492.10,492.10,491.14,491.14,491.14,491.14,491.55,491.55,491.55,491.55,491.56,491.56,491.56,491.56,505.348,505.348,505.348
1999-01,,,,,,,,,,,,,,,,497.28,497.28,497.28,497.28,497.28,497.45,497.45,497.45,497.45,497.19,497.19,497.19,497.24,497.14,497.14,497.14,497.14,497.10,497.13,497.13,497.13,496.99,496.99,496.99,496.98,494.19,494.19,494.19,494.19,493.89,493.89,493.89,493.89,494.03,494.03,494.03,494.03,509.480,509.480,509.480
1999-04,,,,,,,,,,,,,,,,497.70,497.96,497.96,497.96,497.96,498.27,498.27,498.27,498.27,498.41,498.41,498.41,498.31,498.52,498.52,498.52,498.52,498.63,498.61,498.61,498.61,498.57,498.57,498.57,498.56,495.76,495.76,495.76,495.76,495.88,495.88,495.88,495.88,495.75,495.75,495.75,495.75,510.714,510.714,510.714
1999-07,,,,,,,,,,,,,,,,503.19,503.02,503.02,503.02,503.02,503.12,503.12,503.12,503.12,502.86,502.86,502.86,502.86,503.38,503.38,503.38,503.38,503.39,503.36,503.36,503.36,503.43,503.43,503.43,503.41,500.77,500.77,500.77,500.77,500.63,500.63,500.63,500.63,500.46,500.46,500.46,500.46,516.083,516.083,516.083
1999-10,,,,,,,,,,,,,,,,508.53,508.45,508.45,508.45,508.45,508.50,508.50,508.50,508.50,508.59,508.59,508.59,508.64,507.98,507.98,507.98,507.98,507.99,508.01,508.01,508.01,508.18,508.18,508.18,508.21,505.30,505.30,505.30,505.30,505.68,505.68,505.68,505.68,505.72,505.72,505.72,505.72,520.968,520.968,520.968
2000-01,,,,,,,,,,,,,,,,511.49,511.68,511.68,511.68,511.68,512.21,512.21,512.21,512.21,512.22,512.22,512.22,512.29,512.21,512.21,512.21,512.21,512.46,512.51,512.51,512.51,512.42,512.42,512.42,512.42,508.97,508.97,508.97,508.97,508.73,508.73,508.73,508.73,508.83,508.83,508.83,508.83,525.396,525.396,525.396
2000-04,,,,,,,,,,,,,,,,515.80,516.30,516.30,516.30,516.30,516.57,516.57,516.57,516.57,516.53,516.53,516.53,516.45,516.42,516.42,516.42,516.42,516.61,516.55,516.55,516.55,516.47,516.47,516.47,516.47,512.45,512.45,512.45,512.45,512.51,512.51,512.51,512.51,512.35,512.35,512.35,512.35,528.913,528.913,528.913
2000-07,,,,,,,,,,,,,,,,517.25,516.72,516.72,516.72,516.72,516.84,516.84,516.84,516.84,516.44,516.44,516.44,516.40,516.68,516.68,516.68,516.68,516.67,516.61,516.61,516.61,516.73,516.73,516.73,516.73,513.21,513.21,513.21,513.21,513.05,513.05,513.05,513.05,512.95,512.95,512.95,512.95,529.811,529.811,529.811
2000-10,,,,,,,,,,,,,,,,517.42,517.25,517.25,517.25,517.25,517.10,517.10,517.10,517.10,517.58,517.58,517.58,517.65,517.05,517.05,517.05,517.05,517.04,517.09,517.09,517.09,517.21,517.21,517.21,517.21,513.30,513.30,513.30,513.30,513.74,513.74,513.74,513.74,513.80,513.80,513.80,513.80,529.687,529.687,529.687
2001-01,,,,,,,,,,,,,,,,526.50,525.45,525.45,525.45,525.45,525.91,525.91,525.91,525.91,525.98,525.98,525.98,526.02,525.94,525.94,525.94,525.94,525.76,525.78,525.78,525.78,525.77,525.77,525.77,525.79,523.36,523.36,523.36,523.36,523.22,523.22,523.22,523.22,523.31,523.31,523.31,523.31,541.808,541.808,541.808
2001-04,,,,,,,,,,,,,,,,528.64,527.96,527.96,527.96,527.96,528.16,528.16,528.16,528.16,527.92,527.92,527.92,527.86,527.67,527.67,527.67,527.67,527.96,527.93,527.93,527.93,527.82,527.82,527.82,527.79,524.63,524.63,524.63,524.63,524.65,524.65,524.65,524.65,524.42,524.42,524.42,524.42,543.208,543.208,543.208
2001-07,,,,,,,,,,,,,,,,527.83,528.00,528.00,528.00,528.00,527.98,527.98,527.98,527.98,527.80,527.80,527.80,527.73,528.07,528.07,528.07,528.07,528.00,527.96,527.96,527.96,528.06,528.06,528.06,528.08,525.31,525.31,525.31,525.31,525.16,525.16,525.16,525.16,525.16,525.16,525.16,525.16,545.026,545.026,545.026
2001-10,,,,,,,,,,,,,,,,533.13,534.27,534.27,534.27,534.27,534.00,534.00,534.00,534.00,534.56,534.56,534.56,534.65,534.45,534.45,534.45,534.45,534.38,534.45,534.45,534.45,534.56,534.56,534.56,534.57,531.62,531.62,531.62,531.62,532.03,532.03,532.03,532.03,532.02,532.02,532.02,532.02,549.788,549.788,549.788
2002-01,,,,,,,,,,,,,,,,535.81,533.97,533.97,533.97,533.97,533.90,533.90,533.90,533.90,533.87,533.87,533.87,533.96,533.67,533.67,533.67,533.67,533.51,533.56,533.56,533.56,533.51,533.51,533.51,533.51,530.87,530.87,530.87,530.87,530.87,530.87,530.87,530.87,530.95,530.95,530.95,530.95,549.137,549.137,549.137
2002-04,,,,,,,,,,,,,,,,535.77,533.65,533.65,533.65,533.65,533.68,533.68,533.68,533.68,533.54,533.54,533.54,533.38,533.40,533.40,533.40,533.40,533.76,533.76,533.76,533.76,533.61,533.61,533.61,533.56,530.46,530.46,530.46,530.46,530.31,530.31,530.31,530.31,530.11,530.11,530.11,530.11,548.887,548.887,548.887
2002-07,,,,,,,,,,,,,,,,539.63,539.04,539.04,539.04,539.04,538.31,538.31,538.31,538.31,538.33,538.33,538.33,538.28,538.71,538.71,538.71,538.71,538.71,538.61,538.61,538.61,538.66,538.66,538.66,538.71,536.34,536.34,536.34,536.34,536.18,536.18,536.18,536.18,536.20,536.20,536.20,536.20,555.519,555.519,555.519
2002-10,,,,,,,,,,,,,,,,541.07,541.83,541.83,541.83,541.83,540.42,540.42,540.42,540.42,540.69,540.69,540.69,540.80,540.65,540.65,540.65,540.65,540.50,540.55,540.55,540.55,540.86,540.86,540.86,540.86,537.97,537.97,537.97,537.97,538.42,538.42,538.42,538.42,538.49,538.49,538.49,538.49,556.189,556.189,556.189
2003-01,,,,,,,,,,,,,,,,539.42,538.06,538.06,538.06,538.06,538.33,538.33,538.33,538.33,538.77,538.77,538.77,538.94,538.44,538.44,538.44,538.44,538.18,538.29,538.29,538.29,538.24,538.24,538.24,538.22,534.35,534.35,534.35,534.35,534.48,534.48,534.48,534.48,534.47,534.47,534.47,534.47,551.276,551.276,551.276
2003-04,,,,,,,,,,,,,,,,539.88,539.09,539.09,539.09,539.09,538.20,538.20,538.20,538.20,538.75,538.75,538.75,538.55,538.38,538.38,538.38,538.38,538.86,538.91,538.91,538.91,538.66,538.66,538.66,538.53,534.20,534.20,534.20,534.20,534.06,534.06,534.06,534.06,533.83,533.83,533.83,533.83,551.414,551.414,551.414
2003-07,,,,,,,,,,,,,,,,543.88,543.14,543.14,543.14,543.14,542.39,542.39,542.39,542.39,543.35,543.35,543.35,543.31,544.02,544.02,544.02,544.02,544.09,543.93,543.93,543.93,543.85,543.85,543.85,543.87,540.11,540.11,540.11,540.11,539.90,539.90,539.90,539.90,539.90,539.90,539.90,539.90,558.204,558.204,558.204
2003-10,,,,,,,,,,,,,,,,544.88,546.29,546.29,546.29,546.29,545.50,545.50,545.50,545.50,545.89,545.89,545.89,545.96,545.79,545.79,545.79,545.79,545.53,545.53,545.53,545.53,546.08,546.08,546.08,546.21,542.01,542.01,542.01,542.01,542.35,542.35,542.35,542.35,542.51,542.51,542.51,542.51,559.384,559.384,559.384
2004-01,,,,,,,,,,,,,,,,548.92,549.98,549.98,549.98,549.98,548.97,548.97,548.97,548.97,549.43,549.43,549.43,549.74,549.05,549.05,549.05,549.05,549.05,549.16,549.16,549.16,549.09,549.09,549.09,549.04,545.39,545.39,545.39,545.39,545.41,545.41,545.41,545.41,545.40,545.40,545.40,545.40,562.133,562.133,562.133
2004-04,,,,,,,,,,,,,,,,551.13,552.76,552.76,552.76,552.76,550.41,550.41,550.41,550.41,551.53,551.53,551.53,551.16,551.50,551.50,551.50,551.50,552.08,552.20,552.20,552.20,551.91,551.91,551.91,551.75,547.92,547.92,547.92,547.92,547.78,547.78,547.78,547.78,547.54,547.54,547.54,547.54,566.196,566.196,566.196
2004-07,,,,,,,,,,,,,,,,549.92,552.16,552.16,552.16,552.16,549.82,549.82,549.82,549.82,551.20,551.20,551.20,551.25,551.78,551.78,551.78,551.78,551.95,551.70,551.70,551.70,551.41,551.41,551.41,551.46,548.07,548.07,548.07,548.07,547.81,547.81,547.81,547.81,547.80,547.80,547.80,547.80,566.238,566.238,566.238
2004-10,,,,,,,,,,,,,,,,548.99,552.36,552.36,552.36,552.36,550.43,550.43,550.43,550.43,551.29,551.29,551.29,551.29,550.81,550.81,550.81,550.81,550.50,550.51,550.51,550.51,551.29,551.29,551.29,551.45,547.58,547.58,547.58,547.58,547.99,547.99,547.99,547.99,548.14,548.14,548.14,548.14,565.890,565.890,565.890
2005-01,,,,,,,,,,,,,,,,557.30,557.96,557.45,557.50,557.52,556.00,556.00,556.00,556.00,555.17,555.17,555.17,555.71,554.64,554.64,554.64,554.64,554.25,554.37,554.37,554.37,554.12,554.12,554.12,553.98,550.09,550.09,550.09,550.09,550.25,550.25,550.25,550.25,550.18,550.18,550.18,550.18,567.165,567.165,567.165
2005-04,,,,,,,,,,,,,,,,,557.99,558.90,558.83,559.40,557.20,557.20,557.20,557.20,558.19,558.19,558.19,557.68,558.11,558.11,558.11,558.11,557.77,558.00,558.00,558.00,557.70,557.70,557.70,557.46,552.98,552.98,552.98,552.98,552.81,552.81,552.81,552.81,552.52,552.52,552.52,552.52,571.343,571.343,571.343
2005-07,,,,,,,,,,,,,,,,,,561.05,561.46,562.19,560.89,560.89,560.89,560.89,562.33,562.33,562.33,562.39,562.16,562.16,562.16,562.16,562.86,562.51,562.51,562.51,562.09,562.09,562.09,562.12,558.28,558.28,558.28,558.28,557.94,557.94,557.94,557.94,557.99,557.99,557.99,557.99,577.098,577.098,577.098
2005-10,,,,,,,,,,,,,,,,,,,563.77,564.35,563.47,563.47,563.47,563.47,565.16,565.16,565.16,565.07,564.38,564.38,564.38,564.38,563.50,563.52,563.52,563.52,564.60,564.60,564.60,564.96,559.76,559.76,559.76,559.76,560.31,560.31,560.31,560.31,560.58,560.58,560.58,560.58,578.734,578.734,578.734
2006-01,,,,,,,,,,,,,,,,,,,,567.19,568.30,567.18,567.57,567.48,569.51,569.51,569.51,570.21,568.77,568.77,568.77,568.77,569.30,569.45,569.45,569.45,569.46,569.46,569.46,569.18,566.60,566.60,566.60,566.60,566.71,566.71,566.71,566.71,566.54,566.54,566.54,566.54,584.160,584.160,584.160
2006-04,,,,,,,,,,,,,,,,,,,,,574.77,573.47,574.62,574.73,578.80,578.80,578.80,578.09,578.45,578.45,578.45,578.45,578.87,579.18,579.18,579.18,579.34,579.40,579.40,579.12,576.30,576.30,576.30,576.30,576.07,576.07,576.07,576.07,575.67,575.67,575.67,575.67,595.221,595.221,595.221
2006-07,,,,,,,,,,,,,,,,,,,,,,579.45,580.64,581.01,583.98,583.98,583.98,584.09,583.75,583.75,583.75,583.75,585.29,584.78,584.78,584.78,584.76,584.71,584.71,584.71,582.04,582.04,582.04,582.04,581.80,581.80,581.80,581.80,581.80,581.80,581.80,581.80,601.421,601.421,601.421
