"",2005-05-24,2005-08-23,2005-11-22,2006-02-22,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
1992-10,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.37,83.94,83.94,83.94,83.94,83.94,83.94,83.94,83.94,83.94,83.94,83.94,83.94,93.854,93.854,93.854
1993-01,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,90.02,89.72,89.72,89.72,89.72,89.72,89.72,89.72,89.72,89.72,89.72,89.72,89.72,98.855,98.855,98.855
1993-04,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.08,96.22,96.22,96.22,96.22,96.22,96.22,96.22,96.22,96.22,96.22,96.22,96.22,105.593,105.593,105.593
1993-07,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.74,106.88,106.88,106.88,106.88,106.88,106.88,106.88,106.88,106.88,106.88,106.88,106.88,116.672,116.672,116.672
1993-10,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,82.78,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,83.26,92.933,92.933,92.933
1994-01,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,92.79,92.79,92.79,92.79,92.79,92.79,92.79,92.79,92.79,92.79,92.79,92.79,102.836,102.836,102.836
1994-04,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.74,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,108.618,108.618,108.618
1994-07,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.03,113.96,113.96,113.96,113.96,113.96,113.96,113.96,113.96,113.96,113.96,113.96,113.96,121.946,121.946,121.946
1994-10,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.65,94.28,94.28,94.28,94.28,94.28,94.28,94.28,94.28,94.28,94.28,94.28,94.28,103.834,103.834,103.834
1995-01,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.78,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,102.52,112.044,112.044,112.044
1995-04,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.70,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,103.43,113.752,113.752,113.752
1995-07,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,113.76,114.32,114.32,114.32,114.32,114.32,114.32,114.32,114.32,114.32,114.32,114.32,114.32,124.168,124.168,124.168
1995-10,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,90.53,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,92.64,101.429,101.429,101.429
1996-01,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,94.69,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,104.485,104.485,104.485
1996-04,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.30,100.34,100.34,100.34,100.34,100.34,100.34,100.34,100.34,100.34,100.34,100.34,100.34,110.538,110.538,110.538
1996-07,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,110.97,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,111.48,121.501,121.501,121.501
1996-10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,90.10,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65,91.65,100.364,100.364,100.364
1997-01,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,94.21,95.23,95.23,95.23,95.23,95.23,95.23,95.23,95.23,95.23,95.23,95.23,95.23,104.636,104.636,104.636
1997-04,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,102.83,102.83,102.83,102.83,102.83,102.83,102.83,102.83,102.83,102.83,102.83,102.83,113.402,113.402,113.402
1997-07,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,114.29,115.10,115.10,115.10,115.10,115.10,115.10,115.10,115.10,115.10,115.10,115.10,115.10,124.679,124.679,124.679
1997-10,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,92.87,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,103.409,103.409,103.409
1998-01,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,104.81,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,114.861,114.861,114.861
1998-04,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.87,105.84,105.84,105.84,105.84,105.84,105.84,105.84,105.84,105.84,105.84,105.84,105.84,116.601,116.601,116.601
1998-07,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,118.31,119.22,119.22,119.22,119.22,119.22,119.22,119.22,119.22,119.22,119.22,119.22,119.22,130.407,130.407,130.407
1998-10,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,97.71,97.71,97.71,97.71,97.71,97.71,97.71,97.71,97.71,97.71,97.71,97.71,107.096,107.096,107.096
1999-01,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,103.61,104.85,104.85,104.85,104.85,104.85,104.85,104.85,104.85,104.85,104.85,104.85,104.85,115.977,115.977,115.977
1999-04,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.17,106.17,106.17,106.17,106.17,106.17,106.17,106.17,106.17,106.17,106.17,106.17,117.728,117.728,117.728
1999-07,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.14,121.97,121.97,121.97,121.97,121.97,121.97,121.97,121.97,121.97,121.97,121.97,121.97,134.835,134.835,134.835
1999-10,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,100.59,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,113.623,113.623,113.623
2000-01,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,110.59,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,112.38,123.343,123.343,123.343
2000-04,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,110.79,111.38,111.38,111.38,111.38,111.38,111.38,111.38,111.38,111.38,111.38,111.38,111.38,123.433,123.433,123.433
2000-07,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,124.85,126.34,126.34,126.34,126.34,126.34,126.34,126.34,126.34,126.34,126.34,126.34,126.34,139.711,139.711,139.711
2000-10,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,102.95,106.49,106.49,106.49,106.49,106.49,106.49,106.49,106.49,106.49,106.49,106.49,106.49,118.050,118.050,118.050
2001-01,108.29,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,106.65,111.33,111.33,111.33,111.33,111.33,111.33,111.33,111.33,111.33,111.33,111.33,111.33,124.518,124.518,124.518
2001-04,105.49,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,104.03,106.05,106.05,106.05,106.05,106.05,106.05,106.05,106.05,106.05,106.05,106.05,106.05,122.116,122.116,122.116
2001-07,113.99,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,114.76,118.87,118.87,118.87,118.87,118.87,118.87,118.87,118.87,118.87,118.87,118.87,118.87,133.329,133.329,133.329
2001-10,85.85,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,86.41,91.40,91.40,91.40,91.40,91.40,91.40,91.40,91.40,91.40,91.40,91.40,91.40,104.859,104.859,104.859
2002-01,94.11,91.23,91.23,91.23,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,91.97,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,96.70,109.608,109.608,109.608
2002-04,96.12,93.34,93.34,93.34,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,95.53,110.495,110.495,110.495
2002-07,104.89,105.21,105.21,105.21,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,105.50,110.22,110.22,110.22,110.22,110.22,110.22,110.22,110.22,110.22,110.22,110.22,110.22,124.606,124.606,124.606
2002-10,78.96,79.16,79.16,79.16,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,78.88,82.89,82.89,82.89,82.89,82.89,82.89,82.89,82.89,82.89,82.89,82.89,82.89,94.167,94.167,94.167
2003-01,96.70,93.77,93.77,93.77,95.96,95.96,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,95.94,98.97,98.97,98.97,98.97,98.97,98.97,98.97,98.97,98.97,98.97,98.97,98.97,110.274,110.274,110.274
2003-04,95.12,92.98,92.98,92.98,93.63,93.63,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,93.26,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,106.494,106.494,106.494
2003-07,101.90,102.18,102.18,102.18,102.93,102.93,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,103.19,105.67,105.67,105.67,105.67,105.67,105.67,105.67,105.67,105.67,105.67,105.67,105.67,121.399,121.399,121.399
2003-10,83.64,83.82,83.82,83.82,84.47,84.47,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,84.03,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,86.47,97.752,97.752,97.752
2004-01,93.98,92.14,92.14,92.14,92.10,92.10,91.64,91.64,91.64,91.64,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,92.27,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,106.309,106.309,106.309
2004-04,92.34,91.02,91.02,91.02,89.64,89.64,88.94,88.94,88.94,88.94,89.77,89.77,89.77,89.77,89.77,89.77,89.77,89.77,89.77,89.77,89.77,89.77,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,103.192,103.192,103.192
2004-07,109.24,110.15,110.15,110.15,110.05,110.05,109.62,109.62,109.62,109.62,109.73,109.73,109.73,109.73,109.73,109.73,109.73,109.73,109.73,109.73,109.73,109.73,110.15,110.15,110.15,110.15,110.15,110.15,110.15,110.15,110.15,110.15,110.15,110.15,125.070,125.070,125.070
2004-10,85.69,87.59,87.59,87.59,86.53,86.53,86.85,86.85,86.85,86.85,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,87.25,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,97.949,97.949,97.949
2005-01,91.65,91.33,91.00,90.58,89.16,89.16,88.25,88.25,88.25,88.25,87.94,87.94,87.94,87.94,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,92.04,100.766,100.766,100.766
2005-04,,97.59,97.09,95.91,96.11,96.11,95.85,95.85,95.85,95.85,94.53,94.53,94.53,94.53,93.46,93.46,93.46,93.46,93.46,93.46,93.46,93.46,91.19,91.19,91.19,91.19,91.19,91.19,91.19,91.19,91.19,91.19,91.19,91.19,106.005,106.005,106.005
2005-07,,,110.53,109.32,108.81,108.81,108.43,108.43,108.43,108.43,106.71,106.71,106.71,106.71,106.88,106.88,106.88,106.88,106.88,106.88,106.88,106.88,106.45,106.45,106.45,106.45,106.45,106.45,106.45,106.45,106.45,106.45,106.45,106.45,121.553,121.553,121.553
2005-10,,,,90.71,90.21,90.21,90.83,90.83,90.83,90.83,89.86,89.86,89.86,89.86,90.40,90.40,90.40,90.40,90.40,90.40,90.40,90.40,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,94.45,102.626,102.626,102.626
2006-01,,,,,99.25,100.58,100.60,100.60,100.60,100.60,100.67,100.67,100.67,100.67,100.79,100.79,100.79,100.79,100.89,100.89,100.89,100.89,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,116.267,116.267,116.267
2006-04,,,,,103.52,102.95,103.05,103.05,103.05,103.05,103.14,103.14,103.14,103.14,102.32,102.32,102.32,102.32,102.22,102.22,102.22,102.22,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,114.972,114.972,114.972
2006-07,,,,,119.51,119.34,121.05,121.05,121.05,121.05,118.54,118.54,118.54,118.54,118.58,118.58,118.58,118.58,119.09,119.09,119.09,119.09,119.30,119.30,119.30,119.30,119.30,119.30,119.30,119.30,119.30,119.30,119.30,119.30,135.017,135.017,135.017
2006-10,,,,,86.93,87.60,87.74,87.74,87.74,87.74,87.06,87.06,87.06,87.06,88.43,88.43,88.43,88.43,88.25,88.25,88.25,88.25,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42,94.42,104.334,104.334,104.334
2007-01,,,,,,113.04,112.69,113.33,113.30,113.36,111.92,111.92,111.92,111.92,113.26,113.26,113.26,113.26,113.71,113.71,113.71,113.71,123.02,123.02,123.02,123.02,123.02,123.02,123.02,123.02,123.02,123.02,123.02,123.02,133.068,133.068,133.068
2007-04,,,,,,,108.42,106.55,106.31,106.38,107.39,107.39,107.39,107.39,106.94,106.94,106.94,106.94,107.05,107.05,107.05,107.05,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,123.048,123.048,123.048
2007-07,,,,,,,,126.89,125.70,125.79,124.28,124.28,124.28,124.28,125.38,125.38,125.38,125.38,126.11,126.11,126.11,126.11,128.84,128.84,128.84,128.84,128.84,128.84,128.84,128.84,128.84,128.84,128.84,128.84,145.693,145.693,145.693
2007-10,,,,,,,,,97.20,98.43,98.98,98.98,98.98,98.98,99.96,99.96,99.96,99.96,98.91,98.91,98.91,98.91,107.70,107.70,107.70,107.70,107.70,107.70,107.70,107.70,107.70,107.70,107.70,107.70,117.574,117.574,117.574
2008-01,,,,,,,,,,116.95,116.79,115.99,116.19,116.43,116.51,116.51,116.51,116.51,115.58,115.58,115.58,115.58,123.55,123.55,123.55,123.55,123.37,123.37,123.37,123.37,123.37,123.37,123.37,123.37,136.174,136.174,136.174
2008-04,,,,,,,,,,,120.23,117.86,118.48,117.46,115.83,115.83,115.83,115.83,112.74,112.74,112.74,112.74,112.90,112.90,112.90,112.90,112.54,112.54,112.54,112.54,112.54,112.54,112.54,112.54,128.172,128.172,128.172
2008-07,,,,,,,,,,,,136.60,135.95,135.28,136.00,136.00,136.00,136.00,131.06,131.06,131.06,131.06,134.47,134.47,134.47,134.47,132.55,132.55,132.55,132.55,132.55,132.55,132.55,132.55,152.005,152.005,152.005
2008-10,,,,,,,,,,,,,110.02,111.51,110.29,110.29,110.29,110.29,99.55,99.55,99.55,99.55,108.40,108.40,108.40,108.40,107.97,107.97,107.97,107.97,107.97,107.97,107.97,107.97,116.948,116.948,116.948
2009-01,,,,,,,,,,,,,,109.21,107.69,106.28,106.53,105.30,102.42,102.42,102.42,102.42,106.68,106.68,106.68,106.68,106.13,106.13,106.13,106.13,106.05,106.05,106.05,106.05,117.798,117.798,117.798
2009-04,,,,,,,,,,,,,,,96.50,94.25,93.59,94.04,91.21,91.21,91.21,91.21,85.35,85.35,85.35,85.35,84.96,84.96,84.96,84.96,84.61,84.61,84.61,84.61,100.511,100.511,100.511
2009-07,,,,,,,,,,,,,,,,121.79,120.75,121.52,117.93,117.93,117.93,117.93,110.18,110.18,110.18,110.18,110.16,110.16,110.16,110.16,109.82,109.82,109.82,109.82,127.520,127.520,127.520
2009-10,,,,,,,,,,,,,,,,,88.59,90.76,83.86,83.86,83.86,83.86,90.54,90.54,90.54,90.54,89.47,89.47,89.47,89.47,89.14,89.14,89.14,89.14,99.802,99.802,99.802
2010-01,,,,,,,,,,,,,,,,,,107.29,102.25,101.58,101.44,102.30,105.18,105.18,105.18,105.18,105.90,105.90,105.90,105.90,104.92,104.92,104.92,104.92,121.057,121.057,121.057
2010-04,,,,,,,,,,,,,,,,,,,107.40,112.45,112.36,111.06,102.57,102.57,102.57,102.57,105.36,105.36,105.36,105.36,103.64,103.64,103.64,103.64,121.616,121.616,121.616
2010-07,,,,,,,,,,,,,,,,,,,,129.53,127.73,127.71,119.23,119.23,119.23,119.23,121.83,121.83,121.83,121.83,121.43,121.43,121.43,121.43,143.222,143.222,143.222
2010-10,,,,,,,,,,,,,,,,,,,,,95.66,96.30,102.58,102.58,102.58,102.58,103.45,103.45,103.45,103.45,102.54,102.54,102.54,102.54,117.165,117.165,117.165
2011-01,,,,,,,,,,,,,,,,,,,,,,117.09,119.04,118.50,118.49,118.71,118.92,118.92,118.92,118.92,120.86,120.86,120.86,120.86,142.763,142.763,142.763
2011-04,,,,,,,,,,,,,,,,,,,,,,,111.94,108.55,108.69,111.08,114.37,114.37,114.37,114.37,113.43,113.43,113.43,113.43,134.770,134.770,134.770
2011-07,,,,,,,,,,,,,,,,,,,,,,,,128.05,126.24,128.23,130.22,130.22,130.22,130.22,131.36,131.36,131.36,131.36,155.025,155.025,155.025
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,108.62,110.64,110.00,110.00,110.00,110.00,110.67,110.67,110.67,110.67,123.570,123.570,123.570
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,118.95,121.15,121.69,120.88,120.84,122.52,122.52,122.52,122.52,141.263,141.263,141.263
2012-04,,,,,,,,,,,,,,,,,,,,,,,,,,,106.62,107.65,106.97,107.13,106.62,106.62,106.62,106.62,123.385,123.385,123.385
2012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.14,124.13,124.36,126.32,126.32,126.32,126.32,145.026,145.026,145.026
2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.27,103.69,104.81,104.81,104.81,104.81,117.713,117.713,117.713
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.66,117.53,117.92,117.93,119.21,134.984,134.984,134.984
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.30,107.69,107.92,107.72,126.218,126.218,126.218
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.41,129.79,130.26,150.955,150.955,150.955
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.86,108.12,121.354,121.354,121.354
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.27,147.231,148.048,147.739
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.625,130.370,131.175
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.642,148.769
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.498
