"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
1992-07,183.3,183.3,183.3,184.0,184.4,184.1,183.7,183.7,183.8,183.8,183.7,183.6,183.8,183.7,183.7,193.9,99.1,99.1,99.2,99.2,99.28,99.29,,,,,,99.36,99.36,99.27,99.27,99.27,99.26,99.27,99.27,99.27,99.21,99.29,99.29,99.26,99.71,99.48,99.48,99.48,99.48,99.60,99.60,99.60,99.60,99.64,99.64,99.64,99.64,99.80,99.80,99.80,99.80,99.76,99.76,99.76,99.76,99.75,99.75,99.75,99.75,99.62,99.62,99.62,99.62,99.57,99.57,99.57,99.57,99.56,99.56,99.56,99.56,95.260,95.260,95.260
1992-10,176.4,176.4,176.4,175.8,176.6,176.4,177.7,177.7,177.7,177.6,177.9,177.8,177.6,177.8,177.8,187.8,96.0,96.1,96.0,96.0,95.85,95.96,,,,,,95.93,95.93,95.73,95.73,95.73,95.74,95.77,95.77,95.77,95.84,95.86,95.86,95.86,95.74,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.86,95.74,95.74,95.74,95.74,95.59,95.59,95.59,95.59,95.58,95.58,95.58,95.58,95.59,95.59,95.59,95.63,95.32,95.32,95.32,95.32,95.46,95.46,95.46,95.46,95.36,95.36,95.36,95.36,91.261,91.261,91.261
1993-01,174.1,174.1,174.1,174.4,174.7,174.2,174.7,174.7,173.7,173.9,173.7,173.8,173.8,173.8,173.8,182.7,93.4,93.5,93.4,93.4,93.57,93.53,,,,,,93.65,93.65,93.67,93.67,93.67,93.69,93.61,93.61,93.61,93.59,93.62,93.62,93.64,93.77,93.81,93.81,93.81,93.81,93.95,93.95,93.95,93.95,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.98,93.98,93.98,93.98,94.00,94.00,94.00,93.98,92.99,92.99,92.99,92.99,92.95,92.95,92.95,92.95,92.94,92.94,92.94,92.94,89.279,89.279,89.279
1993-04,169.8,169.8,169.8,169.7,170.2,171.0,170.2,170.2,171.1,171.0,171.1,171.1,171.1,171.0,171.0,182.5,93.3,93.3,93.2,93.3,92.81,92.82,92.82,,,,,92.72,92.72,92.80,92.80,92.80,92.80,92.72,92.72,92.72,92.73,92.55,92.55,92.56,93.04,93.13,93.13,93.13,93.13,92.91,92.91,92.91,92.91,92.96,92.96,92.96,92.96,92.99,92.99,92.99,92.99,93.06,93.06,93.06,93.06,93.01,93.01,93.01,93.00,91.98,91.98,91.98,91.98,91.94,91.94,91.94,91.94,91.99,91.99,91.99,91.99,87.855,87.855,87.855
1993-07,172.3,172.3,172.3,172.8,172.8,172.6,172.3,172.3,172.6,172.4,172.2,172.2,172.5,172.4,172.2,182.2,93.1,93.1,93.3,93.1,93.43,93.46,93.48,,,,,93.52,93.52,93.45,93.45,93.45,93.42,93.46,93.46,93.46,93.40,93.53,93.53,93.51,93.89,93.67,93.67,93.67,93.67,93.75,93.75,93.75,93.75,93.82,93.82,93.82,93.82,93.92,93.92,93.92,93.92,93.90,93.90,93.90,93.90,93.85,93.85,93.85,93.86,92.74,92.74,92.74,92.74,92.72,92.72,92.72,92.72,92.72,92.72,92.72,92.72,87.925,87.925,87.925
1993-10,175.3,175.3,175.3,174.5,175.9,175.8,177.1,177.1,177.2,177.2,177.5,177.4,177.1,177.4,177.5,186.7,95.5,95.5,95.4,95.4,95.38,95.48,95.47,,,,,95.50,95.50,95.26,95.26,95.26,95.27,95.31,95.31,95.31,95.37,95.32,95.32,95.33,95.55,95.66,95.66,95.66,95.66,95.73,95.73,95.73,95.73,95.57,95.57,95.57,95.57,95.39,95.39,95.39,95.39,95.38,95.38,95.38,95.38,95.43,95.43,95.43,95.46,94.30,94.30,94.30,94.30,94.39,94.39,94.39,94.39,94.30,94.30,94.30,94.30,89.726,89.726,89.726
1994-01,179.4,179.4,179.4,180.3,180.9,180.6,180.6,180.6,180.1,180.3,180.1,180.3,180.4,180.3,180.3,191.2,97.8,97.9,97.8,97.8,97.76,97.69,97.67,,,,,97.86,97.86,97.96,97.96,97.96,97.98,97.92,97.92,97.92,97.91,97.91,97.91,97.92,98.52,98.55,98.55,98.55,98.55,98.64,98.64,98.64,98.64,98.75,98.75,98.75,98.75,98.79,98.79,98.79,98.79,98.78,98.78,98.78,98.78,98.75,98.75,98.75,98.73,97.71,97.71,97.71,97.71,97.68,97.68,97.68,97.68,97.65,97.65,97.65,97.65,92.821,92.821,92.821
1994-04,189.4,189.4,189.4,189.2,189.8,190.2,189.9,189.9,190.6,190.7,190.7,190.7,190.7,190.6,190.6,202.1,103.4,103.3,103.4,103.5,102.92,102.94,102.94,102.97,,,,102.90,102.90,102.92,102.92,102.92,102.93,102.85,102.85,102.85,102.84,102.75,102.75,102.75,103.36,103.44,103.44,103.44,103.44,103.24,103.24,103.24,103.24,103.28,103.28,103.28,103.28,103.31,103.31,103.31,103.31,103.39,103.39,103.39,103.39,103.31,103.31,103.31,103.30,102.38,102.38,102.38,102.38,102.34,102.34,102.34,102.34,102.38,102.38,102.38,102.38,97.694,97.694,97.694
1994-07,189.3,189.3,189.3,189.7,191.3,191.2,190.9,190.9,190.8,190.5,190.2,190.2,190.5,190.4,190.0,200.7,102.6,102.5,102.6,102.4,102.76,102.82,102.87,102.82,,,,102.82,102.82,102.83,102.83,102.83,102.79,102.78,102.78,102.78,102.73,102.89,102.89,102.87,103.47,103.28,103.28,103.28,103.28,103.37,103.37,103.37,103.37,103.45,103.45,103.45,103.45,103.51,103.51,103.51,103.51,103.48,103.48,103.48,103.48,103.42,103.42,103.42,103.44,102.21,102.21,102.21,102.21,102.19,102.19,102.19,102.19,102.19,102.19,102.19,102.19,96.957,96.957,96.957
1994-10,192.7,192.7,192.7,191.7,194.7,194.7,193.6,193.6,192.5,192.6,193.0,192.9,192.5,192.9,193.2,203.9,104.3,104.3,104.2,104.2,104.43,104.56,104.53,104.53,104.53,,,104.49,104.49,104.28,104.28,104.28,104.29,104.33,104.33,104.33,104.37,104.24,104.24,104.24,104.83,104.90,104.90,104.90,104.90,105.00,105.00,105.00,105.00,104.79,104.79,104.79,104.79,104.61,104.61,104.61,104.61,104.60,104.60,104.60,104.60,104.75,104.75,104.75,104.77,103.68,103.68,103.68,103.68,103.80,103.80,103.80,103.80,103.73,103.73,103.73,103.73,98.440,98.440,98.440
1995-01,191.6,191.6,191.5,192.9,198.8,198.6,198.3,198.3,200.0,200.3,200.7,201.0,201.3,201.2,201.1,211.4,108.2,108.4,108.3,108.3,107.98,107.92,107.88,107.92,107.92,,,108.16,108.16,108.30,108.30,108.30,108.31,108.27,108.27,108.27,108.26,108.28,108.28,108.28,108.90,108.91,108.91,108.91,108.91,109.01,109.01,109.01,109.01,109.12,109.12,109.12,109.12,109.22,109.22,109.22,109.22,109.16,109.16,109.16,109.16,109.11,109.11,109.11,109.08,108.05,108.05,108.05,108.05,108.00,108.00,108.00,108.00,107.95,107.95,107.95,107.95,102.920,102.920,102.920
1995-04,198.7,198.7,198.4,197.9,204.1,204.0,204.2,204.2,206.0,206.1,206.7,206.7,206.8,206.5,206.5,217.0,111.0,110.5,110.7,110.8,110.41,110.42,110.44,110.48,110.48,,,110.38,110.38,110.26,110.26,110.26,110.27,110.22,110.22,110.22,110.20,110.15,110.15,110.15,110.20,110.23,110.23,110.23,110.23,110.10,110.10,110.10,110.10,110.18,110.18,110.18,110.18,110.20,110.20,110.20,110.20,110.29,110.29,110.29,110.29,110.20,110.20,110.20,110.19,109.33,109.33,109.33,109.33,109.31,109.31,109.31,109.31,109.39,109.39,109.39,109.39,104.002,104.002,104.002
1995-07,,197.7,199.7,199.9,206.6,206.8,206.7,206.7,205.5,205.0,205.4,205.4,205.6,205.6,205.0,215.7,110.2,110.1,110.1,109.9,110.39,110.46,110.54,110.46,110.46,,,110.32,110.32,110.38,110.38,110.38,110.33,110.28,110.28,110.28,110.23,110.43,110.43,110.41,110.75,110.72,110.72,110.72,110.72,110.81,110.81,110.81,110.81,110.91,110.91,110.91,110.91,110.93,110.93,110.93,110.93,110.91,110.91,110.91,110.91,110.85,110.85,110.85,110.86,109.84,109.84,109.84,109.84,109.81,109.81,109.81,109.81,109.84,109.84,109.84,109.84,104.532,104.532,104.532
1995-10,,,206.5,205.4,208.1,208.2,207.0,207.0,205.6,205.7,207.0,206.8,206.5,206.9,207.6,218.8,111.8,111.8,111.8,111.8,112.32,112.45,112.39,112.38,112.38,,,112.32,112.32,112.06,112.06,112.06,112.09,112.11,112.11,112.11,112.17,111.91,111.91,111.92,112.88,112.87,112.87,112.87,112.87,113.00,113.00,113.00,113.00,112.70,112.70,112.70,112.70,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.75,112.75,112.75,112.77,111.81,111.81,111.81,111.81,111.95,111.95,111.95,111.95,111.85,111.85,111.85,111.85,106.567,106.567,106.567
1996-01,,,,202.3,208.1,208.8,208.6,208.6,208.5,209.0,211.2,211.5,211.9,211.7,211.7,221.8,113.5,113.8,113.8,113.7,113.40,113.13,113.04,113.07,113.07,113.23,,113.23,113.23,113.31,113.31,113.31,113.33,113.28,113.28,113.28,113.27,113.28,113.28,113.28,114.19,114.15,114.15,114.15,114.15,114.18,114.18,114.18,114.18,114.34,114.34,114.34,114.34,114.43,114.43,114.43,114.43,114.39,114.39,114.39,114.39,114.33,114.33,114.33,114.31,113.75,113.75,113.75,113.75,113.70,113.70,113.70,113.70,113.71,113.71,113.71,113.71,107.619,107.619,107.619
1996-04,,,,,210.3,209.3,210.0,210.0,210.6,210.6,212.6,212.6,212.7,212.4,212.4,224.1,114.6,114.2,114.5,114.6,114.36,114.07,114.17,114.25,114.25,114.19,,114.19,114.19,114.04,114.04,114.04,114.05,114.02,114.02,114.02,113.98,113.97,113.97,113.98,114.62,114.60,114.60,114.60,114.60,114.55,114.55,114.55,114.55,114.61,114.61,114.61,114.61,114.67,114.67,114.67,114.67,114.76,114.76,114.76,114.76,114.66,114.66,114.66,114.67,113.94,113.94,113.94,113.94,113.92,113.92,113.92,113.92,114.00,114.00,114.00,114.00,108.183,108.183,108.183
1996-07,,,,,,216.3,215.6,215.6,216.3,215.6,218.3,218.2,217.7,217.7,216.9,228.8,116.8,116.3,115.9,115.9,115.86,115.79,115.86,115.78,115.78,115.71,115.71,115.72,115.72,115.97,115.97,115.97,115.92,115.81,115.81,115.81,115.75,116.00,116.00,115.98,116.63,116.74,116.74,116.74,116.74,116.71,116.71,116.71,116.71,116.79,116.79,116.79,116.79,116.79,116.79,116.79,116.79,116.75,116.75,116.75,116.75,116.68,116.68,116.68,116.70,116.41,116.41,116.41,116.41,116.33,116.33,116.33,116.33,116.33,116.33,116.33,116.33,110.476,110.476,110.476
1996-10,,,,,,,226.6,226.6,222.0,222.1,224.1,223.8,224.1,224.6,225.5,237.7,121.5,121.2,121.3,121.2,122.22,122.16,122.07,122.05,122.05,121.84,121.84,121.85,121.85,121.50,121.50,121.50,121.53,121.54,121.54,121.54,121.64,121.28,121.28,121.29,122.39,122.31,122.31,122.31,122.31,122.48,122.48,122.48,122.48,122.17,122.17,122.17,122.17,122.02,122.02,122.02,122.02,122.02,122.02,122.02,122.02,122.31,122.31,122.31,122.32,121.87,121.87,121.87,121.87,122.05,122.05,122.05,122.05,121.98,121.98,121.98,121.98,115.834,115.834,115.834
1997-01,,,,,,,,232.5,227.2,228.1,227.9,228.4,229.9,229.7,229.6,241.7,123.8,123.8,123.9,123.8,124.04,124.11,123.97,123.97,123.97,123.90,123.90,123.90,123.90,123.75,123.75,123.75,123.77,123.64,123.64,123.64,123.60,123.62,123.62,123.62,124.18,124.11,124.11,124.11,124.11,124.24,124.24,124.24,124.24,124.37,124.37,124.37,124.37,124.50,124.50,124.50,124.50,124.54,124.54,124.54,124.54,124.53,124.53,124.53,124.50,124.07,124.07,124.07,124.07,124.01,124.01,124.01,124.01,124.18,124.18,124.18,124.18,117.980,117.980,117.980
1997-04,,,,,,,,,237.0,237.7,237.6,237.6,238.9,238.5,238.4,251.4,128.6,127.9,128.4,128.4,127.64,127.34,127.55,127.70,127.70,128.10,128.10,128.10,128.10,127.99,127.99,127.99,127.99,128.09,128.09,128.09,128.01,128.02,128.02,128.03,129.31,129.24,129.24,129.24,129.24,129.25,129.25,129.25,129.25,129.32,129.32,129.32,129.32,129.43,129.43,129.43,129.43,129.44,129.44,129.44,129.44,129.31,129.31,129.31,129.30,128.70,128.70,128.70,128.70,128.72,128.72,128.72,128.72,128.70,128.70,128.70,128.70,122.288,122.288,122.288
1997-07,,,,,,,,,,247.8,249.9,249.8,252.0,252.0,250.9,265.4,135.5,135.1,134.2,134.6,134.15,134.19,134.22,134.23,134.23,134.27,134.27,134.26,134.26,134.67,134.67,134.67,134.61,134.49,134.49,134.49,134.42,134.72,134.72,134.69,135.25,135.45,135.45,135.45,135.45,135.34,135.34,135.34,135.34,135.51,135.51,135.51,135.51,135.46,135.46,135.46,135.46,135.44,135.44,135.44,135.44,135.36,135.36,135.36,135.37,134.94,134.94,134.94,134.94,134.79,134.79,134.79,134.79,134.75,134.75,134.75,134.75,129.251,129.251,129.251
1997-10,,,,,,,,,,,254.1,253.7,252.6,253.3,254.4,267.6,136.7,136.6,136.8,136.6,138.00,138.32,138.21,138.05,138.05,137.92,137.92,137.93,137.93,137.68,137.68,137.68,137.71,137.63,137.63,137.63,137.81,137.38,137.38,137.40,138.86,138.79,138.79,138.79,138.79,138.83,138.83,138.83,138.83,138.42,138.42,138.42,138.42,138.23,138.23,138.23,138.23,138.24,138.24,138.24,138.24,138.53,138.53,138.53,138.57,137.81,137.81,137.81,137.81,138.07,138.07,138.07,138.07,138.00,138.00,138.00,138.00,131.475,131.475,131.475
1998-01,,,,,,,,,,,,257.4,253.9,253.7,254.5,270.3,138.5,139.2,139.5,139.3,138.90,139.58,139.42,139.38,139.38,139.78,139.78,139.76,139.76,139.70,139.70,139.70,139.73,139.58,139.58,139.58,139.54,139.50,139.50,139.48,139.94,139.82,139.82,139.82,139.82,139.95,139.95,139.95,139.95,140.09,140.09,140.09,140.09,140.18,140.18,140.18,140.18,140.16,140.16,140.16,140.16,140.12,140.12,140.12,140.10,139.57,139.57,139.57,139.57,139.46,139.46,139.46,139.46,139.58,139.58,139.58,139.58,133.678,133.678,133.678
1998-04,,,,,,,,,,,,,260.3,259.9,258.8,276.0,141.1,141.0,141.7,141.6,141.45,141.12,141.49,141.67,141.67,142.06,142.06,142.05,142.05,141.93,141.93,141.93,141.90,142.11,142.11,142.11,142.01,142.01,142.01,142.02,142.93,142.81,142.81,142.81,142.81,142.80,142.80,142.80,142.80,142.95,142.95,142.95,142.95,143.03,143.03,143.03,143.03,143.11,143.11,143.11,143.11,143.04,143.04,143.04,143.03,142.11,142.11,142.11,142.11,142.06,142.06,142.06,142.06,142.11,142.11,142.11,142.11,135.354,135.354,135.354
1998-07,,,,,,,,,,,,,,259.9,259.4,274.9,140.3,141.1,139.7,140.3,139.73,139.51,139.40,139.61,139.61,139.78,139.78,139.78,139.78,140.28,140.28,140.28,140.23,140.05,140.05,140.05,139.99,140.29,140.29,140.26,140.75,140.98,140.98,140.98,140.98,140.85,140.85,140.85,140.85,140.96,140.96,140.96,140.96,140.92,140.92,140.92,140.92,140.88,140.88,140.88,140.88,140.82,140.82,140.82,140.84,140.05,140.05,140.05,140.05,139.88,139.88,139.88,139.88,139.82,139.82,139.82,139.82,133.346,133.346,133.346
1998-10,,,,,,,,,,,,,,,252.2,265.6,135.7,135.8,136.1,135.8,136.98,137.00,136.90,136.55,136.55,136.76,136.76,136.75,136.75,136.91,136.91,136.91,136.96,136.89,136.89,136.89,137.10,136.72,136.72,136.75,138.39,138.38,138.38,138.38,138.38,138.52,138.52,138.52,138.52,138.09,138.09,138.09,138.09,137.90,137.90,137.90,137.90,137.87,137.87,137.87,137.87,138.05,138.05,138.05,138.05,137.28,137.28,137.28,137.28,137.61,137.61,137.61,137.61,137.48,137.48,137.48,137.48,130.338,130.338,130.338
1999-01,,,,,,,,,,,,,,,,,135.5,136.4,136.7,137.5,136.59,137.16,137.02,136.96,136.96,137.81,137.81,137.80,137.80,137.66,137.66,137.66,137.69,137.37,137.37,137.37,137.29,137.17,137.17,137.14,137.26,137.12,137.12,137.12,137.12,137.16,137.16,137.16,137.16,137.30,137.30,137.30,137.30,137.35,137.35,137.35,137.35,137.34,137.34,137.34,137.34,137.31,137.31,137.31,137.31,136.45,136.45,136.45,136.45,136.30,136.30,136.30,136.30,136.40,136.40,136.40,136.40,130.816,130.816,130.816
1999-04,,,,,,,,,,,,,,,,,,140.4,141.2,142.2,141.54,142.10,142.62,142.83,142.83,143.53,143.53,143.52,143.52,143.55,143.55,143.55,143.49,143.80,143.80,143.80,143.66,143.66,143.66,143.66,145.62,145.50,145.50,145.50,145.50,145.52,145.52,145.52,145.52,145.85,145.85,145.85,145.85,145.96,145.96,145.96,145.96,145.99,145.99,145.99,145.99,145.96,145.96,145.96,145.96,145.39,145.39,145.39,145.39,145.29,145.29,145.29,145.29,145.27,145.27,145.27,145.27,137.670,137.670,137.670
1999-07,,,,,,,,,,,,,,,,,,,145.2,147.0,146.50,147.84,147.52,148.06,148.06,148.38,148.38,148.36,148.36,148.80,148.80,148.80,148.77,148.30,148.30,148.30,148.26,148.60,148.60,148.57,150.15,150.44,150.44,150.44,150.44,150.22,150.22,150.22,150.22,150.36,150.36,150.36,150.36,150.28,150.28,150.28,150.28,150.30,150.30,150.30,150.30,150.25,150.25,150.25,150.26,149.52,149.52,149.52,149.52,149.28,149.28,149.28,149.28,149.22,149.22,149.22,149.22,141.506,141.506,141.506
1999-10,,,,,,,,,,,,,,,,,,,,149.1,150.44,152.79,152.72,152.04,152.04,153.30,153.30,153.31,153.31,153.18,153.18,153.18,153.25,152.98,152.98,152.98,153.26,152.94,152.94,153.01,155.09,155.07,155.07,155.07,155.07,155.54,155.54,155.54,155.54,154.93,154.93,154.93,154.93,154.72,154.72,154.72,154.72,154.71,154.71,154.71,154.71,154.78,154.78,154.78,154.79,153.65,153.65,153.65,153.65,154.19,154.19,154.19,154.19,154.05,154.05,154.05,154.05,145.313,145.313,145.313
2000-01,,,,,,,,,,,,,,,,,,,,,157.46,160.18,160.02,159.96,159.96,161.47,161.47,161.47,161.47,161.34,161.34,161.34,161.34,161.01,161.01,161.01,160.85,162.02,162.02,161.98,162.34,162.16,162.16,162.16,162.16,162.20,162.20,162.20,162.20,162.33,162.33,162.33,162.33,162.34,162.34,162.34,162.34,162.27,162.27,162.27,162.27,162.21,162.21,162.21,162.22,160.97,160.97,160.97,160.97,160.76,160.76,160.76,160.76,160.73,160.73,160.73,160.73,153.779,153.779,153.779
2000-04,,,,,,,,,,,,,,,,,,,,,,165.85,165.51,165.83,165.83,166.79,166.79,166.80,166.80,167.47,167.47,167.47,167.39,168.33,168.33,168.33,168.14,166.79,166.79,166.73,167.76,167.61,167.61,167.61,167.61,167.57,167.57,167.57,167.57,168.14,168.14,168.14,168.14,168.32,168.32,168.32,168.32,168.34,168.34,168.34,168.34,168.38,168.38,168.38,168.37,167.07,167.07,167.07,167.07,166.91,166.91,166.91,166.91,166.94,166.94,166.94,166.94,160.034,160.034,160.034
2000-07,,,,,,,,,,,,,,,,,,,,,,,170.89,171.64,171.64,173.60,173.60,173.61,173.61,173.12,173.12,173.12,173.11,172.65,172.65,172.65,172.63,172.00,172.00,172.00,172.63,173.08,173.08,173.08,173.08,172.71,172.71,172.71,172.71,172.77,172.77,172.77,172.77,172.76,172.76,172.76,172.76,172.80,172.80,172.80,172.80,172.82,172.82,172.82,172.82,172.00,172.00,172.00,172.00,171.67,171.67,171.67,171.67,171.71,171.71,171.71,171.71,164.310,164.310,164.310
