"",1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
2003-04,,,,,,,,,,,,,,,,,,,6.14,6.13,6.14,6.14,6.10,6.10,6.10,6.12,6.09,6.09,6.09,6.09,6.04,6.04,6.04,6.04,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.08,6.08,6.08,6.08,6.08,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,17.817,17.817,17.817
2003-07,,,,,,,,,,,,,,,,,,,,6.17,6.17,6.17,6.14,6.14,6.15,6.14,6.12,6.12,6.12,6.12,6.06,6.06,6.06,6.06,6.07,6.07,6.07,6.07,6.08,6.08,6.08,6.08,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,17.866,17.866,17.866
2003-10,,,,,,,,,,,,,,,,,,,,,6.21,6.21,6.18,6.18,6.19,6.19,6.15,6.15,6.15,6.15,6.12,6.12,6.12,6.12,6.11,6.11,6.11,6.11,6.10,6.10,6.10,6.10,6.09,6.09,6.09,6.08,6.09,6.09,6.09,6.09,5.72,5.72,5.72,5.72,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,17.847,17.847,17.847
2004-01,,,,,,,,,,,,,,,,,,,,,,6.17,6.11,6.11,6.09,6.13,6.15,6.15,6.15,6.15,6.14,6.14,6.14,6.14,6.15,6.15,6.15,6.15,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.18,6.17,6.17,6.17,6.17,5.81,5.81,5.81,5.81,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,18.214,18.214,18.214
2004-04,,,,,,,,,,,,,,,,,,,,,,,6.14,6.14,6.13,6.16,6.20,6.20,6.20,6.20,6.14,6.14,6.14,6.14,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.21,6.21,6.21,6.21,6.20,5.88,5.88,5.88,5.88,5.89,5.89,5.89,5.89,5.89,5.89,5.89,5.89,18.286,18.286,18.286
2004-07,,,,,,,,,,,,,,,,,,,,,,,,6.18,6.18,6.21,6.25,6.25,6.25,6.25,6.17,6.17,6.17,6.17,6.21,6.21,6.21,6.21,6.22,6.22,6.22,6.22,6.21,6.21,6.21,6.21,6.22,6.22,6.22,6.22,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,18.397,18.397,18.397
2004-10,,,,,,,,,,,,,,,,,,,,,,,,,6.23,6.24,6.28,6.28,6.28,6.28,6.23,6.23,6.23,6.23,6.22,6.22,6.22,6.22,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.18,6.19,6.19,6.19,6.19,5.86,5.86,5.86,5.86,5.87,5.87,5.87,5.87,5.86,5.86,5.86,5.86,18.241,18.241,18.241
2005-01,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,6.26,6.26,6.25,6.25,6.21,6.21,6.21,6.21,6.23,6.23,6.23,6.23,6.25,6.25,6.25,6.25,6.27,6.27,6.27,6.29,6.28,6.28,6.28,6.28,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.00,6.00,6.00,6.00,18.408,18.408,18.408
2005-04,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,6.28,6.28,6.28,6.27,6.27,6.27,6.27,6.32,6.32,6.32,6.32,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.34,6.33,6.33,6.33,6.33,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.09,6.09,6.09,6.09,18.485,18.485,18.485
2005-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,6.32,6.32,6.31,6.31,6.31,6.31,6.36,6.36,6.36,6.36,6.39,6.39,6.39,6.39,6.37,6.37,6.37,6.37,6.39,6.39,6.39,6.39,6.14,6.14,6.14,6.14,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,18.545,18.545,18.545
2005-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,6.38,6.40,6.40,6.40,6.40,6.41,6.41,6.41,6.41,6.42,6.42,6.42,6.42,6.43,6.43,6.43,6.39,6.39,6.39,6.39,6.40,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,18.527,18.527,18.527
2006-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34,6.34,6.34,6.38,6.38,6.41,6.41,6.41,6.41,6.45,6.45,6.45,6.45,6.51,6.51,6.51,6.55,6.54,6.54,6.54,6.54,6.32,6.32,6.32,6.32,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,19.135,19.135,19.135
2006-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,6.41,6.46,6.46,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.63,6.63,6.63,6.65,6.64,6.64,6.64,6.63,6.41,6.41,6.41,6.41,6.40,6.40,6.40,6.40,6.41,6.41,6.41,6.41,19.239,19.239,19.239
2006-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47,6.50,6.50,6.58,6.58,6.58,6.58,6.64,6.64,6.64,6.64,6.69,6.69,6.69,6.68,6.69,6.69,6.69,6.69,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.46,6.46,6.46,6.46,19.366,19.366,19.366
2006-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,6.61,6.69,6.69,6.69,6.69,6.73,6.73,6.73,6.73,6.78,6.78,6.78,6.73,6.72,6.72,6.72,6.73,6.55,6.55,6.55,6.55,6.57,6.57,6.57,6.57,6.55,6.55,6.55,6.55,19.616,19.616,19.616
2007-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,6.55,6.55,6.57,6.57,6.74,6.74,6.74,6.74,6.72,6.72,6.72,6.78,6.78,6.78,6.78,6.76,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.51,6.51,6.51,6.51,19.878,19.878,19.878
2007-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,6.67,6.73,6.73,6.89,6.89,6.89,6.89,6.83,6.83,6.83,6.85,6.84,6.84,6.84,6.83,6.62,6.62,6.62,6.62,6.60,6.60,6.60,6.60,6.62,6.62,6.62,6.62,20.101,20.101,20.101
2007-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,6.82,6.82,6.99,6.99,6.99,6.99,6.91,6.91,6.91,6.89,6.91,6.91,6.91,6.92,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.70,6.70,6.70,6.70,20.325,20.325,20.325
2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,6.98,7.10,7.10,7.10,7.10,7.03,7.03,7.03,6.97,7.03,7.03,7.03,7.05,6.88,6.88,6.88,6.88,6.90,6.90,6.90,6.90,6.88,6.88,6.88,6.88,20.510,20.510,20.510
2008-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,6.93,6.93,6.92,6.92,6.88,6.88,6.88,6.95,7.00,7.00,7.00,6.98,6.80,6.80,6.80,6.80,6.79,6.79,6.79,6.79,6.78,6.78,6.78,6.78,20.556,20.556,20.556
2008-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09,7.09,7.09,7.09,6.97,6.97,6.97,6.99,7.08,7.08,7.08,7.07,6.95,6.95,6.95,6.95,6.92,6.92,6.92,6.92,6.94,6.94,6.94,6.94,20.897,20.897,20.897
2008-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,7.20,7.17,7.00,7.00,7.00,6.98,7.12,7.12,7.12,7.13,7.03,7.03,7.03,7.03,7.04,7.04,7.04,7.04,7.05,7.05,7.05,7.05,20.988,20.988,20.988
2008-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,7.21,7.07,7.07,7.07,7.00,7.13,7.13,7.13,7.15,7.06,7.06,7.06,7.06,7.08,7.08,7.08,7.08,7.06,7.06,7.06,7.06,21.190,21.190,21.190
2009-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,6.75,6.75,6.73,6.81,6.98,6.98,6.98,6.96,6.71,6.71,6.71,6.71,6.69,6.69,6.69,6.69,6.68,6.68,6.68,6.68,20.851,20.851,20.851
2009-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,6.84,6.80,6.82,6.95,6.95,6.95,6.94,6.70,6.70,6.70,6.70,6.65,6.65,6.65,6.65,6.67,6.67,6.67,6.67,20.947,20.947,20.947
2009-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.90,6.83,6.80,6.97,6.97,6.97,6.98,6.77,6.77,6.77,6.77,6.72,6.72,6.72,6.72,6.73,6.73,6.73,6.73,21.204,21.204,21.204
2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,6.88,7.03,7.03,7.03,7.05,6.85,6.85,6.85,6.85,6.83,6.83,6.83,6.83,6.81,6.81,6.81,6.81,21.489,21.489,21.489
2010-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87,7.02,7.05,7.04,7.03,6.84,6.84,6.84,6.84,6.82,6.82,6.82,6.82,6.79,6.79,6.79,6.79,21.287,21.287,21.287
2010-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,7.06,7.07,7.05,6.88,6.88,6.88,6.88,6.85,6.85,6.85,6.85,6.82,6.82,6.82,6.82,21.340,21.340,21.340
2010-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09,7.08,7.10,6.96,6.96,6.96,6.96,6.94,6.94,6.94,6.94,6.88,6.88,6.88,6.88,21.614,21.614,21.614
2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,7.16,7.08,7.08,7.08,7.08,7.03,7.03,7.03,7.03,6.92,6.92,6.92,6.92,22.210,22.210,22.210
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17,7.04,7.04,7.03,7.03,7.03,7.03,7.03,7.03,7.09,7.09,7.09,7.09,22.942,22.942,22.942
2011-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,7.07,7.08,7.08,7.08,7.08,7.08,7.08,7.11,7.11,7.11,7.11,23.414,23.414,23.414
2011-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,7.15,7.15,7.15,7.15,7.15,7.15,7.17,7.17,7.17,7.17,23.602,23.602,23.602
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,7.34,7.28,7.28,7.28,7.28,7.26,7.26,7.26,7.26,23.687,23.687,23.687
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.21,7.20,7.20,7.21,7.21,7.24,7.24,7.24,7.24,23.537,23.537,23.537
2012-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,7.24,7.25,7.25,7.30,7.30,7.30,7.30,23.846,23.846,23.846
2012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,7.33,7.33,7.37,7.37,7.37,7.37,24.130,24.130,24.130
2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44,7.44,7.46,7.46,7.46,7.46,24.134,24.134,24.134
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,7.39,7.38,7.39,7.39,24.492,24.492,24.492
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,7.45,7.46,7.46,24.602,24.602,24.602
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52,7.52,7.52,24.778,24.778,24.778
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.61,24.940,24.940,24.940
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,25.395,25.218,25.223
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.532,25.422,25.427
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.586,25.588
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.836
