"",2013-03-08,2013-04-08,2013-05-08,2013-06-07,2013-07-08,2013-08-07,2013-09-06,2013-10-09,2013-11-07,2013-12-09,2014-01-09,2014-02-07,2014-03-07,2014-04-07,2014-05-08,2014-06-06,2014-07-07,2014-08-07,2014-09-05,2014-10-07,2014-11-07,2014-12-08,2015-01-09,2015-02-06
2010-10,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
2010-11,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2
2010-12,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6
2011-01,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
2011-02,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,75.9,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
2011-03,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3
2011-04,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.7,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8,88.8
2011-05,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9,106.9
2011-06,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-07,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3
2011-08,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3
2011-09,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.9,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8
2011-10,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.8,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7,109.7
2011-11,123.7,123.7,123.7,123.7,123.7,123.7,123.7,123.7,123.7,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6,123.6
2011-12,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7,149.7
2012-01,65.8,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5
2012-02,78.5,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1
2012-03,101.0,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5,102.5
2012-04,90.8,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3
2012-05,94.2,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2
2012-06,104.6,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9
2012-07,107.2,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7,106.7
2012-08,105.1,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5
2012-09,99.6,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5
2012-10,115.6,113.1,113.1,113.1,113.1,113.1,113.1,113.1,113.1,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
2012-11,117.6,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.9,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8,114.8
2012-12,131.3,128.5,128.5,128.5,128.5,128.5,128.5,128.5,128.5,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4,128.4
2013-01,75.2,70.8,70.8,70.8,66.7,66.7,66.7,66.7,66.7,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4
2013-02,,74.4,76.4,76.4,73.5,73.5,73.5,73.5,73.5,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3
2013-03,,,89.0,88.1,84.0,84.0,84.0,84.0,84.0,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9
2013-04,,,,91.7,91.0,91.0,90.6,90.6,90.6,91.5,91.5,91.5,91.5,91.5,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
2013-05,,,,,88.3,89.8,89.8,89.8,89.8,90.7,90.7,90.7,90.7,90.7,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2
2013-06,,,,,,95.1,95.6,95.6,95.6,96.5,96.5,96.5,96.5,96.5,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4,97.4
2013-07,,,,,,,108.5,108.8,108.4,108.6,107.5,107.5,107.5,107.5,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2
2013-08,,,,,,,,97.2,100.0,100.2,99.1,99.1,99.1,99.1,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6
2013-09,,,,,,,,,100.6,103.4,102.3,102.3,102.3,102.3,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2,102.2
2013-10,,,,,,,,,,113.1,111.4,111.4,111.4,111.4,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8,110.8
2013-11,,,,,,,,,,,107.7,110.8,110.8,110.8,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7,110.7
2013-12,,,,,,,,,,,,127.8,131.4,131.4,132.8,132.8,132.8,132.8,132.8,132.8,132.8,132.8,132.8,132.8
2014-01,,,,,,,,,,,,,69.0,68.3,67.7,67.7,67.7,67.2,67.2,67.2,67.2,67.2,67.5,67.5
2014-02,,,,,,,,,,,,,,76.4,80.6,80.6,80.6,80.3,80.3,80.3,80.3,80.3,80.5,80.5
2014-03,,,,,,,,,,,,,,,90.7,90.5,90.5,89.4,89.4,89.4,89.4,89.4,89.7,89.7
2014-04,,,,,,,,,,,,,,,,93.4,91.2,90.7,90.7,92.3,92.3,92.3,92.6,92.6
2014-05,,,,,,,,,,,,,,,,,90.4,91.8,91.8,93.4,93.4,93.4,93.7,93.7
2014-06,,,,,,,,,,,,,,,,,,92.7,92.5,94.8,94.8,94.8,95.1,95.1
2014-07,,,,,,,,,,,,,,,,,,,106.6,108.6,108.6,108.6,107.1,107.1
2014-08,,,,,,,,,,,,,,,,,,,,94.6,95.6,95.6,94.4,94.4
2014-09,,,,,,,,,,,,,,,,,,,,,102.9,104.7,102.9,102.9
2014-10,,,,,,,,,,,,,,,,,,,,,,111.5,109.3,109.3
2014-11,,,,,,,,,,,,,,,,,,,,,,,106.3,107.3
2014-12,,,,,,,,,,,,,,,,,,,,,,,,125.6
