"",1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
1992-07,-4.9,-2.2,-2.3,-2.3,-1.3,-1.37,-1.22,,,,,,-1.04,-1.04,-1.49,-1.56,-1.58,-1.55,-1.73,-1.74,-1.69,-1.53,-1.58,-1.58,-1.45,-0.17,0.30,0.30,0.59,0.34,-0.08,-0.09,-0.04,-0.04,-0.93,-0.93,-0.93,-0.94,-0.87,-0.87,-0.86,-0.83,-0.78,-0.82,-0.82,-0.80,-0.86,-1.06,-1.06,-0.81,0.29,0.29,0.29,0.29,0.31,0.31,0.31,0.31,0.52,0.52,0.52,0.54,-0.168,-0.508,-0.508
1992-10,-5.2,-2.4,-1.9,-2.4,-3.6,-3.70,-3.97,,,,,,-3.95,-3.95,-4.56,-4.52,-4.51,-4.50,-4.57,-4.56,-4.50,-4.65,-4.51,-4.52,-4.68,-3.62,-4.08,-4.08,-7.98,-4.09,-3.92,-3.92,-3.86,-3.86,-3.23,-3.23,-3.23,-3.19,-3.21,-3.21,-3.27,-3.28,-4.65,-4.69,-4.69,-4.72,-4.96,-4.93,-4.93,-5.12,-5.04,-5.04,-4.96,-4.96,-5.18,-5.18,-5.18,-5.18,-5.10,-5.10,-5.10,-5.17,-2.977,-2.620,-2.620
1993-01,-6.7,-4.0,-4.0,-3.8,-4.1,-3.63,-3.51,,,,,,-3.57,-3.57,-2.76,-2.76,-2.77,-2.79,-2.73,-2.73,-2.84,-2.55,-2.68,-2.67,-2.67,-3.57,-3.66,-3.66,-7.16,-3.67,-3.51,-3.51,-3.67,-3.67,-3.61,-3.61,-3.61,-3.59,-3.89,-3.89,-3.88,-3.89,-3.23,-3.23,-3.23,-3.20,-2.80,-2.75,-2.75,-2.75,-3.21,-3.21,-3.21,-3.21,-3.70,-3.70,-3.70,-3.70,-3.50,-3.50,-3.50,-3.46,-3.883,-3.807,-3.807
1993-04,-5.8,-2.8,-3.1,-2.9,-2.6,-2.47,-2.38,-2.40,,,,,-2.50,-2.50,-2.41,-2.39,-2.38,-2.41,-2.26,-2.26,-2.17,-2.15,-2.03,-2.03,-1.99,0.16,0.18,0.18,0.35,0.18,0.44,0.43,0.48,0.48,0.60,0.60,0.60,0.57,-0.22,-0.22,-0.15,-0.14,-0.16,-0.07,-0.07,-0.04,-0.15,-0.10,-0.10,-0.11,0.54,0.54,0.49,0.49,1.06,1.06,1.06,1.06,0.79,0.79,0.79,0.83,-0.068,-0.227,-0.227
1993-07,-2.1,-0.9,-1.0,-1.0,0.1,-0.11,-0.06,-0.19,,,,,0.10,0.10,-0.30,-0.35,-0.37,-0.34,-0.48,-0.49,-0.49,-0.37,-0.49,-0.50,-0.38,1.44,1.92,1.92,3.76,1.95,1.70,1.70,1.74,1.74,0.86,0.86,0.86,0.87,0.89,0.89,0.86,0.86,0.91,0.91,0.91,0.93,0.80,0.68,0.68,0.91,1.02,1.02,1.02,1.02,0.98,0.98,0.98,0.98,1.15,1.15,1.15,1.19,1.756,1.418,1.418
1993-10,-1.5,-0.5,-0.1,-0.4,-1.6,-1.89,-2.17,-2.10,,,,,-2.34,-2.34,-2.64,-2.61,-2.61,-2.60,-2.70,-2.69,-2.67,-2.91,-2.80,-2.80,-2.98,-2.78,-3.21,-3.21,-6.28,-3.23,-3.24,-3.24,-3.18,-3.18,-2.55,-2.55,-2.55,-2.54,-2.12,-2.12,-2.18,-2.18,-3.23,-3.32,-3.32,-3.41,-3.54,-3.52,-3.52,-3.73,-3.99,-3.99,-3.94,-3.94,-4.01,-4.01,-4.01,-4.01,-4.02,-4.02,-4.02,-4.14,-2.094,-1.672,-1.672
1994-01,-1.8,-1.2,-1.4,-1.2,-1.3,-0.56,-0.22,-0.13,,,,,-0.41,-0.41,-0.16,-0.16,-0.19,-0.21,0.02,0.03,0.00,0.19,0.17,0.16,0.17,-2.24,-2.22,-2.22,-4.34,-2.23,-2.10,-2.09,-2.25,-2.25,-2.38,-2.38,-2.38,-2.38,-2.24,-2.24,-2.25,-2.28,-1.85,-1.86,-1.86,-1.80,-1.56,-1.50,-1.50,-1.51,-2.80,-2.80,-2.79,-2.79,-3.32,-3.32,-3.32,-3.32,-3.16,-3.16,-3.16,-3.10,-2.540,-2.540,-2.540
1994-04,-4.1,-1.8,-2.1,-2.0,-1.9,-1.87,-1.85,-1.89,-1.84,,,,-1.89,-1.89,-1.55,-1.53,-1.51,-1.55,-1.61,-1.60,-1.53,-1.43,-1.41,-1.41,-1.36,-1.64,-1.58,-1.58,-3.09,-1.59,-1.25,-1.24,-1.19,-1.19,-1.37,-1.37,-1.37,-1.41,-1.68,-1.68,-1.60,-1.60,-1.61,-1.53,-1.53,-1.48,-1.54,-1.48,-1.48,-1.44,-1.32,-1.32,-1.37,-1.37,-0.95,-0.95,-0.95,-0.95,-1.21,-1.21,-1.21,-1.15,-1.937,-2.146,-2.146
1994-07,3.7,1.9,1.7,1.7,2.7,2.54,2.43,2.31,2.58,,,,2.56,2.56,2.12,2.09,2.07,2.11,2.03,2.02,2.01,2.10,1.92,1.90,2.03,2.45,2.82,2.82,5.52,2.85,2.52,2.52,2.56,2.56,1.84,1.84,1.84,1.89,1.69,1.69,1.65,1.62,1.42,1.41,1.41,1.48,1.46,1.36,1.36,1.54,2.63,2.63,2.64,2.64,2.59,2.59,2.59,2.59,2.77,2.77,2.77,2.84,1.670,1.483,1.483
1994-10,5.6,2.9,3.5,3.2,2.3,1.75,1.52,1.58,1.24,1.24,,,1.12,1.12,1.13,1.14,1.16,1.17,1.20,1.21,1.19,0.90,1.00,1.01,0.83,0.23,-0.23,-0.23,-0.45,-0.24,-0.48,-0.49,-0.42,-0.42,0.32,0.32,0.32,0.32,1.41,1.41,1.37,1.41,1.10,1.04,1.04,0.88,0.74,0.72,0.72,0.51,0.84,0.84,0.87,0.87,0.86,0.86,0.86,0.86,0.76,0.76,0.76,0.58,2.687,3.080,3.080
1995-01,6.7,3.4,2.6,2.8,2.8,3.41,3.68,3.76,3.75,3.75,,,3.56,3.56,3.47,3.47,3.43,3.43,3.30,3.32,3.34,3.36,3.37,3.37,3.40,2.66,2.73,2.73,5.34,2.72,2.71,2.71,2.56,2.56,2.43,2.43,2.43,2.44,2.69,2.69,2.66,2.63,2.78,2.74,2.74,2.79,3.01,3.03,3.03,3.12,2.25,2.25,2.25,2.25,1.80,1.80,1.80,1.80,1.99,1.99,1.99,2.06,2.260,2.246,2.246
1995-04,0.0,0.3,-0.1,-0.2,-0.5,-0.21,-0.22,-0.28,-0.22,-0.22,,,-0.29,-0.29,0.00,0.02,0.04,0.01,0.00,0.01,0.05,0.15,0.26,0.23,0.31,1.02,1.13,1.13,2.21,1.13,1.23,1.23,1.31,1.31,0.87,0.87,0.87,0.83,0.83,0.83,0.92,0.91,0.95,1.06,1.06,1.10,1.09,1.15,1.15,1.10,2.05,2.05,2.02,2.02,2.47,2.47,2.47,2.47,2.16,2.16,2.16,2.22,2.149,1.989,1.989
1995-07,2.4,1.1,0.5,0.6,1.2,0.98,0.81,0.81,1.06,1.06,,,1.32,1.32,0.93,0.92,0.93,0.98,1.07,1.06,0.95,0.94,0.64,0.65,0.78,2.45,2.65,2.65,5.18,2.67,2.33,2.33,2.34,2.34,1.85,1.85,1.85,1.86,2.07,2.07,2.04,2.03,1.89,1.86,1.86,1.92,1.95,1.86,1.86,1.99,3.08,3.08,3.05,3.05,3.00,3.00,3.00,3.00,3.13,3.13,3.13,3.19,3.428,3.358,3.358
1995-10,0.7,0.3,0.4,0.1,-0.2,-0.92,-1.00,-1.02,-1.32,-1.32,,,-1.55,-1.55,-1.38,-1.39,-1.40,-1.41,-1.58,-1.59,-1.55,-1.66,-1.39,-1.38,-1.62,-1.13,-1.55,-1.55,-3.03,-1.56,-1.84,-1.85,-1.79,-1.79,-0.71,-0.71,-0.71,-0.70,-0.34,-0.34,-0.36,-0.31,-0.38,-0.41,-0.41,-0.57,-0.82,-0.84,-0.84,-0.99,0.63,0.63,0.69,0.69,0.52,0.52,0.52,0.52,0.46,0.46,0.46,0.27,0.998,1.237,1.237
1996-01,2.8,1.8,1.6,1.7,1.9,2.36,2.99,3.04,3.09,3.09,2.77,,2.68,2.68,2.53,2.55,2.51,2.49,2.69,2.72,2.75,2.53,2.45,2.46,2.51,1.53,1.61,1.61,3.15,1.59,1.72,1.73,1.62,1.62,1.44,1.44,1.44,1.46,1.17,1.17,1.14,1.10,1.21,1.19,1.19,1.24,1.35,1.43,1.43,1.43,2.06,2.06,2.10,2.10,1.98,1.98,1.98,1.98,1.96,1.96,1.96,2.04,1.999,2.031,2.031
1996-04,-2.9,-1.2,-1.4,-1.7,-2.2,-1.85,-1.85,-1.87,-1.82,-1.82,-1.87,,-1.73,-1.73,-1.44,-1.42,-1.41,-1.44,-1.38,-1.36,-1.35,-1.33,-1.31,-1.32,-1.26,-1.78,-1.60,-1.60,-3.13,-1.59,-1.52,-1.52,-1.43,-1.43,-2.12,-2.12,-2.12,-2.18,-2.13,-2.13,-2.04,-2.08,-2.04,-1.96,-1.96,-1.91,-1.77,-1.80,-1.80,-1.75,-0.82,-0.82,-0.84,-0.84,-0.45,-0.45,-0.45,-0.45,-0.72,-0.72,-0.72,-0.66,-1.209,-1.364,-1.364
1996-07,-4.0,-2.4,-3.1,-2.5,-2.5,-2.39,-2.72,-2.71,-2.47,-2.47,-2.21,-2.22,-2.41,-2.41,-2.70,-2.71,-2.68,-2.63,-2.65,-2.68,-2.82,-2.67,-2.89,-2.88,-2.77,-2.14,-2.03,-2.03,-3.97,-2.02,-2.23,-2.23,-2.23,-2.23,-2.38,-2.38,-2.38,-2.34,-2.43,-2.43,-2.46,-2.45,-2.44,-2.45,-2.45,-2.40,-2.35,-2.35,-2.35,-2.30,-1.38,-1.38,-1.46,-1.46,-1.57,-1.57,-1.57,-1.57,-1.55,-1.55,-1.55,-1.48,-1.843,-1.782,-1.782
1996-10,2.1,0.8,-0.4,-0.8,-0.5,-1.28,-0.80,-0.83,-1.18,-1.18,-0.63,-0.63,-0.93,-0.93,-0.79,-0.82,-0.84,-0.85,-0.86,-0.90,-0.80,-0.95,-0.65,-0.61,-0.87,-1.06,-1.39,-1.39,-2.72,-1.39,-1.39,-1.40,-1.38,-1.38,-0.02,-0.02,-0.02,-0.04,-0.20,-0.20,-0.23,-0.16,-0.18,-0.24,-0.24,-0.42,-0.66,-0.72,-0.72,-0.84,-0.02,-0.02,0.05,0.05,-0.05,-0.05,-0.05,-0.05,0.00,0.00,0.00,-0.21,0.407,0.469,0.469
1997-01,1.7,1.7,0.4,0.4,0.7,0.19,-0.46,-0.40,-0.27,-0.27,-0.22,-0.22,-0.31,-0.31,-0.09,-0.08,-0.14,-0.17,0.17,0.22,0.25,0.16,-0.12,-0.14,-0.11,0.40,0.34,0.34,0.66,0.33,1.28,1.29,1.28,1.28,0.91,0.91,0.91,0.92,0.83,0.83,0.80,0.75,0.61,0.59,0.59,0.64,0.50,0.49,0.49,0.59,1.55,1.55,1.64,1.64,1.21,1.21,1.21,1.21,1.22,1.22,1.22,1.28,1.127,1.195,1.195
1997-04,3.3,1.8,0.6,0.0,-0.6,0.14,0.56,0.55,0.50,0.50,-0.77,-0.76,-0.60,-0.60,-0.55,-0.50,-0.49,-0.52,-0.90,-0.88,-0.85,-0.57,-0.43,-0.47,-0.40,-0.17,0.23,0.23,0.45,0.24,0.31,0.31,0.37,0.37,-0.15,-0.15,-0.15,-0.18,-0.55,-0.55,-0.46,-0.54,-0.49,-0.46,-0.46,-0.41,-0.25,-0.26,-0.26,-0.23,0.35,0.35,0.32,0.32,0.58,0.58,0.58,0.58,0.52,0.52,0.52,0.57,0.503,0.388,0.388
1997-07,4.8,1.9,0.3,1.3,1.0,1.02,0.79,0.86,0.99,0.99,0.57,0.56,0.30,0.30,0.30,0.28,0.36,0.42,0.36,0.32,0.13,0.48,0.29,0.32,0.44,1.23,1.21,1.21,2.37,1.21,1.18,1.18,1.19,1.19,0.98,0.98,0.98,0.99,1.05,1.05,1.02,1.10,1.20,1.19,1.19,1.22,1.35,1.35,1.35,1.35,2.48,2.48,2.33,2.33,2.25,2.25,2.25,2.25,2.17,2.17,2.17,2.21,1.659,1.729,1.729
1997-10,7.2,3.2,2.2,1.8,2.4,1.52,1.54,1.46,1.22,1.22,1.06,1.06,0.89,0.89,0.65,0.60,0.57,0.56,0.73,0.68,0.81,0.50,0.88,0.91,0.67,0.58,0.29,0.29,0.57,0.30,0.31,0.30,0.25,0.25,1.55,1.55,1.55,1.56,1.62,1.62,1.59,1.64,1.44,1.43,1.43,1.31,1.12,1.13,1.13,0.98,1.89,1.89,2.00,2.00,2.14,2.14,2.14,2.14,2.24,2.24,2.24,2.08,2.329,2.306,2.306
1998-01,6.9,4.8,1.9,1.7,2.2,2.00,1.74,1.78,2.04,2.04,2.56,2.56,2.42,2.42,2.42,2.43,2.37,2.29,2.24,2.30,2.30,2.36,2.04,2.00,2.08,4.40,4.30,4.30,8.41,4.30,4.32,4.33,4.44,4.44,3.72,3.72,3.72,3.73,3.83,3.83,3.80,3.76,3.64,3.64,3.64,3.67,3.65,3.65,3.65,3.66,3.76,3.76,3.82,3.82,3.48,3.48,3.48,3.48,3.52,3.52,3.52,3.57,3.012,3.073,3.073
1998-04,14.4,7.5,4.7,3.7,3.2,4.07,2.63,2.57,2.40,2.40,2.85,2.86,2.95,2.95,2.17,2.28,2.26,2.28,2.09,2.22,2.23,2.31,2.41,2.38,2.46,2.74,3.29,3.29,6.43,3.36,3.48,3.48,3.47,3.47,2.99,2.99,2.99,2.94,3.27,3.27,3.36,3.26,3.27,3.27,3.27,3.29,3.44,3.44,3.44,3.47,4.77,4.77,4.77,4.77,5.14,5.14,5.14,5.14,4.90,4.90,4.90,4.93,4.655,4.586,4.586
1998-07,15.1,7.0,2.4,3.8,3.4,3.23,2.03,2.22,2.15,2.15,1.49,1.48,1.32,1.32,1.85,1.82,1.92,2.00,1.88,1.73,1.60,1.94,1.98,2.00,2.11,2.21,2.00,2.00,3.91,1.99,2.06,2.06,2.11,2.11,1.95,1.95,1.95,1.95,2.00,2.00,1.97,2.09,2.21,2.21,2.21,2.22,2.19,2.22,2.22,2.23,3.57,3.57,3.39,3.39,3.22,3.22,3.22,3.22,3.13,3.13,3.13,3.15,3.479,3.470,3.470
1998-10,22.9,11.1,6.3,6.0,6.5,6.14,3.96,3.78,3.73,3.73,1.87,1.87,1.70,1.70,0.56,0.47,0.43,0.41,0.59,0.55,0.65,0.33,0.69,0.75,0.52,0.52,0.25,0.25,0.49,0.21,-0.18,-0.20,-0.34,-0.34,0.87,0.87,0.87,0.91,0.50,0.50,0.47,0.50,0.45,0.45,0.45,0.38,0.31,0.28,0.28,0.25,1.23,1.23,1.35,1.35,1.51,1.51,1.51,1.51,1.75,1.75,1.75,1.65,1.586,1.605,1.605
1999-01,,4.8,2.7,2.7,5.5,5.97,5.27,5.24,5.62,5.62,1.32,1.34,1.20,1.20,1.21,1.20,1.15,1.02,0.82,0.91,0.91,1.10,0.72,0.68,0.73,2.45,2.31,2.31,2.31,2.27,2.46,2.48,2.66,2.66,1.79,1.79,1.79,1.83,2.22,2.22,2.19,2.15,1.96,1.99,1.99,2.00,1.98,1.99,1.99,2.00,2.99,2.99,3.03,3.03,2.70,2.70,2.70,2.70,2.74,2.74,2.74,2.77,3.173,3.199,3.199
1999-04,,,4.0,4.6,5.0,6.28,4.96,4.78,4.53,4.53,1.34,1.36,1.43,1.43,-0.20,-0.01,-0.01,0.03,0.43,0.65,0.65,0.81,0.73,0.65,0.73,-0.26,0.59,0.59,0.59,0.65,0.79,0.79,0.72,0.72,0.33,0.33,0.33,0.23,-0.48,-0.48,-0.42,-0.51,-0.54,-0.56,-0.56,-0.56,-0.42,-0.44,-0.44,-0.44,0.40,0.40,0.44,0.44,0.81,0.81,0.81,0.81,0.63,0.63,0.63,0.64,0.104,0.001,0.001
1999-07,,,,3.4,6.1,5.69,2.76,3.18,2.91,2.91,0.08,0.03,0.02,0.02,0.08,-0.01,0.07,0.14,0.82,0.52,0.44,0.74,0.85,0.88,0.98,0.90,0.39,0.39,0.39,0.40,0.59,0.58,0.65,0.65,0.39,0.39,0.39,0.39,0.52,0.52,0.52,0.67,0.74,0.71,0.71,0.70,0.53,0.60,0.60,0.52,2.23,2.23,2.03,2.03,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.87,2.545,2.539,2.539
1999-10,,,,,7.6,7.02,5.00,4.71,4.96,4.96,1.14,1.13,1.23,1.23,0.16,0.05,0.05,0.06,0.32,0.28,0.36,-0.12,0.23,0.29,0.10,0.70,0.52,0.52,0.52,0.49,-0.45,-0.47,-0.64,-0.64,0.65,0.65,0.65,0.70,0.57,0.57,0.54,0.53,0.51,0.53,0.53,0.51,0.60,0.54,0.54,0.57,2.32,2.32,2.44,2.44,2.93,2.93,2.93,2.93,3.15,3.15,3.15,3.11,3.477,3.563,3.563
2000-01,,,,,,8.31,3.90,2.78,2.71,2.71,-0.79,-0.76,-1.14,-1.14,0.42,0.43,0.38,0.19,-1.10,-0.98,-1.00,-1.04,-1.98,-1.97,-1.99,1.12,1.44,1.44,1.44,1.40,1.36,1.38,1.56,1.56,0.86,0.86,0.86,0.96,0.48,0.48,0.44,0.42,0.46,0.51,0.51,0.52,0.62,0.62,0.62,0.60,2.16,2.16,2.21,2.21,2.27,2.27,2.27,2.27,2.30,2.30,2.30,2.32,2.019,2.013,2.013
2000-04,,,,,,,8.33,6.61,5.91,5.91,2.86,2.92,2.82,2.82,0.92,1.20,1.16,1.23,-0.60,-0.20,-0.21,0.07,0.05,-0.11,0.00,0.38,1.59,1.59,1.59,1.65,1.66,1.68,1.59,1.59,0.84,0.84,0.84,0.75,0.90,0.90,0.95,0.92,1.19,1.13,1.13,1.12,1.10,1.10,1.10,1.11,4.01,4.01,4.03,4.03,4.34,4.34,4.34,4.34,4.03,4.03,4.03,4.03,3.518,3.329,3.329
2000-07,,,,,,,,7.79,7.46,7.46,2.78,2.67,2.79,2.79,1.82,1.66,1.58,1.68,1.27,0.77,0.70,1.04,1.10,1.18,1.24,2.86,1.69,1.69,1.69,1.75,2.13,2.11,2.15,2.15,1.75,1.75,1.75,1.72,2.33,2.33,2.35,2.43,2.56,2.50,2.50,2.50,2.30,2.39,2.39,2.35,5.22,5.22,5.09,5.09,5.06,5.06,5.06,5.06,5.00,5.00,5.00,4.99,5.448,5.386,5.386
2000-10,,,,,,,,,8.93,8.93,7.07,7.08,7.18,7.18,1.44,1.33,1.48,1.52,0.45,0.45,0.54,0.03,-0.21,-0.16,-0.36,2.30,1.93,1.93,1.93,1.85,1.12,1.10,0.96,0.96,2.80,2.80,2.80,2.85,2.32,2.32,2.28,2.23,2.16,2.21,2.21,2.21,2.33,2.24,2.24,2.24,5.67,5.67,5.73,5.73,5.35,5.35,5.35,5.35,5.51,5.51,5.51,5.49,6.458,6.710,6.710
2001-01,,,,,,,,,,7.28,-0.20,0.66,-2.01,-2.01,-1.21,-1.19,-1.16,-1.44,-2.56,-2.43,-2.45,-2.72,-4.45,-4.40,-4.42,-0.15,-0.70,-0.70,-0.70,-0.74,-0.50,-0.48,-0.37,-0.37,-1.01,-1.01,-1.01,-0.96,-0.99,-0.99,-1.05,-1.07,-1.50,-1.48,-1.48,-1.48,-1.30,-1.31,-1.31,-1.27,2.39,2.39,2.42,2.42,2.32,2.32,2.32,2.32,2.40,2.40,2.40,2.41,3.392,3.343,3.343
2001-04,,,,,,,,,,,-0.25,0.54,-0.59,-0.59,-1.21,-0.84,-0.89,-0.83,-2.25,-1.75,-1.80,-1.56,-2.52,-2.74,-2.54,-0.90,-1.16,-1.16,-1.16,-1.14,-1.14,-1.10,-1.16,-1.16,-2.28,-2.28,-2.28,-2.34,-2.38,-2.38,-2.35,-2.28,-1.70,-1.73,-1.73,-1.74,-1.88,-1.91,-1.91,-1.93,2.51,2.51,2.54,2.54,2.76,2.76,2.76,2.76,2.40,2.40,2.40,2.40,4.522,4.352,4.352
2001-07,,,,,,,,,,,,-3.26,-2.51,-2.51,-3.79,-4.06,-4.34,-4.22,-4.52,-5.18,-5.14,-4.76,-5.70,-5.52,-5.47,-2.53,-3.63,-3.63,-3.63,-3.47,-3.14,-3.17,-3.17,-3.17,-3.43,-3.43,-3.43,-3.48,-2.78,-2.78,-2.69,-2.66,-2.54,-2.58,-2.58,-2.58,-2.85,-2.70,-2.70,-2.75,2.04,2.04,1.95,1.95,2.10,2.10,2.10,2.10,2.17,2.17,2.17,2.17,2.394,2.413,2.413
2001-10,,,,,,,,,,,,,-0.20,-0.20,-3.34,-3.46,-3.15,-3.04,-5.85,-5.86,-5.81,-6.19,-6.89,-6.87,-7.13,-5.18,-5.08,-5.08,-5.08,-5.19,-5.97,-5.99,-6.03,-6.03,-3.87,-3.87,-3.87,-3.80,-4.55,-4.55,-4.61,-4.68,-5.16,-5.09,-5.09,-5.09,-4.90,-5.01,-5.01,-5.00,-0.64,-0.64,-0.61,-0.61,-1.10,-1.10,-1.10,-1.10,-1.07,-1.07,-1.07,-1.08,0.897,1.105,1.105
