"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
1996-01,,,,474.6,475.7,475.3,475.0,475.0,476.1,476.0,476.5,476.1,476.0,476.3,476.3,251.48,251.51,251.51,251.49,251.49,251.52,251.52,251.52,251.52,251.52,251.52,251.50,251.50,251.36,251.36,251.36,251.36,251.34,251.43,251.43,251.42,251.42,251.42,251.42,251.45,255.51,255.51,255.51,255.51,255.45,255.45,255.45,255.45,255.44,255.40,255.40,255.40,254.832,254.832,254.832
1996-04,,,,,473.2,472.9,472.5,472.5,474.1,473.9,474.6,474.6,474.5,474.3,474.2,250.85,250.89,250.89,250.88,250.88,250.91,250.91,250.91,250.91,250.90,250.90,250.93,250.93,250.89,250.89,250.89,250.89,250.87,250.85,250.85,250.84,250.85,250.85,250.85,250.86,254.63,254.63,254.63,254.63,254.61,254.61,254.61,254.61,254.62,254.56,254.56,254.56,254.307,254.307,254.307
1996-07,,,,,,475.7,475.2,475.2,476.8,477.2,477.7,477.7,477.7,477.6,477.3,252.46,252.45,252.45,252.45,252.45,252.41,252.41,252.41,252.41,252.43,252.43,252.42,252.42,252.44,252.44,252.44,252.44,252.51,252.47,252.47,252.47,252.46,252.46,252.46,252.43,256.43,256.43,256.43,256.43,256.39,256.39,256.39,256.39,256.41,256.39,256.39,256.39,256.184,256.184,256.184
1996-10,,,,,,,474.3,474.3,475.5,475.4,476.0,476.2,476.2,476.3,476.8,252.81,252.77,252.77,252.78,252.78,252.78,252.78,252.78,252.78,252.79,252.79,252.77,252.77,252.89,252.89,252.89,252.89,252.90,252.87,252.87,252.88,252.87,252.87,252.87,252.89,256.31,256.31,256.31,256.31,256.41,256.41,256.41,256.41,256.39,256.51,256.51,256.51,256.544,256.544,256.544
1997-01,,,,,,,,477.4,478.9,478.8,478.6,478.2,478.1,478.4,478.4,252.84,252.86,252.86,252.84,252.84,252.88,252.88,252.88,252.88,252.87,252.87,252.86,252.86,252.77,252.77,252.77,252.77,252.70,252.76,252.76,252.77,252.78,252.78,252.78,252.78,256.50,256.50,256.50,256.50,256.44,256.44,256.44,256.44,256.44,256.41,256.41,256.41,256.272,256.272,256.272
1997-04,,,,,,,,,477.6,478.1,477.9,477.9,478.0,477.7,477.6,252.43,252.46,252.46,252.45,252.45,252.47,252.47,252.47,252.47,252.46,252.46,252.49,252.49,252.45,252.45,252.45,252.45,252.47,252.45,252.45,252.45,252.45,252.45,252.45,252.45,255.91,255.91,255.91,255.91,255.91,255.91,255.91,255.91,255.90,255.84,255.84,255.84,255.971,255.971,255.971
1997-07,,,,,,,,,,475.9,475.9,476.0,476.1,475.9,475.5,252.52,252.49,252.49,252.50,252.50,252.46,252.46,252.46,252.46,252.45,252.45,252.43,252.43,252.47,252.47,252.47,252.47,252.56,252.54,252.54,252.53,252.53,252.53,252.53,252.51,256.22,256.22,256.22,256.22,256.23,256.23,256.23,256.23,256.25,256.26,256.26,256.26,256.257,256.257,256.257
1997-10,,,,,,,,,,,476.5,476.8,477.1,477.3,477.8,254.20,254.17,254.17,254.18,254.18,254.17,254.17,254.17,254.17,254.18,254.18,254.18,254.18,254.26,254.26,254.26,254.26,254.24,254.22,254.22,254.22,254.21,254.21,254.21,254.24,257.58,257.58,257.58,257.58,257.62,257.62,257.62,257.62,257.62,257.70,257.70,257.70,257.930,257.930,257.930
1998-01,,,,,,,,,,,,479.1,480.1,480.8,480.8,254.99,254.99,254.99,254.98,254.98,254.99,254.99,254.99,254.99,255.00,255.00,255.00,255.00,254.99,254.99,254.99,254.99,254.93,254.93,254.93,254.94,254.95,254.95,254.95,254.95,258.71,258.71,258.71,258.71,258.67,258.67,258.67,258.67,258.65,258.64,258.64,258.64,258.757,258.757,258.757
1998-04,,,,,,,,,,,,,484.3,484.5,484.1,257.15,257.17,257.17,257.17,257.17,257.19,257.19,257.19,257.19,257.18,257.18,257.19,257.19,257.19,257.19,257.19,257.19,257.18,257.17,257.17,257.17,257.17,257.17,257.17,257.17,260.71,260.71,260.71,260.71,260.69,260.69,260.69,260.69,260.70,260.66,260.66,260.66,260.904,260.904,260.904
1998-07,,,,,,,,,,,,,,486.6,486.0,259.54,259.50,259.50,259.52,259.52,259.50,259.50,259.50,259.50,259.50,259.50,259.49,259.49,259.50,259.50,259.50,259.50,259.56,259.57,259.57,259.57,259.55,259.55,259.55,259.54,262.91,262.91,262.91,262.91,262.92,262.92,262.92,262.92,262.93,262.96,262.96,262.96,263.407,263.407,263.407
1998-10,,,,,,,,,,,,,,,484.5,261.89,261.88,261.88,261.90,261.90,261.88,261.88,261.88,261.88,261.89,261.89,261.89,261.89,261.91,261.91,261.91,261.91,261.89,261.90,261.90,261.90,261.90,261.90,261.90,261.92,264.92,264.92,264.92,264.92,264.96,264.96,264.96,264.96,264.94,264.97,264.97,264.97,265.248,265.248,265.248
1999-01,,,,,,,,,,,,,,,,261.18,261.19,261.19,261.15,261.15,261.19,261.19,261.19,261.19,261.17,261.17,261.17,261.17,261.24,261.24,261.24,261.24,261.20,261.14,261.14,261.14,261.14,261.14,261.14,261.15,264.14,264.14,264.14,264.14,264.14,264.14,264.14,264.14,264.14,264.14,264.14,264.14,265.316,265.316,265.316
1999-04,,,,,,,,,,,,,,,,264.70,264.72,264.72,264.70,264.70,264.74,264.74,264.74,264.74,264.71,264.71,264.70,264.70,264.67,264.67,264.67,264.67,264.68,264.69,264.69,264.69,264.69,264.69,264.69,264.68,268.13,268.13,268.13,268.13,268.12,268.12,268.12,268.12,268.15,268.11,268.11,268.11,269.217,269.217,269.217
1999-07,,,,,,,,,,,,,,,,266.42,266.39,266.39,266.41,266.41,266.39,266.39,266.39,266.39,266.39,266.39,266.42,266.42,266.37,266.37,266.37,266.37,266.40,266.44,266.44,266.43,266.41,266.41,266.41,266.40,269.61,269.61,269.61,269.61,269.60,269.60,269.60,269.60,269.61,269.64,269.64,269.64,270.987,270.987,270.987
1999-10,,,,,,,,,,,,,,,,268.54,268.58,268.58,268.61,268.61,268.57,268.57,268.57,268.57,268.60,268.60,268.59,268.59,268.60,268.60,268.60,268.60,268.58,268.59,268.59,268.60,268.60,268.60,268.60,268.62,271.85,271.85,271.85,271.85,271.84,271.84,271.84,271.84,271.83,271.84,271.84,271.84,273.073,273.073,273.073
2000-01,,,,,,,,,,,,,,,,272.19,272.16,272.16,272.14,272.14,272.14,272.14,272.14,272.14,272.14,272.14,272.13,272.13,272.26,272.26,272.26,272.26,272.21,272.11,272.11,272.11,272.13,272.13,272.13,272.12,275.30,275.30,275.30,275.30,275.31,275.31,275.31,275.31,275.31,275.31,275.31,275.31,276.963,276.963,276.963
2000-04,,,,,,,,,,,,,,,,274.36,274.36,274.36,274.32,274.32,274.36,274.36,274.36,274.36,274.33,274.33,274.30,274.30,274.27,274.27,274.27,274.27,274.27,274.29,274.29,274.29,274.29,274.29,274.29,274.28,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.51,277.49,277.49,277.49,279.129,279.129,279.129
2000-07,,,,,,,,,,,,,,,,276.89,276.87,276.87,276.88,276.88,276.84,276.84,276.84,276.84,276.86,276.86,276.91,276.91,276.81,276.81,276.81,276.81,276.84,276.89,276.89,276.87,276.85,276.85,276.85,276.85,279.88,279.88,279.88,279.88,279.90,279.90,279.90,279.90,279.91,279.93,279.93,279.93,281.606,281.606,281.606
2000-10,,,,,,,,,,,,,,,,278.20,278.28,278.28,278.32,278.32,278.29,278.29,278.29,278.29,278.33,278.33,278.32,278.32,278.31,278.31,278.31,278.31,278.34,278.35,278.35,278.37,278.37,278.37,278.37,278.39,281.38,281.38,281.38,281.38,281.38,281.38,281.38,281.38,281.35,281.35,281.35,281.35,282.830,282.830,282.830
2001-01,,,,,,,,,,,,,,,,279.50,279.41,279.41,279.40,279.40,279.41,279.41,279.41,279.41,279.38,279.38,279.37,279.37,279.48,279.48,279.48,279.48,279.45,279.38,279.38,279.38,279.38,279.38,279.38,279.37,282.53,282.53,282.53,282.53,282.52,282.52,282.52,282.52,282.54,282.54,282.54,282.54,283.425,283.425,283.425
2001-04,,,,,,,,,,,,,,,,280.20,280.13,280.13,280.07,280.07,280.13,280.13,280.13,280.13,280.05,280.05,280.03,280.03,279.99,279.99,279.99,279.99,280.00,280.02,280.02,280.02,280.02,280.02,280.02,280.02,283.17,283.17,283.17,283.17,283.17,283.17,283.17,283.17,283.18,283.17,283.17,283.17,283.902,283.902,283.902
2001-07,,,,,,,,,,,,,,,,280.39,280.28,280.28,280.30,280.30,280.26,280.26,280.26,280.26,280.28,280.28,280.31,280.31,280.24,280.24,280.24,280.24,280.23,280.27,280.27,280.25,280.23,280.23,280.23,280.24,283.46,283.46,283.46,283.46,283.45,283.45,283.45,283.45,283.45,283.46,283.46,283.46,283.990,283.990,283.990
2001-10,,,,,,,,,,,,,,,,282.34,282.38,282.38,282.46,282.46,282.43,282.43,282.43,282.43,282.51,282.51,282.51,282.51,282.53,282.53,282.53,282.53,282.54,282.56,282.56,282.58,282.61,282.61,282.61,282.61,285.98,285.98,285.98,285.98,285.98,285.98,285.98,285.98,285.97,285.96,285.96,285.96,286.411,286.411,286.411
2002-01,,,,,,,,,,,,,,,,282.16,281.87,281.87,281.85,281.85,281.76,281.76,281.76,281.76,281.72,281.72,281.72,281.72,281.76,281.76,281.76,281.76,281.76,281.73,281.73,281.73,281.73,281.73,281.73,281.71,284.70,284.70,284.70,284.70,284.70,284.70,284.70,284.70,284.72,284.71,284.71,284.71,285.432,285.432,285.432
2002-04,,,,,,,,,,,,,,,,282.18,281.93,281.93,281.83,281.83,281.73,281.73,281.73,281.73,281.62,281.62,281.61,281.61,281.54,281.54,281.54,281.54,281.57,281.59,281.59,281.60,281.58,281.58,281.58,281.57,284.47,284.47,284.47,284.47,284.47,284.47,284.47,284.47,284.47,284.47,284.47,284.47,285.266,285.266,285.266
2002-07,,,,,,,,,,,,,,,,283.39,283.13,283.13,283.13,283.13,283.02,283.02,283.02,283.02,283.08,283.08,283.08,283.08,283.04,283.04,283.04,283.04,283.03,283.04,283.04,283.01,282.97,282.97,282.97,282.99,285.99,285.99,285.99,285.99,285.97,285.97,285.97,285.97,286.00,286.01,286.01,286.01,286.836,286.836,286.836
2002-10,,,,,,,,,,,,,,,,283.16,283.05,283.05,283.16,283.16,283.10,283.10,283.10,283.10,283.21,283.21,283.22,283.22,283.28,283.28,283.28,283.28,283.28,283.28,283.28,283.30,283.35,283.35,283.35,283.34,286.35,286.35,286.35,286.35,286.36,286.36,286.36,286.36,286.34,286.35,286.35,286.35,287.220,287.220,287.220
2003-01,,,,,,,,,,,,,,,,283.30,282.59,282.59,282.57,282.57,283.10,283.10,283.10,283.10,283.07,283.07,283.09,283.09,283.03,283.03,283.03,283.03,283.04,283.06,283.06,283.07,283.05,283.05,283.05,283.05,285.71,285.71,285.71,285.71,285.69,285.69,285.69,285.69,285.71,285.68,285.68,285.68,286.224,286.223,286.223
2003-04,,,,,,,,,,,,,,,,282.88,282.65,282.65,282.47,282.47,282.60,282.60,282.60,282.60,282.49,282.49,282.50,282.50,282.40,282.40,282.40,282.40,282.46,282.46,282.46,282.47,282.42,282.42,282.42,282.42,285.28,285.28,285.28,285.28,285.29,285.29,285.29,285.29,285.28,285.28,285.28,285.28,285.465,285.466,285.466
2003-07,,,,,,,,,,,,,,,,284.06,283.95,283.95,283.95,283.95,284.00,284.00,284.00,284.00,284.16,284.16,284.11,284.11,284.16,284.16,284.16,284.16,284.14,284.12,284.12,284.07,284.05,284.05,284.05,284.06,286.97,286.97,286.97,286.97,286.97,286.97,286.97,286.97,286.99,287.00,287.00,287.00,287.574,287.574,287.574
2003-10,,,,,,,,,,,,,,,,282.67,282.90,282.90,283.08,283.08,283.10,283.10,283.10,283.10,283.48,283.48,283.50,283.50,283.59,283.59,283.59,283.59,283.57,283.55,283.55,283.59,283.65,283.65,283.65,283.64,286.33,286.33,286.33,286.33,286.37,286.36,286.36,286.36,286.31,286.33,286.33,286.33,286.956,286.957,286.957
2004-01,,,,,,,,,,,,,,,,284.73,284.59,284.59,284.60,284.60,285.18,285.18,285.18,285.18,285.05,285.05,285.11,285.11,284.93,284.93,284.93,284.93,284.94,285.00,285.00,285.04,285.03,285.03,285.03,285.01,287.67,287.67,287.67,287.67,287.60,287.60,287.60,287.60,287.65,287.58,287.58,287.58,287.655,287.654,287.654
2004-04,,,,,,,,,,,,,,,,284.57,284.57,284.57,284.32,284.32,284.75,284.75,284.75,284.75,284.66,284.66,284.64,284.64,284.50,284.50,284.50,284.50,284.58,284.57,284.57,284.59,284.51,284.51,284.51,284.50,286.96,286.96,286.96,286.96,286.97,286.97,286.97,286.97,286.95,286.97,286.97,286.97,287.209,287.208,287.208
2004-07,,,,,,,,,,,,,,,,283.33,283.46,283.46,283.44,283.44,284.08,284.08,284.08,284.08,284.18,284.18,284.13,284.13,284.26,284.26,284.26,284.26,284.28,284.24,284.24,284.13,284.14,284.14,284.14,284.16,286.52,286.52,286.52,286.52,286.51,286.51,286.51,286.51,286.54,286.56,286.56,286.56,286.961,286.962,286.962
2004-10,,,,,,,,,,,,,,,,282.47,282.67,282.67,282.91,282.91,283.45,283.45,283.45,283.45,283.91,283.91,283.93,283.93,284.08,284.08,284.08,284.08,283.98,283.97,283.97,284.01,284.11,284.11,284.11,284.10,286.35,286.35,286.35,286.35,286.40,286.40,286.40,286.40,286.34,286.37,286.37,286.37,286.598,286.598,286.598
2005-01,,,,,,,,,,,,,,,,283.51,283.74,283.71,283.49,283.49,283.34,283.34,283.34,283.34,283.17,283.17,283.30,283.30,283.08,283.08,283.08,283.08,283.06,283.10,283.10,283.17,283.15,283.15,283.15,283.12,285.39,285.39,285.39,285.39,285.31,285.31,285.31,285.31,285.39,285.30,285.30,285.30,286.771,286.771,286.771
2005-04,,,,,,,,,,,,,,,,,283.69,283.47,283.22,283.22,283.07,283.07,283.07,283.07,283.02,283.02,282.97,282.97,282.79,282.79,282.79,282.79,282.84,282.83,282.83,282.86,282.70,282.70,282.70,282.70,284.75,284.75,284.75,284.75,284.76,284.76,284.76,284.76,284.74,284.76,284.76,284.76,286.261,286.260,286.260
2005-07,,,,,,,,,,,,,,,,,,281.91,282.32,282.32,282.12,282.12,282.12,282.12,282.13,282.13,282.08,282.08,282.35,282.35,282.35,282.35,282.41,282.37,282.37,282.22,282.23,282.23,282.23,282.27,284.41,284.41,284.41,284.41,284.42,284.42,284.42,284.42,284.46,284.48,284.48,284.48,286.197,286.198,286.198
2005-10,,,,,,,,,,,,,,,,,,,281.02,281.02,281.70,281.70,281.70,281.70,282.66,282.66,282.65,282.65,282.83,282.83,282.83,282.83,282.54,282.53,282.53,282.60,282.75,282.75,282.75,282.73,284.91,284.91,284.91,284.91,284.97,284.97,284.97,284.97,284.89,284.93,284.93,284.93,286.647,286.648,286.648
2006-01,,,,,,,,,,,,,,,,,,,,283.52,282.98,283.97,284.11,284.35,284.58,284.58,284.77,284.77,284.36,284.36,284.36,284.36,284.35,284.39,284.39,284.47,284.57,284.57,284.57,284.51,286.34,286.34,286.34,286.34,286.18,286.19,286.19,286.19,286.28,286.18,286.18,286.18,287.929,287.930,287.930
2006-04,,,,,,,,,,,,,,,,,,,,,284.37,285.97,286.34,286.63,287.22,287.22,287.13,287.13,286.68,286.68,286.68,286.68,286.71,286.71,286.71,286.76,286.65,286.65,286.65,286.63,288.11,288.11,288.11,288.11,288.09,288.09,288.09,288.09,288.08,288.11,288.11,288.11,290.199,290.195,290.195
2006-07,,,,,,,,,,,,,,,,,,,,,,286.19,287.58,287.88,288.66,288.66,288.61,288.61,288.91,288.91,288.91,288.91,289.01,288.99,288.99,288.78,288.91,288.91,288.91,289.01,290.96,290.96,290.96,290.96,290.99,290.99,290.99,290.99,291.05,291.10,291.10,291.10,293.382,293.383,293.383
