"",2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
2000-01,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,179.98,183.65,183.65,183.65,183.65,183.65,183.65,183.65,183.65,183.65,183.65,183.65,183.65,184.025,184.025,184.025
2000-04,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,190.72,195.24,195.24,195.24,195.24,195.24,195.24,195.24,195.24,195.24,195.24,195.24,195.24,195.710,195.710,195.710
2000-07,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,194.91,197.83,197.83,197.83,197.83,197.83,197.83,197.83,197.83,197.83,197.83,197.83,197.83,198.725,198.725,198.725
2000-10,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,216.15,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.384,221.384,221.384
2001-01,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,185.62,188.86,188.86,188.86,188.86,188.86,188.86,188.86,188.86,188.86,188.86,188.86,188.86,188.621,188.621,188.621
2001-04,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,195.23,199.40,199.40,199.40,199.40,199.40,199.40,199.40,199.40,199.40,199.40,199.40,199.40,199.064,199.064,199.064
2001-07,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,198.15,200.79,200.79,200.79,200.79,200.79,200.79,200.79,200.79,200.79,200.79,200.79,200.79,200.640,200.640,200.640
2001-10,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,218.18,223.07,223.07,223.07,223.07,223.07,223.07,223.07,223.07,223.07,223.07,223.07,223.07,222.425,222.425,222.425
2002-01,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,185.92,189.08,189.08,189.08,189.08,189.08,189.08,189.08,189.08,189.08,189.08,189.08,189.08,188.464,188.464,188.464
2002-04,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,198.65,198.65,198.65,198.65,198.65,198.65,198.65,198.65,198.65,198.65,198.65,198.65,198.161,198.161,198.161
2002-07,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,198.82,201.38,201.38,201.38,201.38,201.38,201.38,201.38,201.38,201.38,201.38,201.38,201.38,201.219,201.219,201.219
2002-10,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,216.67,221.51,221.51,221.51,221.51,221.51,221.51,221.51,221.51,221.51,221.51,221.51,221.51,220.991,220.991,220.991
2003-01,186.04,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,186.07,188.89,188.89,188.89,188.89,188.89,188.89,188.89,188.89,188.89,188.89,188.89,188.89,188.262,188.262,188.262
2003-04,194.78,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,194.81,198.70,198.70,198.70,198.70,198.70,198.70,198.70,198.70,198.70,198.70,198.70,198.70,197.788,197.788,197.788
2003-07,197.85,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,200.29,200.29,200.29,200.29,200.29,200.29,200.29,200.29,200.29,200.29,200.29,200.29,199.910,199.910,199.910
2003-10,216.64,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,216.72,221.11,221.11,221.11,221.11,221.11,221.11,221.11,221.11,221.11,221.11,221.11,221.11,220.587,220.587,220.587
2004-01,187.29,187.36,187.36,187.36,187.36,187.32,187.32,187.32,187.32,187.32,187.32,187.32,187.32,187.32,187.32,187.32,187.32,190.33,190.33,190.33,190.33,190.33,190.33,190.33,190.33,190.33,190.33,190.33,190.33,189.352,189.352,189.352
2004-04,195.51,195.59,195.59,195.59,195.59,195.58,195.58,195.58,195.58,195.58,195.58,195.58,195.58,195.58,195.58,195.58,195.58,199.43,199.43,199.43,199.43,199.43,199.43,199.43,199.43,199.43,199.43,199.43,199.43,198.663,198.663,198.663
