"",2005-04-28,2005-08-23,2006-01-12,2006-02-22,2006-05-23,2006-08-24,2007-01-11,2007-02-13,2007-05-15,2007-08-14,2008-01-15,2008-02-26,2008-08-14,2008-11-13,2009-01-14,2009-02-13,2009-05-15,2009-08-13,2009-11-24,2010-01-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-01-12,2011-02-15,2011-05-13,2011-08-16,2011-09-01,2012-01-11,2012-02-15,2012-05-24,2012-08-14,2013-01-15,2013-02-14,2013-02-22,2013-05-15,2013-08-14,2014-01-15,2014-02-14,2014-08-14,2015-01-15,2015-02-13
1997,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1915.58,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1912.60,1964.650,1964.650,1964.650
1998,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1965.38,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,1959.70,2015.250,2015.250,2015.250
1999,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2012.00,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2000.20,2061.810,2061.810,2061.810
2000,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2062.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2047.50,2113.500,2113.500,2113.500
2001,2113.56,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2113.16,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2101.90,2176.810,2176.810,2176.810
2002,2148.81,2145.02,2145.02,2145.02,2145.02,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2143.18,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2132.20,2206.280,2206.280,2206.280
2003,2164.87,2163.40,2163.40,2163.40,2163.40,2161.50,2161.50,2161.50,2161.50,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2163.80,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2147.50,2217.050,2217.050,2217.050
2004,2207.24,2215.65,2215.65,2215.65,2215.65,2207.20,2207.20,2207.20,2207.20,2211.20,2211.20,2211.20,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2210.90,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2195.70,2267.580,2267.580,2267.580
2005,,,2244.00,2245.50,2247.40,2241.00,2241.00,2241.00,2241.00,2244.60,2244.60,2244.60,2243.20,2243.20,2243.20,2243.20,2243.20,2242.20,2242.20,2242.20,2242.20,2242.20,2242.20,2242.20,2242.20,2242.20,2242.20,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2224.40,2297.820,2297.820,2297.820
2006,,,,,,,2302.70,2307.20,2309.10,2322.20,2322.20,2322.20,2321.50,2321.50,2321.50,2321.50,2321.50,2325.10,2325.10,2325.10,2325.10,2325.10,2326.50,2326.50,2326.50,2326.50,2326.50,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2313.90,2390.200,2390.200,2390.200
2007,,,,,,,,,,,2423.00,2423.80,2422.90,2422.90,2422.90,2422.90,2422.90,2428.20,2428.20,2428.20,2428.20,2428.20,2432.40,2432.40,2432.40,2432.40,2432.40,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2428.50,2510.110,2510.110,2510.110
2008,,,,,,,,,,,,,,,2489.40,2492.00,2491.40,2495.80,2495.80,2495.80,2495.80,2495.80,2481.20,2481.20,2481.20,2481.20,2481.20,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2473.80,2558.020,2558.020,2558.020
2009,,,,,,,,,,,,,,,,,,,,2404.40,2407.20,2409.10,2397.10,2397.10,2397.10,2397.10,2397.10,2374.50,2374.50,2374.50,2374.50,2374.50,2374.50,2374.50,2374.50,2374.50,2374.50,2374.20,2374.20,2374.20,2456.660,2456.660,2456.660
2010,,,,,,,,,,,,,,,,,,,,,,,,,2497.60,2498.80,2498.80,2476.80,2476.80,2476.80,2476.80,2476.80,2496.20,2496.20,2496.20,2496.20,2496.20,2495.00,2495.00,2495.00,2576.220,2576.220,2576.220
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570.00,2570.80,2570.80,2592.60,2592.60,2592.60,2592.60,2592.60,2609.90,2609.90,2609.90,2699.100,2699.100,2699.100
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2645.00,2643.90,2643.90,2644.20,2666.40,2666.40,2666.40,2749.900,2749.900,2749.900
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2735.80,2737.60,2809.480,2809.480,2809.480
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2903.220,2903.790
