"",1995-09-28,1995-12-28,1996-03-28,1996-06-28,1996-09-28,1996-12-28,1997-03-28,1997-06-28,1997-09-28,1997-12-28,1998-03-28,1998-06-28,1998-09-28,1998-12-28,1999-03-28,1999-06-08,1999-09-09,1999-12-07,2000-03-02,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-27,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13
1993-01,101.00,101.00,101.00,101.00,101.00,101.00,101.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,83.80,82.32,82.32,82.32,82.32,82.32,82.32,82.32,82.32,82.32,82.32,82.32,82.32,77.66,77.66,77.66
1993-04,104.00,104.00,104.00,104.00,104.00,104.00,104.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,86.03,84.36,84.36,84.36,84.36,84.36,84.36,84.36,84.36,84.36,84.36,84.36,84.36,79.15,79.15,79.15
1993-07,106.00,106.00,106.00,106.00,106.00,106.00,106.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,87.79,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,86.66,81.07,81.07,81.07
1993-10,108.00,108.00,108.00,108.00,108.00,108.00,108.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,88.63,86.50,86.50,86.50,86.50,86.50,86.50,86.50,86.50,86.50,86.50,86.50,86.50,81.47,81.47,81.47
1994-01,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,105.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,86.13,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27,84.27,79.53,79.53,79.53
1994-04,108.00,108.00,108.00,108.00,108.00,108.00,108.00,108.00,107.00,107.00,107.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,88.22,86.24,86.24,86.24,86.24,86.24,86.24,86.24,86.24,86.24,86.24,86.24,86.24,80.89,80.89,80.89
1994-07,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,109.00,109.00,109.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,90.04,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,82.86,82.86,82.86
1994-10,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,91.05,89.12,89.12,89.12,89.12,89.12,89.12,89.12,89.12,89.12,89.12,89.12,89.12,83.94,83.94,83.94
1995-01,108.00,108.00,108.00,108.00,108.00,108.00,108.00,108.00,108.00,108.00,108.00,108.00,107.00,107.00,107.00,98.40,98.60,98.60,,,,,,,,,,,,,,,,,,,,,,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,88.19,86.18,86.18,86.18,86.18,86.18,86.18,86.18,86.18,86.18,86.18,86.18,86.18,81.34,81.34,81.34
1995-04,110.00,110.00,111.00,111.00,111.00,111.00,111.00,111.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,99.40,99.40,99.40,,,,,,,,,,,,,,,,,,,,,,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,90.28,88.06,88.06,88.06,88.06,88.06,88.06,88.06,88.06,88.06,88.06,88.06,88.06,82.59,82.59,82.59
1995-07,,112.00,112.00,112.00,112.00,112.00,112.00,112.00,111.00,111.00,111.00,111.00,111.00,111.00,111.00,100.20,100.20,100.20,,,,,,,,,,,,,,,,,,,,,,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,91.52,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,84.18,84.18,84.18
1995-10,,,113.00,113.00,113.00,113.00,113.00,113.00,113.00,113.00,113.00,113.00,112.00,112.00,112.00,101.90,101.70,101.70,,,,,,,,,,,,,,,,,,,,,,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,92.17,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,89.85,84.63,84.63,84.63
1996-01,,,,110.00,110.00,110.00,110.00,110.00,109.00,109.00,109.00,109.00,109.00,109.00,109.00,100.20,100.20,100.20,100.20,100.20,100.20,,,,,,,,,,,,,,,,,,,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,88.29,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,86.04,81.19,81.19,81.19
1996-04,,,,,113.00,113.00,113.00,113.00,112.00,112.00,113.00,113.00,112.00,112.00,112.00,100.40,100.30,100.30,100.30,100.30,100.40,,,,,,,,,,,,,,,,,,,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,88.60,83.08,83.08,83.08
1996-07,,,,,,116.00,116.00,116.00,115.00,115.00,115.00,115.00,114.00,114.00,114.00,100.90,100.90,100.90,100.90,100.90,100.80,,,,,,,,,,,,,,,,,,,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,93.04,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,91.38,85.44,85.44,85.44
1996-10,,,,,,,117.00,117.00,117.00,117.00,117.00,117.00,116.00,116.00,116.00,102.50,102.70,102.70,102.70,102.70,102.70,,,,,,,,,,,,,,,,,,,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,93.45,90.88,90.88,90.88,90.88,90.88,90.88,90.88,90.88,90.88,90.88,90.88,90.88,85.64,85.64,85.64
1997-01,,,,,,,,113.00,112.00,112.00,112.00,112.00,112.00,112.00,112.00,101.00,100.90,100.90,100.90,100.90,101.00,101.00,101.00,101.00,100.90,100.90,,,,,,,,,,,,,,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,88.78,86.38,86.38,86.38,86.38,86.38,86.38,86.38,86.38,86.38,86.38,86.38,86.38,81.57,81.57,81.57
1997-04,,,,,,,,,118.00,118.00,118.00,118.00,117.00,117.00,117.00,101.30,101.20,101.20,101.20,101.20,101.30,101.30,101.30,101.30,101.10,101.10,,,,,,,,,,,,,,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,93.51,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,85.56,85.56,85.56
1997-07,,,,,,,,,,120.00,120.00,120.00,119.00,119.00,119.00,101.60,101.60,101.60,101.60,101.60,101.60,101.60,101.60,101.60,101.40,101.40,,,,,,,,,,,,,,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,94.66,92.92,92.92,92.92,92.92,92.92,92.92,92.92,92.92,92.92,92.92,92.92,92.92,87.04,87.04,87.04
1997-10,,,,,,,,,,,121.00,121.00,120.00,120.00,120.00,103.10,103.40,103.40,103.40,103.40,103.40,103.40,103.40,103.40,103.30,103.30,,,,,,,,,,,,,,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,95.39,92.70,92.70,92.70,92.70,92.70,92.70,92.70,92.70,92.70,92.70,92.70,92.70,87.33,87.33,87.33
1998-01,,,,,,,,,,,,117.00,117.00,117.00,117.00,101.70,101.60,101.60,101.60,101.60,101.90,101.90,101.90,101.90,101.80,101.80,101.80,101.80,101.70,101.70,,,,,,,,,,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,90.03,85.04,85.04,85.04
1998-04,,,,,,,,,,,,,119.00,119.00,119.00,102.40,102.20,102.20,102.20,102.20,102.70,102.70,102.70,102.70,102.50,102.50,102.50,102.50,102.50,102.50,,,,,,,,,,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,94.19,91.54,91.54,91.54,91.54,91.54,91.54,91.54,91.54,91.54,91.54,91.54,91.54,86.10,86.10,86.10
1998-07,,,,,,,,,,,,,,122.00,122.00,102.90,102.80,102.80,102.80,102.80,102.90,102.90,102.90,102.90,102.60,102.60,102.70,102.70,102.90,102.90,,,,,,,,,,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,96.29,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,94.33,88.47,88.47,88.47
1998-10,,,,,,,,,,,,,,,122.00,104.40,104.70,104.70,104.70,104.70,104.60,104.60,104.60,104.60,104.30,104.30,104.30,104.30,104.30,104.30,,,,,,,,,,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,93.93,93.93,93.93,93.93,93.93,93.93,93.93,93.93,93.93,93.93,93.93,93.93,88.58,88.58,88.58
1999-01,,,,,,,,,,,,,,,,102.90,103.10,103.00,103.30,103.30,103.30,103.30,103.30,103.30,102.70,102.70,102.70,102.70,102.60,102.60,102.60,102.60,102.60,102.60,,,,,,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,93.54,90.76,90.76,90.76,90.76,90.76,90.76,90.76,90.76,90.76,90.76,90.76,90.76,85.77,85.77,85.77
1999-04,,,,,,,,,,,,,,,,,103.20,103.20,103.30,103.30,103.70,103.70,103.70,103.70,103.20,103.20,103.20,103.20,103.20,103.20,103.20,103.20,103.20,103.20,,,,,,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,92.99,92.99,92.99,92.99,92.99,92.99,92.99,92.99,92.99,92.99,92.99,92.99,87.55,87.55,87.55
1999-07,,,,,,,,,,,,,,,,,,103.60,103.80,103.80,103.70,103.70,103.70,103.70,102.90,102.90,103.00,103.00,103.00,103.00,103.00,103.00,103.00,103.00,,,,,,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,98.32,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,96.19,90.31,90.31,90.31
1999-10,,,,,,,,,,,,,,,,,,,105.10,105.10,104.90,104.90,104.90,104.90,104.30,104.30,104.30,104.30,104.40,104.40,104.40,104.40,104.40,104.40,,,,,,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,91.49,91.49,91.49
2000-01,,,,,,,,,,,,,,,,,,,,103.30,103.30,103.10,103.10,103.10,102.40,102.40,102.40,102.40,102.50,102.50,102.50,102.50,102.50,102.50,102.50,102.50,102.50,102.50,,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,97.68,94.73,94.73,94.73,94.73,94.73,94.73,94.73,94.73,94.73,94.73,94.73,94.73,89.55,89.55,89.55
2000-04,,,,,,,,,,,,,,,,,,,,,103.20,103.10,103.10,103.10,102.50,102.50,102.50,102.50,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,91.06,91.06,91.06
2000-07,,,,,,,,,,,,,,,,,,,,,,103.30,103.40,103.40,102.70,102.70,102.70,102.70,102.80,102.80,102.80,102.80,102.80,102.80,102.80,102.80,102.80,102.80,,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,101.09,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,98.81,92.67,92.67,92.67
2000-10,,,,,,,,,,,,,,,,,,,,,,,104.50,104.50,103.90,103.90,103.90,103.90,104.30,104.30,104.30,104.30,104.30,104.30,104.30,104.30,104.30,104.30,,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,101.40,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,97.93,92.42,92.42,92.42
2001-01,,,,,,,,,,,,,,,,,,,,,,,,103.90,103.30,103.30,103.40,103.40,103.60,103.60,103.60,103.60,103.60,103.60,103.60,103.60,103.70,103.70,103.70,99.53,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,99.59,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,96.83,91.66,91.66,91.66
2001-04,,,,,,,,,,,,,,,,,,,,,,,,,103.90,103.90,103.90,103.90,104.10,104.10,104.10,104.10,104.00,104.00,104.00,104.00,104.00,104.00,104.00,100.88,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,100.90,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,92.52,92.52,92.52
2001-07,,,,,,,,,,,,,,,,,,,,,,,,,,103.30,103.60,103.60,103.80,103.80,103.80,103.80,103.60,103.60,103.60,103.60,103.70,103.70,103.70,102.08,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,102.07,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,100.01,94.07,94.07,94.07
2001-10,,,,,,,,,,,,,,,,,,,,,,,,,,,106.00,106.00,106.70,106.70,106.70,106.70,106.40,106.40,106.40,106.40,106.40,106.40,106.40,102.28,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,102.40,99.18,99.18,99.18,99.18,99.18,99.18,99.18,99.18,99.18,99.18,99.18,99.18,93.68,93.68,93.68
2002-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.70,105.80,105.80,105.70,105.70,105.60,105.60,105.60,105.60,105.70,105.70,105.70,98.44,98.50,98.50,98.50,98.50,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,98.54,95.77,95.77,95.77,95.77,95.77,95.77,95.77,95.77,95.77,95.77,95.77,95.77,90.65,90.65,90.65
2002-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.80,105.80,105.80,105.80,105.60,105.60,105.60,105.60,105.50,105.50,105.50,101.22,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,98.34,92.66,92.66,92.66
2002-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.10,105.80,105.80,105.70,105.70,105.70,105.70,105.60,105.60,105.60,103.22,103.12,103.12,103.12,103.12,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,103.03,101.02,101.02,101.02,101.02,101.02,101.02,101.02,101.02,101.02,101.02,101.02,101.02,95.06,95.06,95.06
2002-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.70,107.70,107.40,107.40,107.40,107.40,107.40,107.40,107.40,102.51,102.42,102.42,102.42,102.42,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,102.24,99.08,99.08,99.08,99.08,99.08,99.08,99.08,99.08,99.08,99.08,99.08,99.08,93.59,93.59,93.59
