"","Notrend","Rising","Falling","Volume","Goodrising","Badrising","Otherrising","MTI_All","MTI_Present","MTI_Future","MTI_Monetary","MTI_Inflation","MTI_Taxation","MTI_Cycle","MTI_Labor","MTI_Budget"
"2003-01",4,2,2,8,0,1,1,-35.7142857142857,-43.5344827586207,-24.8730964467005,-16.6666666666667,12.5,-46.9879518072289,-53.75,-36.8932038834951,-16.6666666666667
"2003-02",3,2,0,5,0,1,1,-43.8356164383562,-51.3966480446927,-29.5238095238095,-16.6666666666667,-20,-51.9230769230769,-80.4347826086957,-43.4782608695652,-16.6666666666667
"2003-03",2,6,0,8,0,6,0,-39.622641509434,-47.9591836734694,-25.8333333333333,-75,-75,-32.1428571428571,-61.5384615384615,-39.8496240601504,-75
"2003-04",0,2,1,3,0,1,1,-41.9753086419753,-49.4186046511628,-34.2465753424658,0,0,-58.8235294117647,-70.2702702702703,-43.5483870967742,0
"2003-05",4,1,7,12,0,0,1,-53.3898305084746,-59.8455598455598,-45.320197044335,-15.3846153846154,50,-75.9124087591241,-62.0689655172414,-49.5238095238095,-15.3846153846154
"2003-06",1,1,2,4,0,0,1,-17.3814898419865,-24.3243243243243,-7.58293838862559,37.5,50,-29.6296296296296,-33.9285714285714,-29.6703296703297,37.5
"2003-07",3,4,0,7,0,3,1,-21.038961038961,-29.8701298701299,-7.94701986754967,-42.8571428571429,-42.8571428571429,-35.2941176470588,-39.0243902439024,-17.8571428571429,-42.8571428571429
"2003-08",3,2,0,5,0,2,0,-42.3684210526316,-48.9451476793249,-30.3703703703704,-60,-60,-70.1754385964912,-55.2631578947368,-51.3761467889908,-60
"2003-09",2,4,1,7,0,3,1,-34.5622119815668,-43.4262948207171,-22.2222222222222,-28.5714285714286,-28.5714285714286,-66.6666666666667,-13.2075471698113,-36.1904761904762,-28.5714285714286
"2003-10",4,0,1,5,0,0,0,-31.2871287128713,-43.5215946843854,-11.5,0,0,-79,-18.3333333333333,-31.9148936170213,0
"2003-11",2,3,0,5,0,1,2,-26.4077669902913,-41.3194444444444,-7.20720720720721,-8.33333333333333,-20,-73.394495412844,-12.0689655172414,-37.719298245614,-8.33333333333333
"2003-12",0,2,1,3,0,1,1,-14.3157894736842,-26.3829787234043,-2.10084033613445,0,0,-52.6315789473684,25.531914893617,-39.4366197183099,0
"2004-01",3,1,0,4,0,1,0,-18.8405797101449,-30.9012875536481,-6.03448275862069,-37.5,0,-46.6666666666667,23.9130434782609,-31.5384615384615,-37.5
"2004-02",3,1,0,4,0,1,0,-35.8904109589041,-44.2857142857143,-25,-50,-25,-65.4545454545455,-10.5263157894737,-45.9016393442623,-50
"2004-03",5,1,0,6,0,1,0,-35.6265356265356,-45,-23.0769230769231,-14.2857142857143,-16.6666666666667,-48.7179487179487,-37.8378378378378,-33.9869281045752,-14.2857142857143
"2004-04",0,5,0,5,0,3,2,-22.7272727272727,-32.972972972973,-10.9195402298851,-28.5714285714286,-60,-19.2307692307692,-25.6756756756757,-27.3291925465839,-28.5714285714286
"2004-05",1,9,0,10,0,5,4,-53.8057742782152,-57.7777777777778,-47.2972972972973,-50,-50,-71.9424460431655,-42.8571428571429,-48,-50
"2004-06",1,2,0,3,0,1,1,-27.0114942528736,-30.7692307692308,-21.7687074829932,-40,-66.6666666666667,-51.6666666666667,-36,-11.3821138211382,-40
"2004-07",7,2,6,15,0,2,0,-17.7884615384615,-27.4774774774775,-5.0561797752809,13.3333333333333,13.3333333333333,-60,36.1111111111111,-27.7310924369748,13.3333333333333
"2004-08",2,4,0,6,0,4,0,-32.8159645232816,-42.1052631578947,-19.2090395480226,-75,-83.3333333333333,-61.7647058823529,2.77777777777778,-33.5526315789474,-75
"2004-09",4,3,0,7,0,3,0,-38.9937106918239,-46.9072164948454,-25.4237288135593,-44.4444444444444,-71.4285714285714,-60,-11.1111111111111,-36.0902255639098,-44.4444444444444
"2004-10",1,1,0,2,0,0,1,-28.0701754385965,-32.6923076923077,-21.969696969697,0,0,-82,-3.7037037037037,-30.3571428571429,0
"2004-11",2,0,0,2,0,0,0,-40,-46.6981132075472,-29.940119760479,-40,-50,-65.625,-25,-34.5132743362832,-40
"2004-12",1,1,2,4,0,1,0,-23.7113402061856,-24.4565217391304,-23.0769230769231,0,0,-25,-22.5,-40.4580152671756,0
"2005-01",0,1,0,1,0,1,0,-22.6190476190476,-32.0987654320988,-3.79746835443038,-100,-100,-39.1304347826087,28.125,-36.6336633663366,-100
"2005-02",2,0,1,3,0,0,0,-56.4606741573034,-64.5669291338583,-32.967032967033,-20,0,-76.1904761904762,-84.2105263157895,-73.8219895287958,-20
"2005-03",1,3,0,4,0,2,1,-50.1984126984127,-61.849710982659,-20.6896551724138,-50,-50,-53.1914893617021,-46.6666666666667,-66.1710037174721,-50
"2005-04",1,2,0,3,0,2,0,-45.2574525745258,-54.585152838428,-33.3333333333333,-75,-100,-50,-78.7234042553192,-37.5661375661376,-75
"2005-05",1,1,0,2,0,0,1,-42.3631123919308,-46.8292682926829,-36.5079365079365,50,50,-81.0344827586207,-38.8888888888889,-59.1836734693878,50
"2005-06",2,2,0,4,0,0,2,-33.6734693877551,-42.914979757085,-17.96875,0,-25,-57.8947368421053,-44.8275862068966,-41.304347826087,0
"2005-07",0,1,0,1,0,1,0,-45.5197132616487,-58.3333333333333,-22.5490196078431,-50,-100,-62.2641509433962,-61.1111111111111,-59.7701149425287,-50
"2005-08",1,1,0,2,0,1,0,-39.7993311036789,-51.010101010101,-14.9425287356322,-50,-50,-45.7142857142857,-50,-49.0566037735849,-50
"2005-09",1,6,0,7,0,6,0,-30.2222222222222,-31.25,-20.3703703703704,-100,-100,-65.625,-73.9130434782609,-23.1884057971014,-100
"2005-10",3,7,0,10,0,7,0,-43.1506849315069,-50.625,-33.59375,-90,-90,-61.0619469026549,-31.25,-47.4576271186441,-90
"2005-11",2,2,0,4,0,2,0,-40.661938534279,-47.6439790575916,-36.4864864864865,-75,-75,-56.5573770491803,-8.57142857142857,-28.4090909090909,-75
"2005-12",1,4,0,5,0,3,1,-11.1111111111111,-26.3736263736264,6.15384615384615,-60,-60,-43.6363636363636,53.1914893617021,-42.5,-60
"2006-01",2,8,0,10,0,8,0,-15.8730158730159,-31.4720812182741,2.97619047619048,-100,-100,-40.3846153846154,50,-30.8411214953271,-100
"2006-02",2,0,0,2,0,0,0,-38.996138996139,-42.483660130719,-32.6315789473684,0,0,-47.6190476190476,-8.69565217391304,-58.4158415841584,0
"2006-03",1,2,1,4,0,2,0,-32.0261437908497,-39,-17.5257731958763,-25,-25,-61.6666666666667,-6.25,-36.3636363636364,-25
"2006-04",1,3,0,4,0,1,2,-11.5501519756839,-25.9036144578313,4.63576158940397,-20,-25,-63.1578947368421,51.0204081632653,-23.469387755102,-20
"2006-05",0,1,1,2,0,0,1,-31.6784869976359,-33.4745762711864,-31.8181818181818,33.3333333333333,50,-26.2295081967213,25,-37.0629370629371,33.3333333333333
"2006-06",0,2,0,2,0,0,2,-36.1581920903955,-44.017094017094,-25,0,0,-72.5806451612903,7.14285714285714,-43.1192660550459,0
"2006-07",5,2,0,7,0,2,0,-26.4094955489614,-29.2929292929293,-21.1678832116788,-55.5555555555556,-57.1428571428571,-27.2727272727273,25,-25,-55.5555555555556
"2006-08",4,3,1,8,0,3,0,-2.35294117647059,0,-7.6271186440678,-40,-50,-2.56410256410256,54.5454545454545,0.833333333333333,-40
"2006-09",0,0,3,3,0,0,0,-19.578313253012,-28.1818181818182,-1.03092783505155,50,66.6666666666667,-4.83870967741935,24.1379310344828,-17.4757281553398,50
"2006-10",1,1,4,6,1,0,0,-19.435736677116,-30.9644670050761,11.1111111111111,33.3333333333333,33.3333333333333,-17.5438596491228,39.0243902439024,-49.1525423728814,33.3333333333333
"2006-11",0,2,0,2,0,1,1,12.8953771289538,7.56972111553785,20.5479452054795,-25,-50,28.5714285714286,70,3.38983050847458,-25
"2006-12",0,2,0,2,0,2,0,7.05521472392638,2.09424083769634,15.1260504201681,-50,-100,30,82.6086956521739,-9.375,-50
"2007-01",3,4,4,11,0,3,1,-2.08333333333333,-9.91735537190083,7.82608695652174,-9.09090909090909,-9.09090909090909,10.3448275862069,49.0196078431373,-3.8961038961039,-9.09090909090909
"2007-02",3,4,1,8,1,1,2,5.08474576271187,7.42857142857143,0.943396226415094,0,0,19.5121951219512,52.1739130434783,15.5172413793103,0
"2007-03",4,0,0,4,0,0,0,-0.53475935828877,-1.28205128205128,3.27868852459016,-14.2857142857143,-25,11.5384615384615,53.5714285714286,-3.57142857142857,-14.2857142857143
"2007-04",2,6,0,8,0,5,1,12.0343839541547,2.98507462686567,30.46875,-60,-87.5,3.38983050847458,70.1492537313433,1.44927536231884,-60
"2007-05",2,1,0,3,0,0,1,26.8987341772152,25.6038647342995,30.6930693069307,0,0,57.6271186440678,75.4098360655738,11.7647058823529,0
"2007-06",6,2,0,8,0,2,0,12.2186495176849,14.4329896907216,8,-44.4444444444444,-37.5,37.037037037037,71.7391304347826,-1.55038759689922,-44.4444444444444
"2007-07",5,3,0,8,0,3,0,7.8167115902965,16.5217391304348,0.87719298245614,-60,-75,7.01754385964912,55.5555555555556,12.2641509433962,-60
"2007-08",6,7,0,13,0,7,0,-9.66921119592875,-12.2362869198312,-4.6875,-58.3333333333333,-61.5384615384615,43.75,1.51515151515152,-16.6666666666667,-58.3333333333333
"2007-09",4,6,0,10,0,5,1,-2.4390243902439,-6.89655172413793,1.0752688172043,-57.1428571428571,-80,32.4324324324324,32.4324324324324,5.19480519480519,-57.1428571428571
"2007-10",7,16,0,23,0,11,5,7.06214689265537,4,12.1212121212121,-69.5652173913043,-69.5652173913043,31.8181818181818,13.7931034482759,14.6853146853147,-69.5652173913043
"2007-11",5,16,0,21,0,9,7,-7.8239608801956,4.36507936507936,-23.5294117647059,-59.0909090909091,-57.1428571428571,-2.08333333333333,4.31034482758621,18.75,-59.0909090909091
"2007-12",6,13,0,19,1,10,2,-10.4529616724739,-16.9590643274854,5.43478260869565,-60,-57.8947368421053,-18.75,20,-18.4466019417476,-60
"2008-01",5,12,0,17,0,10,2,1.92307692307692,2.69058295964126,6.15384615384615,-55.5555555555556,-64.7058823529412,13.6363636363636,20.5128205128205,19.5402298850575,-55.5555555555556
"2008-02",2,3,0,5,0,3,0,-4.28571428571429,-5.55555555555556,-15.7894736842105,-33.3333333333333,-60,10.5263157894737,34.375,-1.5625,-33.3333333333333
"2008-03",6,15,0,21,0,12,3,-16.7330677290837,-14.207650273224,-26.4150943396226,-66.6666666666667,-66.6666666666667,3.44827586206897,8.82352941176471,-16.6666666666667,-66.6666666666667
"2008-04",7,14,1,22,1,10,3,-13.2596685082873,-13.3079847908745,-13.4146341463415,-45.4545454545455,-45.4545454545455,-30,4.16666666666667,9.80392156862745,-45.4545454545455
"2008-05",6,11,0,17,0,11,0,-15.5223880597015,-20.1646090534979,-6.02409638554217,-84.2105263157895,-88.2352941176471,0,28.2051282051282,4.83870967741935,-84.2105263157895
"2008-06",3,19,0,22,0,17,2,-32.9073482428115,-42.5837320574163,-11.340206185567,-76.6666666666667,-86.3636363636364,0,-5.55555555555556,-36.6197183098592,-76.6666666666667
"2008-07",11,14,0,25,0,11,3,-20.8494208494208,-34.2245989304813,9.375,-85.1851851851852,-84,57.1428571428571,-37.037037037037,-2.85714285714286,-85.1851851851852
"2008-08",16,1,0,17,0,1,0,-48.6187845303867,-49.3333333333333,-50,-80,-76.4705882352941,-17.6470588235294,-72,-15,-80
"2008-09",6,3,0,9,0,0,3,-22.6361031518625,-21.2121212121212,-29.1139240506329,0,0,-28.5714285714286,-43.6619718309859,-18.4782608695652,0
"2008-10",6,0,1,7,0,0,0,-20.6375838926174,-21.8954248366013,-18.0811808118081,71.4285714285714,71.4285714285714,-27.5862068965517,-59.4339622641509,13.4328358208955,71.4285714285714
"2008-11",3,0,4,7,0,0,0,-37.0843989769821,-39.2523364485981,-36.4161849710983,28.5714285714286,28.5714285714286,-59.375,-79,-43.5897435897436,28.5714285714286
"2008-12",7,1,2,10,0,1,0,-30,-31.5789473684211,-25.2136752136752,0,0,-53.5714285714286,-66.9291338582677,-28.3018867924528,0
"2009-01",6,0,0,6,0,0,0,-34.1772151898734,-42.6174496644295,-24.4094488188976,-66.6666666666667,-66.6666666666667,-38.4615384615385,-79.3478260869565,-40,-66.6666666666667
"2009-02",1,1,1,3,0,0,1,-27.3607748184019,-30.6122448979592,-18.75,66.6666666666667,66.6666666666667,4.76190476190476,-70.3703703703704,-14.0350877192982,66.6666666666667
"2009-03",3,2,2,7,0,1,1,-35.2112676056338,-42.0062695924765,-25.9259259259259,-14.2857142857143,-14.2857142857143,0,-83.206106870229,-71.4285714285714,-14.2857142857143
"2009-04",2,0,0,2,0,0,0,-39.3285371702638,-43.6274509803922,-33.8164251207729,50,50,-60,-72.1854304635762,-44.4444444444444,50
"2009-05",16,1,0,17,0,0,1,-44.8207171314741,-48.9795918367347,-39.5604395604396,35,41.1764705882353,-79.6610169491525,-76.2589928057554,-30,35
"2009-06",3,0,1,4,0,0,0,-38.1642512077295,-40.7017543859649,-30.327868852459,25,25,-53.4883720930233,-52.9411764705882,-45,25
"2009-07",5,0,0,5,0,0,0,-34.984520123839,-40.4878048780488,-25.4901960784314,83.3333333333333,100,-84.375,-33.7837837837838,-46.7741935483871,83.3333333333333
"2009-08",6,0,0,6,0,0,0,-21.5976331360947,-30.9644670050761,-7.43801652892562,16.6666666666667,16.6666666666667,-89.4736842105263,-5.81395348837209,-40.9090909090909,16.6666666666667
"2009-09",4,0,0,4,0,0,0,-27.9605263157895,-30.939226519337,-25.6880733944954,25,25,-67.741935483871,-44.8275862068966,-25,25
"2009-10",0,0,0,0,0,0,0,-39.2785571142285,-50,-31.0344827586207,0,0,-59,-25.7142857142857,-39.622641509434,0
"2009-11",2,1,0,3,0,0,1,-33.0459770114943,-28.4916201117318,-37.6543209876543,0,0,-47.7272727272727,-19.7368421052632,-40.4255319148936,0
"2009-12",5,2,0,7,0,0,2,-27.4611398963731,-28.9617486338798,-26.7045454545455,57.1428571428571,57.1428571428571,-62.6865671641791,-23.8095238095238,-17.910447761194,57.1428571428571
"2010-01",3,0,0,3,0,0,0,-33.8383838383838,-42.3255813953488,-19.2307692307692,0,0,-40,-27.906976744186,-48.1481481481481,0
"2010-02",1,1,2,4,0,1,0,-25.1989389920424,-34.7328244274809,-0.917431192660551,0,0,-40.3846153846154,-45.4545454545455,-28.4883720930233,0
"2010-03",5,2,0,7,0,1,1,-30.4878048780488,-36.6666666666667,-17.3184357541899,-14.2857142857143,-14.2857142857143,-48.695652173913,-52,-27.5167785234899,-14.2857142857143
"2010-04",4,1,1,6,0,1,0,-17.2839506172839,-19.7452229299363,-12.987012987013,0,-16.6666666666667,-31.1926605504587,-21.7391304347826,3.125,0
"2010-05",4,3,0,7,0,0,3,-33.9325842696629,-36.0975609756098,-31.304347826087,-11.1111111111111,-28.5714285714286,-40.6779661016949,-5.71428571428571,-22.2222222222222,-11.1111111111111
"2010-06",4,2,0,6,0,0,2,-8.43091334894614,-8.62619808306709,-6.25,0,-16.6666666666667,-17.6470588235294,-16.1290322580645,40,0
"2010-07",0,0,0,0,0,0,0,-1.60771704180064,4.5662100456621,-11.4942528735632,0,0,-36.3636363636364,54.2372881355932,-23.3333333333333,0
"2010-08",2,0,0,2,0,0,0,-0.495049504950495,0,4.34782608695652,-25,0,-36.3636363636364,64.6153846153846,-16.9934640522876,-25
"2010-09",1,0,0,1,0,0,0,-15.9029649595687,-14.5922746781116,-16.1538461538462,0,0,-28.5714285714286,44.4444444444444,-25.3731343283582,0
"2010-10",3,2,0,5,0,0,2,11.2299465240642,5.66801619433198,23.3870967741935,-20,-20,-4.34782608695652,75.9036144578313,-7.90960451977401,-20
"2010-11",2,0,0,2,0,0,0,13.9455782312925,21.8274111675127,-1.0752688172043,0,0,2.08333333333333,82.2222222222222,1.33333333333333,0
"2010-12",5,1,0,6,0,0,1,1.28205128205128,2.48756218905473,-0.917431192660551,-42.8571428571429,-50,-27.2727272727273,65,-21.6216216216216,-42.8571428571429
"2011-01",10,3,0,13,0,1,2,-5.76131687242798,-9.8159509202454,3.84615384615385,-47.0588235294118,-38.4615384615385,-36.8421052631579,80.9523809523809,-34.2857142857143,-47.0588235294118
"2011-02",4,10,0,14,0,2,8,-21.1469534050179,-29.2682926829268,-14.018691588785,0,-21.4285714285714,-50,0,-25.9036144578313,0
"2011-03",6,3,0,9,0,1,2,-13.8728323699422,-12.0879120879121,-11.8421052631579,-47.0588235294118,-66.6666666666667,-19.6078431372549,42.8571428571429,-7.5,-47.0588235294118
"2011-04",7,4,0,11,0,1,3,11.6504854368932,11,16.8316831683168,-38.4615384615385,-45.4545454545455,13.1578947368421,69.2307692307692,8.7719298245614,-38.4615384615385
"2011-05",3,5,0,8,0,0,5,8.62068965517241,8.52713178294574,9.09090909090909,-15.7894736842105,-12.5,1.49253731343284,72.2222222222222,-10.6382978723404,-15.7894736842105
"2011-06",2,1,0,3,0,0,1,-7.35930735930736,6.25,-25.2525252525253,-48.1481481481481,-33.3333333333333,-11.1111111111111,76.4705882352941,2.5,-48.1481481481481
"2011-07",3,0,0,3,0,0,0,-13.013698630137,-0.99009900990099,-34.2105263157895,-28.5714285714286,-66.6666666666667,-14.8148148148148,73.6842105263158,-34.8837209302326,-28.5714285714286
"2011-08",2,1,0,3,0,1,0,8.83977900552486,13.7096774193548,0,-26.6666666666667,-33.3333333333333,16.6666666666667,12,34.2857142857143,-26.6666666666667
"2011-09",3,2,0,5,0,1,1,-11.0526315789474,-8.62068965517241,-19.1176470588235,-37.037037037037,-40,-2.77777777777778,8.57142857142857,-5.26315789473684,-37.037037037037
"2011-10",3,2,0,5,0,2,0,-14.0684410646388,-25.9259259259259,-12.3893805309735,-41.3793103448276,-60,7.5,6.06060606060606,-20,-41.3793103448276
"2011-11",3,1,0,4,0,1,0,3.9426523297491,7.48299319727891,0.819672131147541,-30,-25,-8.45070422535211,34.6153846153846,20.8955223880597,-30
"2011-12",5,2,0,7,0,2,0,-12.5581395348837,-2.72727272727273,-26.0869565217391,-38.4615384615385,-71.4285714285714,-21.7391304347826,-10.8695652173913,-30.7692307692308,-38.4615384615385
"2012-01",2,1,1,4,0,1,0,15.6716417910448,18.6335403726708,6.97674418604651,-50,-50,26.1904761904762,36,16.8674698795181,-50
"2012-02",1,2,0,3,0,2,0,0,5.71428571428571,-17.9487179487179,-62.5,-100,-9.375,37.9310344827586,0,-62.5
"2012-03",4,2,0,6,0,2,0,-31.1643835616438,-39.344262295082,-19.3181818181818,-45.4545454545455,-66.6666666666667,-52.7027027027027,40,-34.7826086956522,-45.4545454545455
"2012-04",3,1,3,7,0,1,0,10.2459016393443,11.5151515151515,11.1111111111111,22.2222222222222,42.8571428571429,2.38095238095238,75,0,22.2222222222222
"2012-05",5,1,2,8,0,1,0,-2.76497695852535,1.5625,-12.5,0,12.5,5.66037735849057,45.4545454545455,1.63934426229508,0
"2012-06",1,2,5,8,1,0,1,-17.9245283018868,-18.1818181818182,-20.8955223880597,-18.75,50,-19.672131147541,-6.66666666666667,-24.390243902439,-18.75
"2012-07",2,1,0,3,0,0,1,-22.568093385214,-18.125,-34.5238095238095,-38.4615384615385,0,-22.5,-33.9622641509434,-22.7272727272727,-38.4615384615385
"2012-08",3,1,0,4,0,1,0,-10.6529209621993,-14.0243902439024,-11.1111111111111,-39.1304347826087,-50,-7.89473684210526,31.5789473684211,-11.1111111111111,-39.1304347826087
"2012-09",2,3,0,5,0,2,1,-30.5084745762712,-20.9302325581395,-42.8571428571429,-33.3333333333333,-60,-31.4285714285714,-16.1290322580645,-28.3582089552239,-33.3333333333333
"2012-10",9,2,0,11,0,1,1,-12.8301886792453,-10.7142857142857,-16.6666666666667,-32,-36.3636363636364,11.1111111111111,-14.6341463414634,-22.4137931034483,-32
"2012-11",0,0,0,0,0,0,0,-28.3524904214559,-25,-33.3333333333333,-53.3333333333333,0,-37.7358490566038,3.84615384615385,-36.734693877551,-53.3333333333333
"2012-12",2,1,0,3,0,1,0,-4.14746543778802,-2.36220472440945,-12.3456790123457,-28.5714285714286,-33.3333333333333,0,2.7027027027027,-32.0754716981132,-28.5714285714286
"2013-01",6,1,1,8,0,1,0,-11.2107623318386,-10.9489051094891,-11.4754098360656,-40,-37.5,-33.3333333333333,40,-18.9189189189189,-40
"2013-02",3,1,1,5,0,1,0,-16.0975609756098,-17.4603174603175,-12.9032258064516,0,0,-50,38.0952380952381,-25.8620689655172,0
"2013-03",4,0,0,4,0,0,0,-7.8740157480315,-13.768115942029,-7.69230769230769,20,50,-13.4615384615385,15.3846153846154,-18.9189189189189,20
"2013-04",3,0,2,5,0,0,0,-6.37254901960784,-5.88235294117647,-17.4603174603175,0,60,15.3846153846154,31.5789473684211,-3.94736842105263,0
"2013-05",4,1,1,6,0,1,0,-15.9817351598174,-17.8571428571429,-15.0943396226415,-45,0,-53.8461538461538,33.3333333333333,-8.95522388059701,-45
"2013-06",2,3,0,5,0,3,0,-19,-19.2982456140351,-13.2352941176471,-45.4545454545455,-80,-26.5625,-25,-16.2790697674419,-45.4545454545455
"2013-07",1,4,0,5,0,3,1,-7.9646017699115,-3.03030303030303,-7.40740740740741,-33.3333333333333,-80,8.33333333333333,31.25,-11.5384615384615,-33.3333333333333
"2013-08",4,0,1,5,0,0,0,-13.1386861313869,-16.0493827160494,-34.4827586206897,12.5,20,0,31.8181818181818,-35.5555555555556,12.5
"2013-09",1,1,1,3,0,1,0,-4.5045045045045,3.50877192982456,-13.5135135135135,-25,0,0,70.5882352941177,-18.1818181818182,-25
"2013-10",2,1,4,7,0,0,1,-12.5,-13.9240506329114,-9,33.3333333333333,42.8571428571429,-28,20,-12.1621621621622,33.3333333333333
"2013-11",4,0,0,4,0,0,0,-3.71900826446281,3.92156862745098,-10.4,-46.1538461538462,0,-26.3157894736842,56.6666666666667,-17.4418604651163,-46.1538461538462
"2013-12",2,0,0,2,0,0,0,-7.06521739130435,-11.1111111111111,-2.88461538461538,-100,-100,-46.4285714285714,50,-24.2857142857143,-100
"2014-01",6,0,2,8,0,0,0,10.7981220657277,23.6842105263158,-8.69565217391304,30,37.5,29.1666666666667,82.6086956521739,6.02409638554217,30
"2014-02",0,0,2,2,0,0,0,0.917431192660551,9.09090909090909,-8.10810810810811,-12.5,50,35.7142857142857,47.3684210526316,-9.375,-12.5
"2014-03",2,0,1,3,0,0,0,-15.2284263959391,-11.4583333333333,-21.9512195121951,-42.8571428571429,-33.3333333333333,-2.56410256410256,35.7142857142857,-25.7575757575758,-42.8571428571429
"2014-04",2,1,2,5,0,1,0,-4.45544554455445,-19.6078431372549,0,11.1111111111111,60,-7.40740740740741,64.5161290322581,11.1111111111111,11.1111111111111
"2014-05",1,0,0,1,0,0,0,-4.04040404040404,-7.69230769230769,0,0,0,-5.40540540540541,37.5,-1.72413793103448,0
"2014-06",6,1,4,11,0,0,1,-23.1527093596059,-31.1926605504587,0,-21.7391304347826,27.2727272727273,-2.17391304347826,20,-47.5409836065574,-21.7391304347826
"2014-07",1,0,1,2,0,0,0,-2.28571428571429,-7.69230769230769,0,100,100,8.33333333333333,56.25,12.7272727272727,100
"2014-08",3,0,3,6,0,0,0,-29.3706293706294,-46.7391304347826,0,10,33.3333333333333,5.55555555555556,-39.1304347826087,4.76190476190476,10
