ifo Institut,File Nr. 1 / 1,12 Reihen pro Jahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurzname:,C0000000:GU+§BDU,C0000000:GU=§BDU,C0000000:GU-§BDU,C0000000:GUS§BDU,C0000000:GUS§BDS,C0000000:QV+§BDU,C0000000:QV=§BDU,C0000000:QV-§BDU,C0000000:QVS§BDU,C0000000:QVS§BDS,C0000000:LU+§BDU,C0000000:LU=§BDU,C0000000:LU-§BDU,C0000000:LUS§BDU,C0000000:LUS§BDS,C0000000:AV+§BDU,C0000000:AV=§BDU,C0000000:AV-§BDU,C0000000:AVS§BDU,C0000000:AVS§BDS,C0000000:BV+§BDU,C0000000:BV=§BDU,C0000000:BV-§BDU,C0000000:BVS§BDU,C0000000:BVS§BDS,C0000000:BU+§BDU,C0000000:BU=§BDU,C0000000:BU-§BDU,C0000000:BUS§BDU,C0000000:BUS§BDS,C0000000:PV+§BDU,C0000000:PV=§BDU,C0000000:PV-§BDU,C0000000:PVS§BDU,C0000000:PVS§BDS,C0000000:QE+§BDU,C0000000:QE=§BDU,C0000000:QE-§BDU,C0000000:QES§BDU,C0000000:QES§BDS,C0000000:PW+§BDU,C0000000:PW=§BDU,C0000000:PW-§BDU,C0000000:PWS§BDU,C0000000:PWS§BDS,C0000000:XE+§BDU,C0000000:XE=§BDU,C0000000:XE-§BDU,C0000000:XES§BDU,C0000000:XES§BDS,C0000000:XU+§BDU,C0000000:XU=§BDU,C0000000:XU-§BDU,C0000000:XUS§BDU,C0000000:XUS§BDS,C0000000:GE+§BDU,C0000000:GE=§BDU,C0000000:GE-§BDU,C0000000:GES§BDU,C0000000:GES§BDS,C0000000:BE+§BDU,C0000000:BE=§BDU,C0000000:BE-§BDU,C0000000:BES§BDU,C0000000:BES§BDS,C0000000:KLD§BDU,C0000000:KLD§BDS
 10/1991,,,,,4.8,,,,,0.0,,,,,6.0,,,,,-1.0,,,,,-8.1,,,,,-20.4,,,,,2.8,,,,,6.0,,,,,11.8,,,,,4.4,,,,,-40.3,,,,,0.0,,,,,,,2.4
 11/1991,,,,,5.9,,,,,-1.8,,,,,6.6,,,,,2.2,,,,,-9.3,,,,,-24.4,,,,,0.5,,,,,8.4,,,,,15.8,,,,,4.1,,,,,-38.2,,,,,0.2,,,,,,,3.0
 12/1991,,,,,3.7,,,,,-2.1,,,,,7.6,,,,,0.4,,,,,-7.5,,,,,-23.4,,,,,1.1,,,,,5.4,,,,,14.9,,,,,1.9,,,,,-38.7,,,,,-3.0,,,,,,,0.3
 01/1992,,,,,0.5,,,,,-4.4,,,,,9.1,,,,,-4.9,,,,,-11.0,,,,,-21.7,,,,,3.4,,,,,-0.9,,,,,16.8,,,,,-1.3,,,,,-38.4,,,,,-5.0,,,,,,,-2.3
 02/1992,,,,,-0.4,,,,,-5.7,,,,,10.0,,,,,-5.0,,,,,-9.9,,,,,-24.7,,,,,4.7,,,,,0.2,,,,,14.7,,,,,-1.2,,,,,-41.6,,,,,-5.9,,,,,,,-3.1
 03/1992,,,,,-2.4,,,,,-5.6,,,,,11.3,,,,,-8.3,,,,,-11.0,,,,,-25.0,,,,,8.0,,,,,0.5,,,,,14.4,,,,,0.5,,,,,-41.4,,,,,-3.2,,,,,,,-2.8
 04/1992,,,,,-3.5,,,,,-2.8,,,,,10.7,,,,,-5.4,,,,,-14.9,,,,,-27.8,,,,,5.7,,,,,-1.5,,,,,13.9,,,,,0.8,,,,,-42.3,,,,,-5.1,,,,,,,-4.3
 05/1992,,,,,-7.9,,,,,-9.6,,,,,12.8,,,,,-10.9,,,,,-17.2,,,,,-30.7,,,,,4.5,,,,,-0.6,,,,,10.9,,,,,2.9,,,,,-41.9,,,,,-2.9,,,,,,,-5.4
 06/1992,,,,,-9.2,,,,,-6.6,,,,,12.6,,,,,-5.9,,,,,-18.5,,,,,-33.7,,,,,3.2,,,,,0.3,,,,,8.8,,,,,1.5,,,,,-42.5,,,,,-6.4,,,,,,,-7.8
 07/1992,,,,,-14.2,,,,,-12.1,,,,,14.1,,,,,-11.2,,,,,-22.1,,,,,-34.6,,,,,0.7,,,,,1.1,,,,,6.8,,,,,-0.3,,,,,-43.2,,,,,-7.9,,,,,,,-11.1
 08/1992,,,,,-17.5,,,,,-11.9,,,,,16.6,,,,,-17.2,,,,,-24.2,,,,,-40.4,,,,,-2.7,,,,,-6.0,,,,,5.1,,,,,-5.0,,,,,-44.2,,,,,-17.2,,,,,,,-17.4
 09/1992,,,,,-22.0,,,,,-17.9,,,,,19.7,,,,,-21.9,,,,,-29.6,,,,,-44.1,,,,,-4.0,,,,,-16.8,,,,,3.1,,,,,-13.3,,,,,-50.2,,,,,-23.6,,,,,,,-22.8
 10/1992,,,,,-29.3,,,,,-18.2,,,,,21.0,,,,,-27.6,,,,,-33.4,,,,,-49.4,,,,,-6.1,,,,,-25.0,,,,,2.8,,,,,-15.6,,,,,-52.3,,,,,-32.0,,,,,,,-30.6
 11/1992,,,,,-32.8,,,,,-24.5,,,,,26.6,,,,,-29.3,,,,,-35.3,,,,,-53.4,,,,,-6.5,,,,,-25.5,,,,,1.8,,,,,-17.9,,,,,-54.2,,,,,-35.9,,,,,,,-34.3
 12/1992,,,,,-34.2,,,,,-24.0,,,,,23.7,,,,,-15.9,,,,,-26.3,,,,,-53.4,,,,,-8.0,,,,,-24.5,,,,,5.0,,,,,-15.1,,,,,-56.7,,,,,-29.0,,,,,,,-31.6
 01/1993,,,,,-37.6,,,,,-24.6,,,,,26.1,,,,,-21.8,,,,,-31.1,,,,,-55.6,,,,,-2.5,,,,,-18.9,,,,,-1.2,,,,,-13.3,,,,,-58.3,,,,,-25.0,,,,,,,-31.4
 02/1993,,,,,-44.0,,,,,-19.6,,,,,25.0,,,,,-22.7,,,,,-29.9,,,,,-58.7,,,,,-7.3,,,,,-19.8,,,,,-2.3,,,,,-13.2,,,,,-57.7,,,,,-28.0,,,,,,,-36.2
 03/1993,,,,,-43.7,,,,,-18.1,,,,,24.3,,,,,-20.0,,,,,-32.2,,,,,-60.0,,,,,-11.0,,,,,-19.7,,,,,-0.6,,,,,-10.5,,,,,-58.4,,,,,-22.2,,,,,,,-33.3
 04/1993,,,,,-46.5,,,,,-26.7,,,,,25.6,,,,,-18.4,,,,,-25.8,,,,,-62.8,,,,,-10.3,,,,,-18.6,,,,,-4.1,,,,,-11.2,,,,,-59.3,,,,,-25.2,,,,,,,-36.2
 05/1993,,,,,-46.9,,,,,-17.4,,,,,25.8,,,,,-16.9,,,,,-28.3,,,,,-61.7,,,,,-11.5,,,,,-14.6,,,,,-5.1,,,,,-10.1,,,,,-59.9,,,,,-22.9,,,,,,,-35.3
 06/1993,,,,,-46.2,,,,,-14.9,,,,,25.5,,,,,-13.2,,,,,-21.8,,,,,-60.7,,,,,-13.8,,,,,-13.6,,,,,-4.2,,,,,-6.5,,,,,-57.5,,,,,-15.3,,,,,,,-31.4
 07/1993,,,,,-50.2,,,,,-19.9,,,,,28.1,,,,,-13.7,,,,,-21.1,,,,,-62.6,,,,,-11.3,,,,,-13.8,,,,,-3.3,,,,,-8.3,,,,,-61.3,,,,,-13.9,,,,,,,-33.0
 08/1993,,,,,-45.4,,,,,-12.0,,,,,25.6,,,,,-2.6,,,,,-17.6,,,,,-60.5,,,,,-11.7,,,,,-9.0,,,,,-4.0,,,,,-6.0,,,,,-59.2,,,,,-9.2,,,,,,,-28.3
 09/1993,,,,,-46.0,,,,,-10.4,,,,,23.8,,,,,-2.3,,,,,-14.7,,,,,-59.1,,,,,-12.0,,,,,-8.9,,,,,-3.0,,,,,-6.3,,,,,-59.2,,,,,-8.6,,,,,,,-28.4
 10/1993,,,,,-43.3,,,,,-11.7,,,,,24.0,,,,,-7.3,,,,,-12.0,,,,,-58.4,,,,,-9.1,,,,,-3.1,,,,,-4.1,,,,,-1.6,,,,,-57.3,,,,,-4.0,,,,,,,-24.7
 11/1993,,,,,-42.1,,,,,-5.0,,,,,21.6,,,,,2.2,,,,,-8.7,,,,,-56.5,,,,,-8.6,,,,,-1.5,,,,,-6.1,,,,,-0.9,,,,,-57.1,,,,,-4.9,,,,,,,-24.5
 12/1993,,,,,-41.2,,,,,-3.6,,,,,21.7,,,,,-3.7,,,,,-11.6,,,,,-55.5,,,,,-10.0,,,,,-1.3,,,,,-3.9,,,,,2.0,,,,,-56.7,,,,,2.1,,,,,,,-20.8
 01/1994,,,,,-38.5,,,,,-2.0,,,,,19.1,,,,,2.7,,,,,-7.5,,,,,-53.6,,,,,-11.4,,,,,0.2,,,,,-3.2,,,,,5.7,,,,,-54.2,,,,,4.0,,,,,,,-18.5
 02/1994,,,,,-31.0,,,,,2.6,,,,,15.0,,,,,11.5,,,,,-0.6,,,,,-48.8,,,,,-10.4,,,,,3.2,,,,,-2.2,,,,,7.7,,,,,-52.7,,,,,6.0,,,,,,,-13.4
 03/1994,,,,,-27.7,,,,,2.6,,,,,15.2,,,,,12.7,,,,,-3.4,,,,,-46.0,,,,,-7.9,,,,,5.2,,,,,-0.6,,,,,9.5,,,,,-47.5,,,,,9.7,,,,,,,-9.9
 04/1994,,,,,-22.5,,,,,2.0,,,,,12.6,,,,,10.5,,,,,2.7,,,,,-42.8,,,,,-6.2,,,,,9.3,,,,,1.8,,,,,12.7,,,,,-46.3,,,,,18.7,,,,,,,-3.0
 05/1994,,,,,-20.8,,,,,8.3,,,,,11.8,,,,,16.7,,,,,6.1,,,,,-37.7,,,,,-3.5,,,,,10.4,,,,,6.0,,,,,13.9,,,,,-42.9,,,,,18.1,,,,,,,-2.3
 06/1994,,,,,-15.2,,,,,8.2,,,,,11.4,,,,,14.8,,,,,4.3,,,,,-35.6,,,,,-1.7,,,,,12.5,,,,,6.7,,,,,12.6,,,,,-40.5,,,,,19.8,,,,,,,1.6
 07/1994,,,,,-11.3,,,,,7.2,,,,,9.2,,,,,12.9,,,,,4.0,,,,,-33.6,,,,,1.6,,,,,11.3,,,,,8.6,,,,,13.7,,,,,-39.3,,,,,19.2,,,,,,,3.4
 08/1994,,,,,-7.2,,,,,5.2,,,,,8.6,,,,,12.4,,,,,5.2,,,,,-27.5,,,,,4.3,,,,,9.0,,,,,10.9,,,,,10.0,,,,,-37.2,,,,,16.8,,,,,,,4.4
 09/1994,,,,,-1.0,,,,,6.3,,,,,6.8,,,,,14.3,,,,,9.3,,,,,-23.1,,,,,3.9,,,,,13.0,,,,,13.9,,,,,13.6,,,,,-32.2,,,,,20.3,,,,,,,9.4
 10/1994,,,,,3.7,,,,,9.0,,,,,3.1,,,,,16.5,,,,,7.6,,,,,-21.4,,,,,3.8,,,,,17.8,,,,,17.8,,,,,15.4,,,,,-31.4,,,,,25.0,,,,,,,14.1
 11/1994,,,,,7.9,,,,,17.0,,,,,4.6,,,,,25.2,,,,,13.4,,,,,-15.5,,,,,11.3,,,,,17.5,,,,,22.0,,,,,19.1,,,,,-27.1,,,,,28.2,,,,,,,17.8
 12/1994,,,,,6.8,,,,,8.3,,,,,3.7,,,,,16.1,,,,,9.6,,,,,-14.5,,,,,9.0,,,,,20.9,,,,,23.3,,,,,17.1,,,,,-22.7,,,,,24.2,,,,,,,15.4
 01/1995,,,,,9.5,,,,,11.7,,,,,4.1,,,,,11.3,,,,,7.1,,,,,-15.5,,,,,12.8,,,,,19.2,,,,,20.9,,,,,13.8,,,,,-22.2,,,,,22.1,,,,,,,15.7
 02/1995,,,,,11.0,,,,,8.7,,,,,3.9,,,,,16.7,,,,,8.6,,,,,-9.7,,,,,12.5,,,,,15.1,,,,,20.8,,,,,11.7,,,,,-20.6,,,,,17.8,,,,,,,14.4
 03/1995,,,,,8.3,,,,,4.3,,,,,4.2,,,,,6.4,,,,,1.6,,,,,-13.9,,,,,10.2,,,,,13.0,,,,,17.4,,,,,7.5,,,,,-23.5,,,,,12.7,,,,,,,10.5
 04/1995,,,,,7.4,,,,,2.7,,,,,6.6,,,,,0.6,,,,,-2.9,,,,,-13.8,,,,,10.9,,,,,6.2,,,,,13.8,,,,,4.7,,,,,-22.2,,,,,4.6,,,,,,,6.0
 05/1995,,,,,4.2,,,,,6.0,,,,,6.8,,,,,7.1,,,,,-1.5,,,,,-13.7,,,,,6.4,,,,,6.3,,,,,12.0,,,,,3.8,,,,,-23.9,,,,,4.1,,,,,,,4.2
 06/1995,,,,,5.8,,,,,-4.1,,,,,6.3,,,,,-7.5,,,,,-7.1,,,,,-14.6,,,,,5.3,,,,,4.6,,,,,11.6,,,,,4.7,,,,,-24.5,,,,,-0.1,,,,,,,2.8
 07/1995,,,,,1.7,,,,,-0.4,,,,,7.2,,,,,-5.2,,,,,-7.5,,,,,-17.7,,,,,1.6,,,,,3.4,,,,,8.5,,,,,6.7,,,,,-24.4,,,,,-1.8,,,,,,,0.0
 08/1995,,,,,-2.2,,,,,-0.6,,,,,7.7,,,,,-4.7,,,,,-7.8,,,,,-19.5,,,,,1.3,,,,,0.0,,,,,6.7,,,,,7.0,,,,,-25.3,,,,,-2.2,,,,,,,-2.2
 09/1995,,,,,-2.1,,,,,-6.5,,,,,10.8,,,,,-7.4,,,,,-11.2,,,,,-25.1,,,,,-1.2,,,,,1.9,,,,,3.7,,,,,7.5,,,,,-26.3,,,,,-0.7,,,,,,,-1.4
 10/1995,,,,,-4.2,,,,,-7.4,,,,,10.1,,,,,-4.0,,,,,-6.9,,,,,-23.4,,,,,-0.1,,,,,1.8,,,,,2.9,,,,,6.3,,,,,-27.5,,,,,-4.0,,,,,,,-4.1
 11/1995,,,,,-6.0,,,,,-5.7,,,,,9.6,,,,,-6.6,,,,,-14.1,,,,,-25.5,,,,,-2.8,,,,,-0.5,,,,,3.1,,,,,6.2,,,,,-30.1,,,,,-1.8,,,,,,,-3.9
 12/1995,,,,,-6.3,,,,,-7.7,,,,,10.7,,,,,-7.7,,,,,-12.2,,,,,-28.5,,,,,-1.1,,,,,0.2,,,,,1.5,,,,,6.2,,,,,-30.6,,,,,-6.6,,,,,,,-6.4
 01/1996,,,,,-11.9,,,,,-8.2,,,,,12.1,,,,,-7.6,,,,,-13.4,,,,,-31.4,,,,,-3.0,,,,,-4.6,,,,,0.9,,,,,5.9,,,,,-32.1,,,,,-8.8,,,,,,,-10.3
 02/1996,,,,,-15.9,,,,,-12.5,,,,,14.9,,,,,-12.7,,,,,-19.5,,,,,-35.7,,,,,-6.5,,,,,-7.9,,,,,-4.0,,,,,2.7,,,,,-32.6,,,,,-9.3,,,,,,,-12.6
 03/1996,,,,,-18.8,,,,,-15.1,,,,,16.1,,,,,-14.6,,,,,-17.3,,,,,-36.9,,,,,-4.7,,,,,-10.1,,,,,-2.5,,,,,3.5,,,,,-33.5,,,,,-12.3,,,,,,,-15.6
 04/1996,,,,,-17.5,,,,,-12.8,,,,,16.5,,,,,-7.0,,,,,-19.0,,,,,-35.8,,,,,-10.9,,,,,-9.0,,,,,-2.3,,,,,2.7,,,,,-34.2,,,,,-11.6,,,,,,,-14.5
 05/1996,,,,,-20.8,,,,,-15.5,,,,,16.9,,,,,-2.7,,,,,-16.1,,,,,-38.7,,,,,-8.6,,,,,-8.7,,,,,-2.0,,,,,5.8,,,,,-33.9,,,,,-10.9,,,,,,,-15.9
 06/1996,,,,,-23.3,,,,,-15.2,,,,,16.3,,,,,-8.4,,,,,-10.5,,,,,-40.6,,,,,-5.6,,,,,-8.4,,,,,-2.4,,,,,0.7,,,,,-35.4,,,,,-9.1,,,,,,,-16.3
 07/1996,,,,,-22.2,,,,,-11.1,,,,,16.2,,,,,-0.5,,,,,-10.1,,,,,-37.8,,,,,-6.5,,,,,-4.4,,,,,-1.6,,,,,4.7,,,,,-35.5,,,,,-6.8,,,,,,,-14.6
 08/1996,,,,,-20.3,,,,,-8.1,,,,,16.7,,,,,-7.6,,,,,-11.4,,,,,-35.6,,,,,-4.8,,,,,-4.0,,,,,0.6,,,,,6.0,,,,,-34.4,,,,,-1.2,,,,,,,-11.0
 09/1996,,,,,-17.1,,,,,-1.5,,,,,15.9,,,,,1.7,,,,,-8.1,,,,,-35.2,,,,,-4.3,,,,,-0.4,,,,,0.6,,,,,6.4,,,,,-31.3,,,,,3.2,,,,,,,-7.2
 10/1996,,,,,-13.2,,,,,-2.8,,,,,15.1,,,,,8.4,,,,,-6.4,,,,,-31.4,,,,,-4.1,,,,,3.8,,,,,0.9,,,,,9.2,,,,,-29.6,,,,,7.1,,,,,,,-3.3
 11/1996,,,,,-14.1,,,,,-2.3,,,,,14.6,,,,,0.6,,,,,-2.7,,,,,-32.5,,,,,-6.8,,,,,4.6,,,,,0.3,,,,,10.3,,,,,-28.0,,,,,7.3,,,,,,,-3.7
 12/1996,,,,,-11.3,,,,,-1.4,,,,,13.7,,,,,1.7,,,,,-3.5,,,,,-33.5,,,,,-3.1,,,,,5.5,,,,,-1.3,,,,,10.3,,,,,-29.5,,,,,6.6,,,,,,,-2.6
 01/1997,,,,,-13.5,,,,,0.8,,,,,11.1,,,,,3.7,,,,,-2.6,,,,,-30.4,,,,,-7.8,,,,,6.5,,,,,0.0,,,,,15.0,,,,,-26.0,,,,,7.3,,,,,,,-3.4
 02/1997,,,,,-9.0,,,,,0.3,,,,,10.9,,,,,5.2,,,,,0.2,,,,,-26.7,,,,,-1.6,,,,,7.0,,,,,3.0,,,,,13.6,,,,,-24.5,,,,,8.6,,,,,,,-0.4
 03/1997,,,,,-6.9,,,,,-0.1,,,,,9.1,,,,,7.6,,,,,6.7,,,,,-25.8,,,,,-3.6,,,,,5.8,,,,,2.5,,,,,13.5,,,,,-25.5,,,,,7.7,,,,,,,0.2
 04/1997,,,,,-4.3,,,,,8.3,,,,,8.5,,,,,14.1,,,,,4.9,,,,,-21.9,,,,,0.1,,,,,4.8,,,,,5.7,,,,,12.6,,,,,-24.3,,,,,10.2,,,,,,,2.8
 05/1997,,,,,-0.2,,,,,-1.3,,,,,7.9,,,,,2.3,,,,,4.1,,,,,-22.8,,,,,1.3,,,,,4.2,,,,,4.0,,,,,7.7,,,,,-24.0,,,,,9.1,,,,,,,4.4
 06/1997,,,,,1.1,,,,,8.4,,,,,7.2,,,,,12.0,,,,,1.2,,,,,-20.5,,,,,-1.7,,,,,6.5,,,,,3.5,,,,,10.8,,,,,-23.4,,,,,8.9,,,,,,,5.0
 07/1997,,,,,5.8,,,,,3.8,,,,,7.3,,,,,8.0,,,,,7.2,,,,,-15.9,,,,,0.5,,,,,9.8,,,,,6.2,,,,,12.7,,,,,-18.6,,,,,11.2,,,,,-10.4,,8.5
 08/1997,,,,,6.7,,,,,-0.8,,,,,5.8,,,,,9.6,,,,,5.1,,,,,-15.7,,,,,1.1,,,,,13.0,,,,,6.4,,,,,14.0,,,,,-18.4,,,,,15.8,,,,,-9.2,,11.2
 09/1997,,,,,12.0,,,,,9.4,,,,,3.9,,,,,15.5,,,,,8.5,,,,,-13.2,,,,,3.6,,,,,10.5,,,,,4.4,,,,,16.3,,,,,-15.3,,,,,19.1,,,,,-7.9,,15.5
 10/1997,,,,,13.8,,,,,9.1,,,,,5.1,,,,,14.2,,,,,8.6,,,,,-11.4,,,,,2.9,,,,,8.8,,,,,8.0,,,,,15.2,,,,,-12.6,,,,,17.2,,,,,-7.7,,15.5
