,Ifo index climate,Ifo expectations-climate,Ifo index manufacturing,Ifo expectations-manufacturing,Ifo index capital goods,Ifo expectations-capital goods,Ifo index intermediate goods ,Ifo expectations-intermediate goods ,Ifo index wholesale,Ifo expectations-intermediate goods
1992-10,-26,-27.5,-30.63,-31.96,-34.64,-43.86,-33.66,-29.75,-27.73,-31.83
1992-11,-29.6,-30.2,-34.34,-35.86,-41.34,-50.74,-38.11,-32.41,-31.39,-31.09
1992-12,-27,-26.8,-31.6,-28.96,-38.15,-42.4,-34.26,-23.87,-25.88,-27.83
1993-01,-28.6,-23.3,-31.43,-25.03,-36.24,-34.11,-34.96,-24.54,-34.02,-31.93
1993-02,-32.2,-25.8,-36.17,-27.96,-40.25,-33.96,-40.3,-27.31,-35.6,-33.88
1993-03,-28.2,-19.8,-33.31,-22.21,-40.55,-32.67,-37.59,-20.63,-31.82,-26.36
1993-04,-29.7,-22.1,-36.16,-25.17,-44.74,-35.72,-38.93,-22.62,-26.75,-22.77
1993-05,-30.9,-21,-35.31,-22.87,-41.14,-29.44,-38.98,-22.49,-31.43,-23.69
1993-06,-28.4,-16.1,-31.43,-15.27,-39.19,-21.31,-35.64,-14.05,-29.12,-19.8
1993-07,-27.7,-14.5,-33.03,-13.86,-40.34,-20.27,-36.51,-11.57,-29.02,-21.74
1993-08,-23.9,-10.5,-28.28,-9.21,-35.09,-13.68,-31.05,-6.73,-24.5,-16.71
1993-09,-25.4,-11.5,-28.36,-8.65,-37.14,-15.86,-27.67,-2.96,-30.35,-25.38
1993-10,-24.2,-8.2,-24.75,-3.95,-30.99,-7.78,-24.9,-0.76,-29.74,-20.83
1993-11,-22.4,-8.6,-24.46,-4.88,-34.38,-12.77,-24.12,-0.4,-22.67,-17.09
1993-12,-20.3,-3.6,-20.82,2.13,-28.71,-1.39,-22.08,2.17,-23.8,-13.83
1994-01,-20.5,-3,-18.51,4.02,-27.52,-1.92,-16.88,8.45,-28.76,-13.93
1994-02,-15.1,-1.3,-13.44,5.95,-21.92,-0.18,-11.03,11.68,-21.24,-13.88
1994-03,-12.2,2.5,-9.92,9.73,-16.22,7.29,-9.03,13.19,-17.92,-9.36
1994-04,-8.4,8.4,-2.96,18.74,-7.01,20.11,-0.36,19.42,-15.92,-3.77
1994-05,-7.2,8.2,-2.31,18.13,-6.76,21.63,1.65,21.4,-15.11,-6.69
1994-06,-3.7,10.5,1.57,19.83,-3.14,21.79,4.95,23.09,-8.09,1.2
1994-07,-4.9,9.2,3.37,19.17,1.61,21.73,6.77,22.39,-13.4,-4.74
1994-08,-3.3,7.2,4.45,16.8,3.49,18.42,7.99,22.32,-10.94,-5.71
1994-09,0.9,11.9,9.36,20.31,9.08,22.98,15.6,27.06,-8.01,1.62
1994-10,3.5,14.4,14.1,25.04,16.16,32.31,18.57,29.22,-8.47,0.17
1994-11,4,15.1,17.8,28.16,20.94,35.24,22.15,30.65,-14.94,-3.09
1994-12,2.8,12.7,15.36,24.22,16.41,27.65,23.27,31.24,-12.79,-2.83
1995-01,1.9,10.1,15.71,22.1,16.84,25.3,21.4,27.49,-16.57,-6.93
1995-02,2.9,7.6,14.39,17.84,14.58,20.63,23.66,23.62,-8.31,1.12
1995-03,-1.7,3,10.48,12.7,10.54,15.25,15.06,13.08,-14.27,-10.36
1995-04,-3.8,-2.6,6.01,4.61,4.29,4.88,12.14,6.39,-13.38,-13.77
1995-05,-4.8,-2.6,4.18,4.14,3.87,3.74,8.25,4.3,-11.59,-11.69
1995-06,-6.9,-6.1,2.8,-0.13,3.52,2.83,5.3,-1.83,-15.21,-15.8
1995-07,-10.4,-7.9,-0.04,-1.78,3.5,0.73,2.24,-3.6,-25.73,-22.74
1995-08,-11.5,-8.6,-2.22,-2.23,1.53,2.48,-4.07,-6.68,-19.92,-15.71
1995-09,-10.5,-7.6,-1.42,-0.75,4.18,4.84,-5.44,-8.94,-20.15,-16.38
1995-10,-12.6,-9.3,-4.1,-3.96,3.52,5.4,-9.38,-11.77,-22.46,-20.83
1995-11,-12.8,-8,-3.93,-1.8,5.14,5.26,-9.36,-7.28,-24.79,-21.09
1995-12,-14.2,-9.9,-6.44,-6.61,6.21,2.78,-14.65,-13.65,-20.36,-12.83
1996-01,-16.1,-11.6,-10.35,-8.82,-0.52,-3.49,-19.36,-13.45,-17.2,-10.93
1996-02,-18,-12.4,-12.63,-9.26,-3.17,-4.55,-20.23,-12.45,-21.78,-18.88
1996-03,-19.9,-13.6,-15.61,-12.33,-6.51,-11.79,-24.44,-13.02,-25.59,-17.36
1996-04,-18.4,-12.5,-14.53,-11.57,-8.37,-12.4,-23.59,-11.69,-24.41,-15.77
1996-05,-20.1,-12.8,-15.93,-10.89,-10.88,-13.22,-22.64,-7.81,-24.04,-17.69
1996-06,-20.9,-12.6,-16.33,-9.09,-12.23,-12.16,-22.97,-7.8,-27.64,-21.8
1996-07,-16.2,-7.9,-14.63,-6.76,-9.5,-8.33,-21.35,-3.57,-15.75,-6.74
1996-08,-15.8,-6.9,-10.98,-1.22,-7.66,-6.37,-17.2,1.34,-17.29,-11.71
1996-09,-12.4,-3,-7.23,3.16,0.52,5.64,-12.24,6.02,-17.2,-11.38
1996-10,-11,-1,-3.31,7.09,1.31,5.53,-6.09,15.3,-22.19,-16.83
1996-11,-11.9,-1.4,-3.68,7.3,0.38,6.42,-5.38,12.82,-21.13,-17.09
1996-12,-11.1,-1.3,-2.57,6.6,1.05,2.94,-4.56,12.52,-21.71,-13.83
1997-01,-10.3,-0.1,-3.38,7.26,-1.36,3.71,-3.12,13.6,-19.41,-13.93
1997-02,-9.3,-0.4,-0.4,8.59,5.35,12.22,-1.25,10.46,-19.11,-16.88
1997-03,-9,-1.1,0.23,7.67,4.01,8.23,0.44,11.89,-19.68,-13.36
1997-04,-7.5,-0.4,2.79,10.18,7.97,11.23,3.45,16.16,-15.54,-16.77
1997-05,-6.2,-0.5,4.36,9.06,7.52,7.74,4.94,12.09,-17.33,-13.69
1997-06,-6.8,-1.1,4.98,8.93,10.39,10.9,4.37,10.19,-18.69,-16.8
1997-07,-3.6,2,8.51,11.22,15.93,17.52,8.42,13.49,-12.07,-8.74
1997-08,-3.4,3.5,11.19,15.8,20.14,23.8,11.29,16.33,-17.55,-15.71
1997-09,0.5,7.1,15.51,19.12,21.78,23.53,15.83,20.02,-10.79,-8.38
1997-10,1.5,6.7,15.49,17.18,22.42,21.66,18.53,20.43,-10.19,-4.83
1997-11,1.7,7.4,17.8,19.42,22.13,19.62,20.16,21.94,-12.46,-7.09
1997-12,3.6,7.9,19.3,19.88,27.44,26.18,18.54,18.72,-11.26,-6.83
1998-01,0.1,3.4,15.38,14.3,24.53,21.9,14.22,12.6,-19.31,-11.93
1998-02,1.4,3.4,15.71,12.46,23.23,16.95,15.99,11.39,-11.68,-5.88
1998-03,2.6,3,16.85,12.57,21.19,14.18,17.54,13.71,-7.07,-6.36
1998-04,1.8,2.3,16.68,11.93,23.7,17.82,18.05,12,-10.22,-7.77
1998-05,1.4,3.2,16.49,11.95,25.22,19.62,14.91,9.89,-14.38,-7.69
1998-06,0.2,1.7,13.32,8.96,21.48,14.95,12.42,9.22,-12.24,-8.8
1998-07,0.5,-0.1,12.45,7.2,20.1,9.39,7.96,4.51,-11.04,-9.74
1998-08,-1.8,-1.8,8.62,3.85,16.58,8.99,5.21,1.41,-10.21,-6.71
1998-09,-6.1,-7.9,3.41,-3.88,9.74,-4.52,-1.18,-5.97,-16.28,-15.38
1998-10,-8.2,-8.6,0.4,-5.72,9.2,-1.18,-6,-10.4,-18.21,-14.83
1998-11,-7.5,-8.7,0.32,-6.38,9.51,-5.07,-7.48,-11.87,-15.07,-12.09
1998-12,-8,-8.5,-2.12,-7.86,4.36,-8.62,-7.06,-9.06,-11.41,-7.83
1999-01,-10.4,-10.2,-4.18,-8.65,3.56,-7.87,-9.6,-11.43,-18.03,-14.93
1999-02,-13.6,-14.1,-8.92,-13.72,-3.77,-16.37,-14.03,-15.74,-15.59,-15.88
1999-03,-11.6,-13.4,-9.18,-12.57,-7.84,-18.94,-9.73,-8.51,-10.79,-15.36
1999-04,-12.5,-11.6,-8.43,-10.38,-5.78,-16.64,-10.5,-7.2,-11.71,-10.77
1999-05,-11.8,-9.4,-7.03,-6.17,-1.9,-8.54,-10.74,-4.33,-14.26,-14.69
1999-06,-9.9,-6.4,-3.11,-1.02,2.3,-2.98,-4.37,3.26,-17.95,-12.8
1999-07,-8.6,-4.6,-3.01,-0.77,-0.54,-6.71,-2.98,5.53,-13.92,-9.74
1999-08,-6.1,-2,0.7,3.9,2.56,1.17,2.46,10.53,-13.37,-9.71
1999-09,-2.8,2.7,5.05,8.18,4.77,3.51,8.3,15.08,-3.81,-0.38
1999-10,-2.2,3.7,6.48,11.42,5.83,5.06,10.13,19.79,-9.24,0.17
1999-11,2.3,7.3,10.34,14.8,9.58,10.14,14.83,22.33,-0.75,-1.09
1999-12,2.2,7.1,12.13,15.46,11.71,10.7,16.79,23.18,-6.56,-3.83
2000-01,1.4,8.2,11.89,15.38,10.75,8.36,17.57,25.56,-8.97,2.07
2000-02,4.1,7.7,14.87,16.07,15.15,13.29,19.37,22.03,-7.07,-2.88
2000-03,3.6,8.3,16.44,17.23,16.47,13.84,23.46,24.3,-6.63,1.64
2000-04,5.7,6.1,17.36,14.33,16.74,11.9,21.8,19.57,-2.39,0.23
2000-05,4.4,5.4,16.95,15.62,18.34,14.24,22.09,18.35,-8.26,-9.69
2000-06,2.7,3.2,16.31,11.03,17.18,8.05,20.14,14.38,-8.1,-3.8
2000-07,2,3.4,15.43,10.26,17.13,9.24,18.86,14.55,-12.97,-2.74
2000-08,1.6,0.4,12.81,6.04,15.86,8.41,15.98,7.71,-7.88,-5.71
2000-09,1,0.1,14.44,8.17,18.48,13.56,16.84,6.12,-12.72,-6.38
2000-10,1.7,1.4,15.58,8.63,18.38,12.27,17.76,7.03,-13.09,-5.83
2000-11,1.1,0.7,13.84,6.95,19.1,12.39,16.8,6.52,-12.32,-7.09
2000-12,0.4,-1.2,11.11,2.83,17.19,8.09,12.99,0.41,-10.72,-8.83
2001-01,-0.4,-2.7,8.08,-0.61,13.31,4.5,7.72,-6.44,-6.11,-3.93
2001-02,-3.1,-5.5,7.65,-2.21,10.96,-1.06,7.17,-7.28,-12.12,-8.88
2001-03,-5.5,-8.3,3.89,-5.95,9.53,-4.37,0.92,-10.87,-14.1,-10.36
2001-04,-9.4,-12,-0.02,-10,4.68,-10.62,-2.91,-14.71,-19.58,-15.77
2001-05,-12.8,-15.2,-3.93,-13.58,-2.47,-21.01,-7.96,-14.93,-23.21,-16.69
2001-06,-15.5,-17.6,-8.29,-16.89,-5.83,-21.9,-13.3,-18.51,-22.1,-17.8
2001-07,-15.1,-14.6,-8.49,-12.65,-8.27,-18.76,-12.25,-13.36,-17.92,-13.74
2001-08,-16.3,-15.2,-11.58,-15.86,-10.26,-21.4,-15.28,-15.15,-11.41,-7.71
2001-09,-22.9,-23.4,-18.11,-24.82,-16.19,-29.37,-23.73,-28.81,-28.69,-19.38
2001-10,-23.8,-22.9,-19.73,-24.15,-18.97,-29.46,-24.54,-25.72,-22.71,-16.83
2001-11,-21.8,-18.3,-18.48,-19.92,-18.25,-23.39,-23.88,-22.34,-17.39,-10.09
2001-12,-20,-14.5,-14.1,-11.79,-12.95,-16.5,-17.18,-11.31,-22.95,-17.83
2002-01,-21.3,-17.4,-14.89,-12.61,-14.26,-18.34,-18.46,-11.53,-23.78,-22.93
2002-02,-19,-8.2,-11.6,-2.52,-7.56,-1.48,-14.52,-1.55,-18.95,-8.88
2002-03,-14.5,-0.4,-4.36,10.9,1.73,13.52,-7.99,10.95,-24.18,-15.36
2002-04,-16,-0.7,-3.98,11.64,2.29,16.81,-8.36,11.97,-28.65,-15.77
2002-05,-14.2,2.4,-2.5,15.23,-0.16,14.7,-3.94,16.84,-23.53,-10.69
2002-06,-15.3,-1.1,-2.09,13.21,2.61,14.15,-4.16,16.6,-25.68,-18.8
2002-07,-17.9,-4.7,-4.89,8.4,-2.14,6.26,-6.59,11.77,-30.25,-21.74
2002-08,-17.9,-4.9,-6.52,7.26,-3.16,7.77,-10.6,6.98,-28.84,-17.71
2002-09,-17.8,-5.7,-5.19,7.22,0.3,7.72,-9.09,8.26,-29.24,-23.38
2002-10,-18.3,-8.5,-6.37,3.03,-6.35,-2.21,-7.48,9.52,-26.26,-16.83
2002-11,-22.6,-16.3,-10.29,-3.76,-6.21,-4.14,-11.53,-0.16,-37.15,-38.09
2002-12,-23,-16.4,-9.59,-2.44,-3.15,4.95,-12.47,-3.05,-40.08,-38.83
2003-01,-22.5,-16.3,-11.97,-5.65,-11.46,-8.31,-10.77,-2.67,-30.94,-30.93
2003-02,-20.8,-15.4,-10.43,-4.82,-9.56,-6.81,-11.1,-2.77,-32.42,-31.88
2003-03,-21.6,-15.3,-13.17,-7.26,-10.67,-5.61,-13.15,-6.29,-27.74,-26.36
2003-04,-21.7,-15.7,-12.45,-6.71,-12.2,-7.75,-12.6,-5.36,-30.6,-30.77
2003-05,-20.7,-13.9,-12.96,-6.91,-12.13,-6.59,-16.46,-9.32,-29.45,-26.69
2003-06,-18.3,-9.1,-10.58,-0.72,-8.46,1.19,-13.5,-1.35,-26.04,-22.8
2003-07,-16.1,-6.6,-6.82,2.47,-3.48,5.29,-10.09,1.92,-20.6,-17.74
2003-08,-12.9,-0.7,-3.94,9.35,-2.17,9.87,-4.81,10.13,-18.05,-13.71
2003-09,-10.9,3.6,-0.43,16.34,4.87,24.9,-3,16.34,-20.07,-14.38
2003-10,-6.6,7.8,4.3,21.17,8.31,27.04,1.18,21.76,-13.85,-5.83
2003-11,-4.7,9.5,7.72,25.42,14.7,33.12,5.8,28.01,-16.77,-10.09
2003-12,-4.6,8.6,9.3,24.89,15.23,31.38,8.67,29.21,-16.92,-12.83
2004-01,-2.3,8.9,11.72,25.3,19.25,35.69,9.14,24.22,-12.61,-12.93
2004-02,-6,5.2,8.64,20.91,14.1,28.95,8.75,21.98,-18.8,-14.88
2004-03,-8.3,1.3,5.8,15.57,11.96,26.22,4.47,12.47,-18.01,-14.36
2004-04,-7.8,-0.3,6.18,13.92,13.21,24.72,3.6,10.31,-17.21,-14.77
2004-05,-7.9,-1.8,6.97,12.92,12.63,20.03,6.03,10.5,-17.94,-19.69
2004-06,-8.2,-1.9,6.59,12.34,11.87,20.22,6.51,11.66,-14.85,-15.8
2004-07,-7,-0.2,8.89,14.5,12.95,24.3,10.96,12.09,-14.91,-14.74
2004-08,-6.3,-0.6,9,12.5,9.87,17.02,12.99,13.3,-14.84,-14.71
2004-09,-5.3,1.2,9.18,13.48,14.42,23.13,11.07,12.43,-13.28,-12.38
2004-10,-5.7,-0.2,8,10.31,12.13,17.25,9.27,9.02,-12.7,-9.83
2004-11,-5.5,-1.1,7.94,8.63,10.77,9.38,8.62,8.23,-15.12,-10.09
2004-12,-5,-0.5,8.4,9.25,11.69,15.88,8.79,6.44,-10.8,-5.83
2005-01,-5.6,-2.2,7.66,8.24,10.82,11.66,8.2,5.15,-9,-3.93
2005-02,-7,-3.6,6.34,5.63,7.98,9.75,6.95,2.68,-13.33,-7.88
2005-03,-10.8,-7.8,0.9,0.32,1.75,1.92,0.99,0.21,-11.99,-9.36
2005-04,-12,-8.4,-0.9,-0.4,3.77,3.29,-4.58,-5.04,-17.45,-11.77
2005-05,-13,-11.2,-2.55,-5.29,3.26,-0.41,-8.23,-9.73,-16.69,-10.69
2005-06,-11.2,-9.3,-1.48,-2.67,1.39,-1.87,-3.66,-4.38,-11.56,-9.8
2005-07,-8.3,-3.9,3.17,3.58,10.59,13.38,-2.95,-3.76,-9.97,-3.74
2005-08,-6.6,-1.8,4.56,7.68,7.27,11.16,3.26,7.54,-12.7,-9.71
2005-09,-3.8,0.6,6.88,9.59,9.5,11.36,5.52,9.5,-7.31,-8.38
2005-10,0.3,4.9,11.1,12.5,13.31,13.49,9.93,11.36,0.32,1.17
2005-11,-1.1,2.8,9.58,9.87,13.71,13.72,8.98,9.43,-1.39,3.91
2005-12,1.7,4.2,12.58,13.61,15.46,16.34,11.45,11.75,-0.27,-3.83
2006-01,4.5,9.2,15.65,17.23,19.86,19.73,17.69,20.1,2.03,6.07
2006-02,6.8,9.9,16.72,17.32,23.13,22.54,16.62,16.33,4.08,4.12
2006-03,10,11.2,21.27,18.09,26.57,22.62,19.88,17.01,6.03,6.64
2006-04,10.8,11.5,19.93,15.25,22.88,14.78,21.28,16.56,8.27,12.23
2006-05,12.7,9.5,21.11,13.44,24.01,13.12,24.08,16.95,15.31,9.31
2006-06,13.2,8.8,22.07,14.31,27.77,19.02,22.95,13.61,9.77,5.2
2006-07,12.1,6.7,19.78,9.66,20.63,7.45,22.5,11.37,14.2,9.26
2006-08,12.2,6.7,20.98,11.85,28.2,19.31,21.07,8.78,11.17,3.29
2006-09,11.9,2.7,21.1,8.72,24.44,7.6,23.22,10.58,7.97,-1.38
2006-10,14.1,4.8,22.84,10.71,27.05,10.76,24.96,12.72,12.84,5.17
2006-11,16.9,6.9,24.86,12.13,27.17,13.05,27.4,12.67,20.87,12.91
2006-12,19.5,9.6,28.8,14.94,34.02,16.83,28.98,13,20.12,12.17
2007-01,18.4,9.1,26.15,12.25,27.76,11.78,27.45,11.08,19.24,11.07
2007-02,15.4,7.6,24.84,9.99,27.08,8.32,26.57,10.94,14.78,11.12
2007-03,17.3,9.5,26.67,11.9,30.31,13.38,27.03,8.86,16.49,12.64
2007-04,17.9,10.8,26.81,12.87,29.85,13.23,26.66,10.12,18.43,14.23
2007-05,18.6,11.7,27.2,13.2,28.26,12.7,30.15,12.68,21.71,18.31
2007-06,15.3,8.7,23.66,9.25,26.99,10.86,24.63,7.57,16.48,15.2
2007-07,15.6,7.4,25.08,10.75,30.56,15.52,25.73,9.5,10.66,4.26
2007-08,14.3,6.4,23.76,9.01,29.43,11.43,22.75,7.01,8.62,4.29
2007-09,12.6,5.3,22.1,8.84,26.74,11.87,20.98,4.65,12.67,9.62
2007-10,12.4,3.6,22.21,6.94,30.73,12.02,20.45,3.09,7.09,2.17
2007-11,11.8,3.7,22.36,7.39,31.4,14.4,20.1,2.91,2.76,-3.09
2007-12,9,1,20.34,5.24,28.17,10.28,18.92,1.23,2.25,0.17
2008-01,10.6,0.3,19.88,3.26,26.79,5.8,15.58,-2.95,8.45,-1.93
2008-02,8.8,-1.3,17.04,0.68,26.34,6.13,14.28,-2.4,5.67,-1.88
2008-03,10,-1.6,18.27,-0.28,24.32,1.19,14.64,-4.27,8.18,-0.36
2008-04,6.2,-4.8,14.57,-4.49,20.71,-5.32,13,-3.3,4.77,-3.77
2008-05,6.6,-4.2,15.35,-2.06,20.84,-3.76,12.58,-2.56,6.13,-0.69
2008-06,3.8,-7.7,9.12,-8.79,14.48,-7.28,8.44,-9.49,4.87,-0.8
2008-07,-5.4,-19.4,2.69,-17.18,4.56,-21.41,2.49,-16.35,-6.49,-16.74
2008-08,-8.2,-20.9,-4.76,-24.84,-2.9,-28.47,-3.75,-22.77,-4.09,-9.71
2008-09,-12.1,-23,-8.82,-26.03,-7.68,-30.82,-10.29,-27.3,-7.68,-16.38
2008-10,-18.9,-33,-17.68,-36.83,-16.13,-36.77,-22.65,-41.55,-13.14,-25.83
2008-11,-29.2,-41.3,-31.33,-47.37,-35.58,-55.24,-36.18,-49.86,-22.02,-33.09
2008-12,-36.1,-45.3,-41.27,-52.48,-49.78,-64.23,-44.96,-51.59,-26.22,-36.83
2009-01,-35.7,-41.8,-40.5,-45.78,-48.83,-55.33,-45.47,-45.02,-25.97,-36.93
2009-02,-36.7,-38.5,-44.78,-44.61,-50.92,-53.03,-50.51,-40.72,-28.43,-35.88
2009-03,-38,-37.3,-44.55,-39.42,-51.71,-48.96,-48.4,-34.39,-32.23,-41.36
2009-04,-34.7,-30.2,-40.48,-28.83,-48.14,-33.8,-44.89,-23.73,-30.69,-37.77
2009-05,-32.4,-25.4,-38.73,-23.28,-46.88,-28.22,-41.59,-17.71,-26.54,-32.69
2009-06,-28.2,-17.1,-34.01,-13.83,-42.35,-18.38,-35.43,-8.58,-22.37,-24.8
2009-07,-24,-11.6,-28.12,-6.11,-36.57,-7.37,-30.07,-1.16,-21.75,-20.74
2009-08,-17.6,-1.7,-21.26,5.31,-30.26,3.64,-19.65,16.4,-14.03,-10.71
2009-09,-15.7,-0.3,-17.57,8.12,-28.67,4.52,-14.6,18.78,-9.64,-6.38
2009-10,-15.1,-0.2,-15.85,8.4,-25.56,5.42,-11.59,19.8,-8.68,-8.83
2009-11,-11.6,5.3,-10.55,15.81,-19.97,15.08,-7.57,18.31,-8.26,-4.09
2009-12,-11.3,2.3,-9.77,11.81,-19.12,14.22,-5.89,14.6,-8.04,-7.83
2010-01,-9.1,2.6,-7.31,12.14,-17.2,13.56,-3.25,17.86,-3.78,-5.93
2010-02,-9.3,4,-5.32,14.12,-11.34,18.77,-3.62,17.04,-6.65,-1.88
2010-03,-4.7,5.4,-0.04,14.4,-6.53,16.89,2.6,17.43,-2.98,-1.36
2010-04,2.7,11.2,5.92,18.89,-0.38,24.77,10.78,20.92,6.8,7.23
2010-05,4.3,10.7,9.61,19.49,5.42,26.28,17.36,21.11,5.07,5.31
2010-06,5.7,9.4,11.97,19.17,8.57,25.58,19.94,20.4,4.64,2.2
2010-07,13.9,16.2,20.62,25.93,20.96,35.68,26.4,24.98,16.55,12.26
2010-08,16,16.3,23.03,24.51,24.28,30.78,28.66,27.63,16.63,13.29
2010-09,16.4,15.4,23.12,23.27,25.91,29.84,26.27,22.87,15.19,11.62
2010-10,18.4,17.1,25.16,24.61,27.36,28.6,30.29,27.12,20.26,15.17
2010-11,20.8,18.7,27.61,25.98,31.27,32.38,31.68,27.45,22.87,16.91
2010-12,21.1,18.2,26.74,22.03,29.56,26.57,30.41,25.75,25.26,24.17
2011-01,18.1,14.7,25.99,20.05,31.15,25.46,30.38,22.71,17.56,16.07
2011-02,20.6,14.2,28.25,18.85,33.66,23.56,29.78,18.8,22.21,18.12
2011-03,20.5,12.2,27.85,16.22,33.15,19.73,31.81,18.23,22.68,16.64
2011-04,18.5,9.5,26.01,13.64,32.54,19.39,27.07,11.61,17.45,10.23
2011-05,20.2,9.6,26.72,12.3,33.96,19.85,26.83,9.96,18.13,11.31
2011-06,19.9,8.3,26.15,11.2,34.34,17.57,26.12,8.43,20.01,12.2
2011-07,18.5,6,23.97,7.01,32,11.79,23.44,4.11,18.71,9.26
2011-08,11.6,-1.7,17.21,-1.34,24.38,1.83,15.93,-4.15,7.69,0.29
2011-09,9,-4.5,11.95,-6.53,15.52,-7.78,10.88,-8,13.02,4.62
2011-10,7.4,-6.6,11.35,-7.22,18.05,-5.24,9.11,-8.63,7.96,-3.83
2011-11,7.9,-6,10.78,-7.9,13.66,-13.45,7.39,-8.43,10.5,1.91
2011-12,7.2,-5.7,9.59,-7.8,16.31,-7.11,6.29,-10.17,9.54,0.17
2012-01,8.2,-3.3,12.42,-3.03,20.45,-1.63,11.52,-1.42,10.39,2.07
2012-02,9.1,-2.4,11.86,-2.37,15.53,-4.61,10.27,-3.42,13.85,4.12
2012-03,10.1,-0.5,12.33,-0.99,16.87,-2.48,10.91,0.03,12.18,3.64
2012-04,10.7,0.3,13.63,0.47,17.95,-1.89,12.2,2.39,12.27,3.23
2012-05,6.3,-3,9.77,-1.88,10.03,-6.49,8.15,-2.2,9.05,0.31
2012-06,2.9,-9.5,4.44,-11.77,4.71,-16.49,4.3,-9.5,4.75,-4.8
2012-07,-0.9,-12.9,-1.86,-16.87,-4.64,-23.02,-2.43,-17.79,3.43,-7.74
2012-08,-1.3,-13.4,-0.03,-16.2,-1.19,-21.13,-2.28,-17.92,-2.48,-9.71
2012-09,-3,-14,-3.07,-16.39,-4.62,-20.49,-6.56,-18.89,-0.14,-11.38
2012-10,-4.7,-14.3,-5.07,-16.09,-5.38,-17.09,-6.94,-18.43,-1.01,-8.83
2012-11,-3.6,-10.9,-5.92,-14.81,-12.36,-26.33,-5.42,-12.34,4.22,-3.09
2012-12,-2.3,-6.9,-2.63,-7.7,-5.71,-10.87,-2.51,-6.12,2.1,-5.83
2013-01,1.5,-4.4,3.29,-3.07,0.96,-6.71,3.63,-0.51,0.54,-7.93
2013-02,4.5,1.9,7.05,4.4,9.38,6.26,3.36,5.37,5.25,0.12
2013-03,4.1,0.6,7.15,3.87,6.42,1.38,5.83,6.9,-0.53,-5.36
2013-04,0.7,-2.3,2.41,-0.67,2.17,-5.13,2.22,3.18,-4.71,-6.77
2013-05,3.4,-1.2,5.04,-0.02,5.52,-0.76,2.98,0.7,1.86,-2.69
2013-06,4.6,1,7.95,4.26,10.02,5.45,5.8,5.54,-1.08,-4.8
2013-07,5.1,0.9,8.4,4.22,10.92,6.16,7.48,6.33,-0.64,-6.74
2013-08,8.7,4.8,12.23,7.94,15.64,10.91,9.28,8.25,7.43,2.29
2013-09,9.7,7.7,13.41,11.69,15.92,14.72,11.09,12.17,5.84,3.62
2013-10,9.1,6,12.33,10.04,11.71,5.03,12.31,13.74,9.41,4.17
2013-11,11.5,11,15.31,15.22,16.72,16.7,15.72,17.7,11.35,9.91
